date,close,volume,open,high,low
05/14/2026,298.21,"35,324,920",299.82,300.45,295.38
05/13/2026,298.87,"52,684,260",293.5,300.92,293.5
05/12/2026,294.8,"45,748,130",292.56,295.27,292.56
05/11/2026,292.68,"42,247,290",291.979,293.88,290.23
05/08/2026,293.32,"52,692,760",290.01,294.76,290.0
05/07/2026,287.44,"45,224,300",289.27,292.13,285.78
05/06/2026,287.51,"58,336,070",281.915,288.03,281.07
05/05/2026,284.18,"49,311,710",276.925,284.57,276.501
05/04/2026,276.83,"46,668,400",279.655,280.63,274.8601
05/01/2026,280.14,"79,915,440",278.855,287.22,278.37
04/30/2026,271.35,"91,848,230",270.5,276.0,268.14
04/29/2026,270.17,"30,047,870",267.55,271.04,267.04
04/28/2026,270.71,"40,018,940",272.335,273.23,268.66
04/27/2026,267.61,"41,466,760",266.09,268.36,265.07
04/24/2026,271.06,"38,157,110",272.755,273.06,269.65
04/23/2026,273.43,"33,399,640",275.045,275.77,271.65
04/22/2026,273.17,"43,249,200",267.82,273.74,266.87
04/21/2026,266.17,"50,209,760",271.5,272.8,265.4
04/20/2026,273.05,"36,590,170",270.33,274.275,270.29
04/17/2026,270.23,"61,436,230",266.96,272.3,266.72
04/16/2026,263.4,"43,323,110",266.8,267.16,261.27
04/15/2026,266.43,"49,913,510",258.16,266.56,257.81
04/14/2026,258.83,"48,370,710",259.245,261.93,257.19
04/13/2026,259.2,"36,234,700",259.73,260.18,256.66
04/10/2026,260.48,"31,291,470",259.98,262.19,259.0231
04/09/2026,260.49,"28,121,570",259.0,261.12,256.07
04/08/2026,258.9,"41,032,770",258.45,259.7499,256.53
04/07/2026,253.5,"62,148,010",256.155,256.2,245.7
04/06/2026,258.86,"29,329,910",256.51,262.16,256.46
04/02/2026,255.92,"31,289,370",254.2,256.13,250.65
04/01/2026,255.63,"40,059,430",254.08,256.18,253.33
03/31/2026,253.79,"49,598,090",247.91,255.48,247.101
03/30/2026,246.63,"39,446,210",250.07,250.87,245.51
03/27/2026,248.8,"47,900,000",253.9,255.493,248.07
03/26/2026,252.89,"41,796,650",252.115,257.0,250.77
03/25/2026,252.62,"28,476,670",254.095,255.0,251.6
03/24/2026,251.64,"45,152,290",250.35,254.825,249.55
03/23/2026,251.49,"40,546,110",253.97,254.6,250.28
03/20/2026,247.99,"88,331,080",247.975,249.1999,246.0
03/19/2026,248.96,"34,864,080",249.4,251.83,247.3
03/18/2026,249.94,"35,757,870",252.625,254.94,249.0
03/17/2026,254.23,"32,361,610",252.955,255.13,252.18
03/16/2026,252.82,"32,074,210",252.105,253.885,249.88
03/13/2026,250.12,"36,929,990",255.48,256.33,249.52
03/12/2026,255.76,"40,794,020",258.66,258.95,254.18
03/11/2026,260.81,"26,218,930",261.09,262.13,259.55
03/10/2026,260.83,"30,590,770",257.645,262.48,256.95
03/09/2026,259.88,"38,218,530",255.69,261.15,253.6805
03/06/2026,257.46,"41,120,040",258.63,258.77,254.37
03/05/2026,260.29,"49,658,630",260.79,261.555,257.25
03/04/2026,262.52,"39,803,120",264.65,266.15,261.42
03/03/2026,263.75,"38,568,920",263.48,265.56,260.13
03/02/2026,264.72,"41,827,950",262.41,266.53,260.2
02/27/2026,264.18,"72,366,510",272.81,272.81,262.89
02/26/2026,272.95,"32,345,110",274.945,276.11,270.795
02/25/2026,274.23,"33,714,340",271.78,274.94,271.05
02/24/2026,272.14,"47,014,620",267.86,274.89,267.71
02/23/2026,266.18,"37,308,160",263.49,269.43,263.381
02/20/2026,264.58,"42,070,500",258.97,264.75,258.16
02/19/2026,260.58,"30,845,290",262.6,264.48,260.05
02/18/2026,264.35,"34,203,340",263.6,266.82,262.45
02/17/2026,263.88,"58,469,090",258.05,266.29,255.54
02/13/2026,255.78,"56,290,670",262.01,262.23,255.45
02/12/2026,261.73,"81,077,230",275.59,275.72,260.18
02/11/2026,275.5,"51,931,280",274.695,280.18,274.45
02/10/2026,273.68,"34,376,900",274.885,275.37,272.94
02/09/2026,274.62,"44,623,400",277.905,278.2,271.7
02/06/2026,278.12,"50,453,410",277.12,280.905,276.925
02/05/2026,275.91,"52,977,440",278.13,279.5,273.23
02/04/2026,276.49,"90,545,710",272.285,278.95,272.285
02/03/2026,269.48,"64,394,660",269.2,271.875,267.61
02/02/2026,270.01,"73,913,430",260.03,270.49,259.205
01/30/2026,259.48,"92,443,410",255.165,261.8999,252.18
01/29/2026,258.28,"67,253,010",258.0,259.65,254.41
01/28/2026,256.44,"41,287,970",257.65,258.855,254.51
01/27/2026,258.27,"49,648,270",259.17,261.95,258.21
01/26/2026,255.41,"55,969,230",251.48,256.56,249.8
01/23/2026,248.04,"41,688,980",247.32,249.41,244.68
01/22/2026,248.35,"39,708,340",249.2,251.0,248.15
01/21/2026,247.65,"54,641,730",248.7,251.56,245.18
01/20/2026,246.7,"80,267,520",252.73,254.79,243.42
01/16/2026,255.53,"72,142,770",257.9,258.9,254.93
01/15/2026,258.21,"39,388,560",260.65,261.04,257.05
01/14/2026,259.96,"40,019,420",259.49,261.82,256.71
01/13/2026,261.05,"45,730,850",258.72,261.81,258.39
01/12/2026,260.25,"45,263,770",259.16,261.3,256.8
01/09/2026,259.37,"39,996,970",259.075,260.21,256.22
01/08/2026,259.04,"50,419,340",257.02,259.29,255.7
01/07/2026,260.33,"48,309,800",263.2,263.68,259.81
01/06/2026,262.36,"52,352,090",267.0,267.55,262.12
