date,close,volume,open,high,low
05/15/2026,132.85,"2,800,395",132.905,134.01,131.225
05/14/2026,133.67,"2,656,233",133.0,134.66,132.61
05/13/2026,132.97,"3,440,911",134.69,134.93,131.95
05/12/2026,135.48,"4,419,932",137.58,138.5151,134.3
05/11/2026,137.05,"5,172,812",141.745,146.29,136.905
05/08/2026,141.49,"7,842,947",138.125,146.97,137.25
05/07/2026,140.46,"7,248,337",140.5,142.19,138.64
05/06/2026,139.88,"4,379,791",141.605,143.9,138.95
05/05/2026,139.73,"3,117,989",139.0,140.815,138.2258
05/04/2026,138.86,"3,160,350",142.71,143.52,138.5
05/01/2026,141.66,"2,528,313",141.32,143.4799,140.82
04/30/2026,140.36,"2,857,632",142.0,142.0,138.64
04/29/2026,140.28,"3,486,641",136.25,140.36,135.95
04/28/2026,139.04,"4,225,585",140.93,141.7,138.24
04/27/2026,141.06,"2,252,024",140.97,143.67,140.0
04/24/2026,142.82,"2,705,668",140.17,142.9922,138.66
04/23/2026,141.87,"3,189,333",143.99,143.99,139.81
04/22/2026,144.18,"4,081,778",146.475,147.25,142.75
04/21/2026,142.65,"3,310,401",143.88,145.77,142.18
04/20/2026,143.59,"2,768,678",141.0,143.87,140.338
04/17/2026,141.55,"4,056,791",139.905,143.3,139.2
04/16/2026,137.81,"2,692,580",138.87,139.95,136.91
04/15/2026,137.51,"3,562,351",134.51,138.05,134.1
04/14/2026,133.85,"3,113,508",130.5,134.66,130.47
04/13/2026,130.32,"3,256,972",127.2,130.65,125.36
04/10/2026,128.96,"3,572,699",128.87,130.535,124.835
04/09/2026,129.16,"3,653,657",130.45,130.96,126.8
04/08/2026,131.4,"3,797,224",130.99,134.26,130.49
04/07/2026,124.97,"2,735,296",126.4,126.82,123.41
04/06/2026,126.81,"2,527,902",124.3,127.245,124.28
04/02/2026,124.95,"3,094,935",122.8,126.18,121.51
04/01/2026,125.19,"2,926,264",126.39,127.5,122.87
03/31/2026,126.28,"3,644,160",125.07,127.055,123.165
03/30/2026,123.1,"3,022,691",123.9,126.06,122.835
03/27/2026,122.87,"4,207,196",129.22,129.915,122.46
03/26/2026,131.06,"3,353,316",131.89,134.83,130.38
03/25/2026,131.81,"2,732,193",130.89,132.935,129.89
03/24/2026,130.0,"3,167,629",132.2,132.2,128.42
03/23/2026,132.59,"3,568,357",130.29,134.03,129.98
03/20/2026,128.52,"7,047,906",130.03,130.71,127.7
03/19/2026,130.79,"3,541,679",129.95,131.4,128.76
03/18/2026,131.13,"3,072,008",131.2,134.0,130.99
03/17/2026,131.95,"2,811,963",129.6,133.54,129.55
03/16/2026,128.32,"3,049,270",127.28,129.235,126.91
03/13/2026,126.3,"3,001,002",127.23,129.47,125.62
03/12/2026,127.7,"4,474,216",132.45,133.24,126.115
03/11/2026,133.39,"2,171,821",132.87,134.4,131.52
03/10/2026,132.44,"3,631,402",132.805,134.58,130.075
03/09/2026,134.03,"3,920,479",131.43,134.3,128.365
03/06/2026,133.23,"4,600,495",133.89,133.9,130.975
03/05/2026,135.85,"5,522,165",135.73,139.0,134.52
03/04/2026,135.54,"4,252,523",133.24,137.935,133.155
03/03/2026,133.04,"4,059,636",131.88,134.3,129.46
03/02/2026,133.26,"4,820,022",129.5,134.455,128.59
02/27/2026,135.11,"6,498,546",134.43,136.97,133.59
02/26/2026,136.97,"7,279,628",132.195,137.48,132.195
02/25/2026,132.02,"7,253,347",126.5,132.15,125.8232
02/24/2026,125.66,"4,695,980",124.02,127.7,123.77
02/23/2026,122.96,"6,016,476",127.09,128.15,119.94
02/20/2026,127.89,"6,475,512",125.29,128.0,124.08
02/19/2026,125.81,"6,228,942",123.84,126.04,122.67
02/18/2026,124.27,"4,518,888",124.18,126.02,122.5001
02/17/2026,124.23,"6,695,428",122.08,127.65,122.08
02/13/2026,121.35,"11,008,600",126.465,127.01,119.66
02/12/2026,115.96,"10,090,660",119.55,121.48,115.5301
02/11/2026,119.55,"5,842,371",120.955,122.35,118.1301
02/10/2026,120.32,"5,512,685",120.44,121.88,119.35
02/09/2026,121.31,"4,915,178",121.81,122.49,120.25
02/06/2026,122.18,"5,352,847",121.27,122.84,119.76
02/05/2026,121.27,"4,057,778",124.24,125.0,120.79
02/04/2026,124.61,"5,457,057",123.15,125.51,120.2
02/03/2026,122.075,"6,834,497",130.24,131.06,120.1
02/02/2026,131.31,"3,220,623",129.5,132.48,128.39
01/30/2026,129.37,"3,505,684",130.97,131.56,129.06
01/29/2026,131.77,"4,251,647",131.75,132.58,130.1
01/28/2026,131.55,"2,264,162",132.54,134.115,131.51
01/27/2026,132.22,"2,530,618",133.23,133.49,131.01
01/26/2026,133.39,"3,649,200",132.49,134.51,131.18
01/23/2026,132.15,"4,302,887",133.21,134.82,131.71
01/22/2026,133.8,"3,577,461",134.32,137.21,133.51
01/21/2026,133.59,"4,645,938",130.73,134.97,129.7
01/20/2026,130.73,"4,500,923",127.83,132.035,127.83
01/16/2026,130.66,"5,061,957",132.6,132.76,129.85
01/15/2026,132.6,"4,662,441",134.54,135.5,131.93
01/14/2026,132.79,"7,681,559",139.5,139.65,130.15
01/13/2026,140.07,"4,109,111",138.14,140.19,136.5
01/12/2026,138.51,"3,371,083",139.28,140.24,137.015
01/09/2026,139.27,"4,578,134",140.005,141.4,137.91
01/08/2026,138.66,"3,593,052",136.105,138.78,134.55
01/07/2026,137.04,"3,585,125",137.65,139.55,136.83
01/06/2026,138.02,"3,112,977",135.95,138.38,135.945
01/05/2026,135.87,"4,336,138",133.1,137.96,132.635
01/02/2026,133.01,"3,863,838",135.94,136.11,132.34
12/31/2025,135.72,"2,188,111",136.62,137.58,135.565
12/30/2025,136.91,"2,406,200",135.89,137.42,135.89
12/29/2025,136.62,"2,773,301",136.5,137.16,136.16
12/26/2025,136.82,"1,776,009",136.73,137.2113,136.15
12/24/2025,136.78,"1,457,175",136.01,137.99,135.81
12/23/2025,136.49,"3,464,822",136.6,137.21,135.58
12/22/2025,136.95,"5,568,207",136.09,138.52,135.95
12/19/2025,135.28,"10,530,750",134.15,137.05,133.61
12/18/2025,133.99,"4,257,799",133.3,135.41,132.96
12/17/2025,133.78,"6,158,389",133.96,136.82,133.6211
12/16/2025,132.01,"4,390,926",132.03,133.0485,131.17
12/15/2025,131.81,"5,518,099",129.29,132.25,128.3
12/12/2025,128.39,"3,581,154",128.93,130.6,128.19
12/11/2025,128.0,"5,075,704",127.6,129.61,126.97
12/10/2025,127.57,"4,731,221",125.45,128.83,124.46
12/09/2025,125.39,"3,609,041",121.61,125.81,121.1538
12/08/2025,122.01,"4,030,344",124.215,124.215,120.915
12/05/2025,124.32,"3,962,329",120.92,124.81,120.4001
12/04/2025,120.82,"4,024,055",120.15,121.0,119.22
12/03/2025,120.13,"5,485,468",118.26,120.7225,117.63
12/02/2025,118.5,"6,681,480",118.65,120.0907,117.37
12/01/2025,118.8,"4,713,156",116.0,119.6196,115.645
11/28/2025,116.99,"2,522,283",116.755,117.79,116.4
11/26/2025,116.74,"5,112,234",117.99,118.04,116.4
11/25/2025,118.56,"7,731,122",114.465,119.24,114.465
11/24/2025,114.41,"6,476,412",114.665,115.05,113.38
11/21/2025,114.26,"6,866,157",112.17,115.69,111.84
11/20/2025,111.54,"7,206,680",114.51,115.14,110.81
11/19/2025,114.44,"4,516,081",115.5,115.91,114.075
11/18/2025,115.42,"5,547,169",116.59,118.54,115.39
11/17/2025,117.6,"5,187,054",120.74,121.33,116.7012
11/14/2025,122.02,"4,119,734",120.92,122.75,119.6042
11/13/2025,121.19,"3,715,970",121.505,123.4,121.0
11/12/2025,121.69,"3,713,821",122.66,122.85,120.705
11/11/2025,122.53,"4,425,011",120.28,123.459,120.0
11/10/2025,120.2,"7,481,669",121.94,122.83,119.78
11/07/2025,120.88,"11,755,950",125.495,125.76,117.1473
11/06/2025,120.53,"9,853,439",122.38,123.39,119.82
11/05/2025,122.5,"4,580,421",122.0,124.09,121.6
11/04/2025,122.35,"5,967,308",125.5,125.99,121.93
11/03/2025,126.8,"4,053,762",126.46,127.325,124.6201
10/31/2025,126.54,"3,481,550",126.18,127.15,125.26
10/30/2025,126.34,"4,013,366",125.47,128.275,125.26
10/29/2025,126.48,"5,102,906",127.87,128.68,125.465
10/28/2025,128.01,"4,463,174",129.59,130.05,127.67
10/27/2025,129.07,"3,838,994",128.23,129.54,126.38
10/24/2025,127.99,"3,344,365",127.65,129.06,127.35
10/23/2025,127.35,"3,239,443",127.53,128.8,126.74
10/22/2025,127.5,"3,292,727",128.52,128.965,127.31
10/21/2025,128.56,"3,331,492",126.87,129.5,126.675
10/20/2025,127.21,"3,977,111",126.11,128.5,125.79
10/17/2025,125.91,"4,479,100",123.065,126.4,122.805
10/16/2025,122.89,"5,254,222",124.26,126.97,122.045
10/15/2025,124.26,"5,677,933",124.335,125.875,122.69
10/14/2025,122.89,"6,171,640",117.69,124.47,117.69
10/13/2025,118.86,"3,344,832",118.91,119.8,118.25
10/10/2025,118.19,"5,107,060",120.3,120.58,116.32
10/09/2025,120.15,"3,415,243",120.46,121.4182,119.56
10/08/2025,119.99,"4,407,384",120.235,120.77,118.91
10/07/2025,119.85,"4,415,874",120.49,121.1,119.14
10/06/2025,120.35,"5,474,253",120.73,123.1499,120.05
10/03/2025,120.22,"5,911,349",121.65,122.25,119.84
10/02/2025,121.49,"4,562,181",122.47,122.5,120.02
10/01/2025,122.32,"3,443,702",120.85,122.61,120.785
09/30/2025,121.42,"3,730,456",122.9,123.08,120.52
09/29/2025,122.92,"3,874,669",124.44,124.58,122.83
09/26/2025,123.7,"2,899,605",122.2,123.91,121.65
09/25/2025,121.75,"3,631,968",122.91,122.91,121.1178
09/24/2025,123.08,"4,060,490",123.5,125.59,122.08
09/23/2025,123.5,"5,634,711",125.44,126.855,123.05
09/22/2025,125.44,"5,591,124",125.65,126.64,123.35
09/19/2025,127.04,"9,144,270",126.33,127.85,125.19
09/18/2025,125.47,"4,235,741",123.74,125.72,123.6
09/17/2025,123.2,"4,973,260",121.98,124.45,121.52
09/16/2025,121.66,"5,072,217",120.71,121.99,119.765
09/15/2025,120.37,"7,060,401",122.91,122.98,119.76
09/12/2025,122.55,"5,263,923",123.07,123.45,121.84
09/11/2025,123.05,"5,241,465",123.695,124.5,122.65
09/10/2025,123.41,"4,772,621",123.81,124.44,122.63
09/09/2025,123.81,"3,607,594",124.12,124.78,123.6
09/08/2025,124.62,"4,765,180",124.24,126.08,123.06
09/05/2025,123.81,"4,327,197",125.37,127.3852,122.82
09/04/2025,125.37,"6,194,499",124.65,125.65,123.18
09/03/2025,124.9,"6,267,199",127.42,127.75,124.46
09/02/2025,127.59,"4,195,459",128.42,129.23,126.46
08/29/2025,130.53,"4,159,392",129.92,131.11,129.21
