date,close,volume,open,high,low
05/15/2026,93.98,"3,578,487",94.13,94.84,93.62
05/14/2026,93.46,"2,572,403",93.94,94.53,93.275
05/13/2026,93.32,"2,376,943",93.51,95.1325,92.79
05/12/2026,94.31,"2,294,561",94.12,94.95,93.43
05/11/2026,93.83,"2,271,691",94.15,94.85,93.425
05/08/2026,93.8,"1,855,955",94.4,94.52,93.58
05/07/2026,94.52,"2,236,317",94.5,95.17,93.415
05/06/2026,94.7,"3,439,748",94.21,95.62,94.21
05/05/2026,94.14,"2,596,484",92.94,94.77,92.94
05/04/2026,93.65,"2,570,725",93.02,94.71,93.01
05/01/2026,93.82,"2,039,282",94.95,96.12,93.79
04/30/2026,94.46,"3,601,911",92.28,94.96,91.62
04/29/2026,92.72,"3,151,588",95.85,96.87,91.44
04/28/2026,97.06,"1,871,766",97.43,98.217,96.79
04/27/2026,96.35,"1,817,766",95.7,97.35,95.6
04/24/2026,96.19,"1,536,045",97.07,97.335,95.97
04/23/2026,98.07,"1,216,077",97.07,98.62,96.56
04/22/2026,96.77,"1,885,926",98.4,98.42,96.28
04/21/2026,98.85,"2,394,540",98.33,99.16,97.66
04/20/2026,97.49,"1,391,019",97.45,98.79,97.03
04/17/2026,97.59,"5,185,960",96.71,98.57,96.64
04/16/2026,97.1,"1,663,570",97.11,97.88,96.74
04/15/2026,97.47,"1,725,618",96.01,97.79,95.59
04/14/2026,96.2,"1,908,401",96.12,96.79,95.565
04/13/2026,97.1,"2,201,455",95.4,97.27,95.19
04/10/2026,95.97,"2,183,130",98.43,98.69,95.32
04/09/2026,98.84,"1,363,495",98.14,99.68,97.7
04/08/2026,98.6,"1,642,664",96.51,98.695,96.2801
04/07/2026,96.92,"1,737,141",97.09,97.5,96.44
04/06/2026,96.79,"1,394,924",96.07,96.94,95.93
04/02/2026,96.74,"1,410,785",95.73,97.14,95.565
04/01/2026,95.49,"2,325,493",95.73,95.8,94.67
03/31/2026,95.99,"2,103,572",96.01,96.48,94.05
03/30/2026,95.62,"2,008,937",93.8,96.04,93.8
03/27/2026,93.42,"2,913,724",94.17,94.65,93.35
03/26/2026,94.12,"1,385,681",93.5,94.29,93.23
03/25/2026,93.32,"1,331,418",93.6,94.3,92.87
03/24/2026,93.6,"1,879,083",93.66,94.6025,93.085
03/23/2026,93.66,"1,927,919",93.68,94.43,92.85
03/20/2026,92.3,"4,093,114",92.28,92.78,91.66
03/19/2026,92.17,"2,001,436",93.33,93.475,91.43
03/18/2026,92.87,"1,425,554",93.402,94.045,92.79
03/17/2026,94.4,"1,315,202",94.6,95.29,94.135
03/16/2026,93.7,"1,738,373",93.99,95.235,93.575
03/13/2026,93.47,"1,191,174",95.14,95.43,93.46
03/12/2026,94.22,"2,142,966",93.91,95.365,93.26
03/11/2026,94.81,"1,815,370",95.66,95.84,94.16
03/10/2026,96.19,"1,771,050",95.3,96.935,94.91
03/09/2026,95.62,"1,919,202",96.69,96.74,95.1
03/06/2026,97.21,"1,435,080",96.95,97.68,95.4
03/05/2026,97.07,"1,536,033",98.08,98.33,96.5
03/04/2026,98.42,"1,344,785",99.62,100.0,97.52
03/03/2026,100.48,"1,294,154",100.61,101.06,98.9
03/02/2026,101.06,"1,338,339",100.5,101.89,99.91
02/27/2026,100.15,"2,222,276",100.1,100.45,98.85
02/26/2026,99.65,"1,351,925",99.52,100.6,99.35
02/25/2026,99.36,"1,522,077",99.36,99.51,98.125
02/24/2026,99.18,"1,541,831",98.7,99.49,97.77
02/23/2026,98.7,"1,385,894",98.49,99.765,98.12
02/20/2026,98.49,"2,074,114",99.12,99.235,97.475
02/19/2026,98.34,"1,383,063",98.34,99.14,97.59
02/18/2026,98.06,"1,758,422",98.39,98.55,95.93
02/17/2026,98.88,"2,365,335",99.39,100.86,98.78
02/13/2026,98.38,"1,962,326",99.85,100.28,97.39
02/12/2026,99.85,"2,704,159",98.54,100.95,97.66
02/11/2026,98.61,"2,007,712",97.75,98.8,95.71
02/10/2026,97.85,"2,483,141",95.84,99.08,94.84
02/09/2026,96.06,"2,925,671",100.61,101.18,96.0
02/06/2026,100.95,"1,723,984",101.66,103.39,100.745
02/05/2026,101.98,"2,295,169",100.98,102.525,100.68
02/04/2026,100.13,"2,346,154",97.3,100.5,97.165
02/03/2026,96.82,"1,302,060",96.22,97.8499,96.0
02/02/2026,96.71,"1,665,376",96.26,96.95,95.775
01/30/2026,96.04,"2,216,187",96.03,96.55,95.19
01/29/2026,95.72,"1,965,238",94.86,95.91,94.3
01/28/2026,94.17,"1,955,050",93.38,94.83,92.96
01/27/2026,93.46,"1,580,470",93.62,93.74,92.45
01/26/2026,93.7,"2,531,970",93.43,94.45,93.17
01/23/2026,92.96,"1,686,573",92.02,93.27,91.44
01/22/2026,92.51,"1,848,132",91.69,92.58,90.96
01/21/2026,92.28,"2,341,986",91.78,92.96,90.55
01/20/2026,91.8,"2,463,722",90.17,92.11,90.0626
01/16/2026,90.65,"7,704,788",90.81,90.92,89.94
01/15/2026,90.94,"2,472,354",91.42,92.165,90.36
01/14/2026,91.29,"2,864,489",90.75,91.645,90.605
01/13/2026,90.77,"2,577,698",93.08,93.4375,90.4279
01/12/2026,93.24,"2,212,902",95.38,95.74,92.88
01/09/2026,95.18,"1,505,546",95.89,96.7099,95.085
01/08/2026,96.38,"1,404,657",95.19,96.65,95.19
01/07/2026,95.16,"1,890,712",93.92,95.2,93.69
01/06/2026,93.92,"1,622,007",93.95,94.44,93.029
01/05/2026,94.44,"2,225,165",92.81,95.4515,92.5101
01/02/2026,93.86,"1,563,396",95.77,95.79,93.56
12/31/2025,95.92,"1,159,716",96.5,96.72,95.91
12/30/2025,96.66,"1,125,291",96.18,96.76,95.93
12/29/2025,96.39,"1,094,757",96.04,96.54,95.845
12/26/2025,95.87,"1,324,043",96.55,96.66,95.74
12/24/2025,96.4,"649,725",96.96,97.385,96.25
12/23/2025,96.96,"1,696,223",97.18,97.6,96.855
12/22/2025,97.12,"1,394,815",95.66,97.18,95.58
12/19/2025,96.2,"8,319,856",96.45,96.6612,95.52
12/18/2025,96.45,"2,263,163",95.37,96.51,94.78
12/17/2025,95.89,"2,337,013",95.395,96.35,95.03
12/16/2025,95.58,"2,429,550",96.0,96.035,95.015
12/15/2025,95.72,"2,637,412",94.28,96.0,93.85
12/12/2025,93.92,"3,601,622",94.28,94.28,93.42
12/11/2025,93.64,"3,490,781",92.22,94.32,91.46
12/10/2025,91.77,"3,199,257",92.08,93.165,91.63
12/09/2025,91.92,"1,703,611",91.03,92.41,91.03
12/08/2025,90.94,"2,009,642",91.215,91.49,90.5001
12/05/2025,91.72,"1,432,399",92.17,92.17,91.2048
12/04/2025,92.39,"1,647,680",92.68,93.33,91.85
12/03/2025,92.72,"2,503,883",92.87,93.79,92.06
