date,close,volume,open,high,low
05/15/2026,168.82,"4,996,747",167.47,169.6,164.934
05/14/2026,163.99,"8,723,148",162.0,166.07,160.5
05/13/2026,159.64,"13,901,850",167.52,168.15,155.815
05/12/2026,169.77,"5,451,921",174.0,175.0,169.76
05/11/2026,172.35,"4,624,410",180.49,181.29,172.22
05/08/2026,180.42,"5,695,964",178.03,181.14,172.52
05/07/2026,180.19,"6,330,372",176.075,180.74,175.63
05/06/2026,174.57,"6,812,995",179.496,179.496,173.52
05/05/2026,179.01,"5,134,450",180.43,180.43,173.56
05/04/2026,180.12,"6,087,187",179.98,182.335,177.76
05/01/2026,179.83,"3,708,956",181.3,183.9,177.01
04/30/2026,178.71,"6,033,741",178.32,178.99,173.65
04/29/2026,180.26,"5,171,857",176.57,180.48,175.57
04/28/2026,177.75,"4,427,028",178.6,181.34,176.99
04/27/2026,176.97,"4,411,997",178.0,181.94,176.63
04/24/2026,178.36,"4,568,778",178.75,179.95,173.84
04/23/2026,178.28,"7,387,156",181.0,181.39,174.87
04/22/2026,190.1,"4,081,818",193.13,194.76,188.19
04/21/2026,194.42,"4,203,134",195.15,199.53,193.778
04/20/2026,195.06,"4,626,935",197.23,199.58,193.98
04/17/2026,197.65,"4,501,519",195.86,199.65,195.81
04/16/2026,194.0,"4,849,683",196.24,196.69,191.29
04/15/2026,194.0,"4,433,603",193.01,196.45,191.51
04/14/2026,190.37,"4,629,640",192.72,194.3,189.51
04/13/2026,191.95,"6,681,765",180.98,192.04,180.37
04/10/2026,179.53,"7,261,041",185.83,185.98,177.5
04/09/2026,186.03,"6,064,929",190.745,190.745,182.3758
04/08/2026,193.84,"4,952,190",200.94,202.16,193.53
04/07/2026,197.3,"3,803,002",198.98,200.27,196.507
04/06/2026,198.95,"5,501,561",200.96,201.715,195.342
04/02/2026,201.33,"5,518,989",197.62,201.33,195.29
04/01/2026,197.06,"4,810,264",197.14,198.5,192.0
03/31/2026,198.29,"6,907,342",200.0,201.5,195.93
03/30/2026,197.55,"4,636,746",195.0,198.5676,194.21
03/27/2026,192.6,"4,890,544",195.0,195.54,190.27
03/26/2026,196.42,"4,916,457",191.47,197.6,190.96
03/25/2026,192.29,"4,371,161",195.49,197.24,188.67
03/24/2026,193.54,"5,113,679",197.57,198.48,190.65
03/23/2026,200.02,"4,828,319",203.63,204.45,198.7224
03/20/2026,199.99,"44,335,900",203.5,207.4199,198.49
03/19/2026,203.55,"10,613,710",187.0,207.98,187.0
03/18/2026,195.15,"8,070,091",198.75,199.8,194.26
03/17/2026,198.66,"5,729,468",200.25,204.94,198.07
03/16/2026,199.31,"7,832,748",197.49,200.47,195.64
03/13/2026,196.65,"4,223,284",197.34,200.41,195.0747
03/12/2026,196.05,"7,049,552",201.0,205.0,195.48
03/11/2026,201.48,"5,133,317",203.45,206.68,197.6601
03/10/2026,201.63,"5,163,043",208.605,208.605,199.735
03/09/2026,209.36,"7,849,318",212.84,215.65,205.8313
03/06/2026,215.0,"6,495,267",215.21,218.595,212.0
03/05/2026,214.0,"7,441,049",209.8,216.655,209.3001
03/04/2026,210.0,"5,549,179",211.8,215.54,208.61
03/03/2026,209.89,"5,818,916",203.0,213.245,203.0
03/02/2026,205.93,"7,263,302",205.24,209.15,204.32
02/27/2026,208.72,"7,929,670",204.17,208.86,199.26
02/26/2026,207.38,"10,833,950",194.0,207.49,193.99
02/25/2026,191.5,"14,156,520",196.36,196.82,188.73
02/24/2026,196.73,"11,119,620",200.54,204.3,196.09
02/23/2026,201.18,"10,007,270",212.12,214.02,199.1
02/20/2026,215.35,"5,932,481",213.54,218.47,211.935
02/19/2026,214.95,"8,040,727",215.0,216.28,211.06
02/18/2026,223.61,"4,968,771",219.42,224.26,217.1625
02/17/2026,219.89,"7,431,746",225.615,229.11,217.33
02/13/2026,224.23,"7,644,827",223.205,227.31,220.915
02/12/2026,222.05,"9,719,925",230.25,230.25,215.16
02/11/2026,230.43,"6,076,159",241.92,242.31,228.83
02/10/2026,240.86,"5,673,321",237.47,243.6,235.0
02/09/2026,236.76,"4,770,473",235.59,239.0,231.86
02/06/2026,240.62,"5,026,376",232.3,241.09,232.0
02/05/2026,233.58,"6,108,326",240.47,244.73,232.73
02/04/2026,241.65,"7,633,977",237.84,245.07,231.85
02/03/2026,241.21,"9,119,223",249.44,251.55,238.14
02/02/2026,266.79,"3,427,461",263.54,269.15,262.1501
01/30/2026,263.64,"5,458,171",261.22,264.54,259.9
01/29/2026,261.22,"8,227,783",269.47,271.2,257.365
01/28/2026,270.43,"3,735,222",275.82,278.66,267.86
01/27/2026,275.8,"2,937,159",280.0,280.0,274.1601
01/26/2026,280.71,"3,169,645",283.25,284.59,276.1401
01/23/2026,281.07,"2,565,374",284.34,285.94,279.68
01/22/2026,285.09,"4,379,362",283.83,289.0,283.39
01/21/2026,280.72,"4,232,162",275.0,285.535,274.95
01/20/2026,272.71,"5,656,105",282.44,287.265,272.22
01/16/2026,286.21,"5,702,518",285.43,289.16,280.74
01/15/2026,287.77,"5,743,716",287.93,290.665,285.21
01/14/2026,288.54,"6,421,748",276.61,291.09,276.175
01/13/2026,276.8,"3,622,827",278.9,280.5,273.0
01/12/2026,280.96,"4,086,673",279.54,281.39,276.6078
01/09/2026,280.67,"3,135,902",281.96,284.4,277.3271
01/08/2026,281.82,"5,268,854",272.25,286.57,272.115
01/07/2026,273.98,"4,303,498",276.01,281.87,271.89
01/06/2026,275.93,"4,080,539",263.03,275.99,262.0942
01/05/2026,263.98,"3,538,240",260.825,266.75,259.475
01/02/2026,259.95,"4,899,872",268.79,269.84,258.0
12/31/2025,268.3,"1,973,217",269.74,270.93,268.3
