date,close,volume,open,high,low
05/14/2026,237.01,"4,991,667",236.24,238.24,231.74
05/13/2026,236.07,"3,870,192",238.54,239.08,232.84
05/12/2026,240.83,"3,234,045",247.002,247.58,240.4
05/11/2026,246.15,"3,225,788",250.53,255.41,244.691
05/08/2026,253.04,"3,667,468",252.9,253.37,246.1
05/07/2026,256.51,"4,479,879",254.77,259.44,252.88
05/06/2026,250.17,"4,452,125",252.02,254.4,248.28
05/05/2026,255.62,"3,952,461",254.0,256.6192,248.49
05/04/2026,253.96,"5,536,893",249.99,255.88,247.34
05/01/2026,250.71,"5,068,506",252.0,253.56,244.1
04/30/2026,246.1,"5,129,117",240.1,246.68,236.28
04/29/2026,243.57,"2,664,518",240.97,243.615,238.67
04/28/2026,243.2,"4,641,728",242.13,245.26,241.16
04/27/2026,239.31,"5,067,713",240.77,245.882,239.11
04/24/2026,245.44,"6,492,913",239.77,245.66,238.42
04/23/2026,238.98,"9,616,953",244.88,246.54,233.515
04/22/2026,255.94,"7,111,008",254.8,258.75,251.9
04/21/2026,247.18,"5,779,652",247.0,254.745,245.1
04/20/2026,248.63,"5,249,971",249.49,251.63,245.34
04/17/2026,244.45,"6,194,232",254.08,254.08,243.5
04/16/2026,248.155,"5,229,487",253.05,254.51,245.78
04/15/2026,244.66,"4,749,594",241.17,245.9291,239.2
04/14/2026,235.72,"6,307,478",241.99,244.01,233.0
04/13/2026,240.11,"6,115,751",227.14,240.19,226.5
04/10/2026,225.35,"5,889,240",229.9,231.0367,224.13
04/09/2026,229.94,"6,802,449",235.6,236.3,227.7
04/08/2026,239.31,"4,040,080",244.3,247.4391,237.99
04/07/2026,240.14,"3,331,009",244.17,244.77,238.72
04/06/2026,244.355,"2,757,702",242.84,246.7,240.23
04/02/2026,242.92,"3,588,792",242.46,245.01,237.72
04/01/2026,241.37,"3,746,693",241.96,243.48,235.0
03/31/2026,243.08,"4,575,911",241.67,244.03,239.51
03/30/2026,241.13,"4,410,159",236.78,243.282,236.725
03/27/2026,234.84,"4,429,433",239.7875,239.7875,233.155
03/26/2026,240.88,"4,715,277",234.92,243.95,234.28
03/25/2026,237.25,"5,441,648",241.2,243.58,233.79
03/24/2026,238.87,"6,268,313",245.91,246.2,237.38
03/23/2026,247.64,"4,080,460",248.945,251.0175,246.22
03/20/2026,248.15,"10,467,280",242.8,249.0899,241.0
03/19/2026,245.99,"4,459,828",246.96,250.4,244.27
03/18/2026,246.0,"7,305,642",252.46,254.49,245.18
03/17/2026,254.2,"6,456,240",252.99,258.91,252.14
03/16/2026,251.86,"11,679,170",248.25,256.37,244.55
03/13/2026,249.32,"17,406,380",249.0,256.7,247.16
03/12/2026,269.78,"10,894,990",273.35,276.28,269.2
03/11/2026,273.705,"4,862,412",277.93,280.375,269.25
03/10/2026,275.13,"4,591,633",281.82,282.395,268.37
03/09/2026,282.44,"4,728,359",281.32,285.2,277.9
03/06/2026,283.62,"4,802,278",280.28,283.85,276.05
03/05/2026,281.74,"5,822,261",275.4,285.36,275.4
03/04/2026,273.12,"4,329,153",271.51,276.67,270.34
03/03/2026,270.99,"6,206,582",260.05,272.825,260.05
03/02/2026,260.88,"3,486,901",257.6,264.22,257.06
02/27/2026,262.41,"5,098,206",254.02,262.75,253.06
02/26/2026,259.04,"6,208,147",261.59,263.67,256.595
02/25/2026,257.81,"5,108,563",253.33,257.99,250.7
02/24/2026,255.17,"5,529,146",245.57,258.25,244.28
02/23/2026,246.68,"7,602,386",254.14,254.5,244.8
02/20/2026,258.61,"6,590,752",255.0,262.08,254.36
02/19/2026,259.21,"3,616,213",263.38,265.55,257.41
02/18/2026,263.17,"5,033,238",260.45,263.5,257.14
02/17/2026,260.45,"5,208,323",265.235,269.128,255.839
02/13/2026,263.97,"6,589,694",262.17,265.29,257.5
02/12/2026,262.5,"8,656,974",258.36,262.67,251.1001
02/11/2026,257.16,"8,759,941",263.075,264.2,255.71
02/10/2026,264.67,"5,718,574",266.69,270.79,263.98
02/09/2026,266.9,"6,576,297",267.05,269.2,262.949
02/06/2026,268.38,"5,448,423",271.675,275.0,265.31
02/05/2026,269.39,"6,293,553",277.49,281.95,268.43
02/04/2026,279.71,"8,554,186",267.23,282.8999,264.04
02/03/2026,271.93,"8,324,923",282.74,284.34,271.02
02/02/2026,293.38,"4,357,004",297.01,299.38,290.93
01/30/2026,293.25,"5,713,026",291.6,295.34,290.51
01/29/2026,291.65,"7,410,759",291.68,293.635,284.6
01/28/2026,299.58,"3,942,771",299.66,303.85,297.685
01/27/2026,297.42,"4,166,284",303.81,304.215,292.93
01/26/2026,304.72,"4,115,294",301.4,306.3,301.4
01/23/2026,301.07,"4,368,651",301.46,303.84,299.2
01/22/2026,299.73,"4,974,504",296.0,301.82,295.2
01/21/2026,294.23,"5,645,285",290.765,294.51,288.33
