date,close,volume,open,high,low
05/15/2026,417.49,"3,709,646",415.18,422.18,414.5501
05/14/2026,426.79,"2,811,407",430.97,433.9089,424.07
05/13/2026,432.39,"3,486,313",427.84,435.72,426.0
05/12/2026,419.65,"4,848,607",417.85,420.91,406.77
05/11/2026,422.73,"3,796,844",412.21,422.88,411.484
05/08/2026,416.52,"3,754,419",418.0,418.75,413.52
05/07/2026,408.52,"3,938,176",413.905,413.96,405.91
05/06/2026,415.63,"3,893,561",404.705,416.0,404.4
05/05/2026,404.77,"3,343,131",396.75,405.66,393.19
05/04/2026,397.02,"1,914,421",402.26,402.26,391.88
05/01/2026,397.69,"1,987,194",397.06,399.0499,393.41
04/30/2026,402.26,"3,746,053",393.39,402.67,391.18
04/29/2026,389.31,"3,097,753",392.0,394.95,386.53
04/28/2026,383.26,"3,846,468",389.795,393.1,382.45
04/27/2026,392.59,"2,763,842",398.285,399.5199,386.74
04/24/2026,399.57,"4,512,483",404.07,406.3,398.255
04/23/2026,403.88,"4,449,579",397.9,408.37,395.8
04/22/2026,381.42,"2,517,691",380.81,383.6,378.25
04/21/2026,375.27,"3,296,946",383.0,383.6,373.34
04/20/2026,381.05,"4,004,109",373.02,385.46,369.695
04/17/2026,371.45,"5,248,167",359.67,372.45,357.82
04/16/2026,353.8,"2,198,838",346.97,355.85,346.435
04/15/2026,347.94,"2,440,882",347.0,349.0526,341.3207
04/14/2026,348.6,"2,320,411",352.43,352.665,347.05
04/13/2026,350.01,"2,485,440",348.69,350.08,344.0
04/10/2026,350.14,"2,505,070",353.0,354.29,349.01
04/09/2026,351.36,"2,927,633",346.0,352.78,345.49
04/08/2026,346.21,"4,522,151",345.81,349.0,341.98
04/07/2026,327.41,"2,344,431",323.79,327.51,321.0
04/06/2026,327.36,"2,353,664",320.0,327.46,318.75
04/02/2026,318.34,"2,386,703",310.27,321.705,309.79
04/01/2026,320.58,"3,144,968",318.2,325.745,317.21
03/31/2026,318.14,"4,285,897",309.37,319.32,306.5
03/30/2026,303.1,"3,914,550",314.03,314.03,300.56
03/27/2026,307.44,"3,282,197",310.87,313.185,306.18
03/26/2026,313.42,"3,923,797",319.1,321.12,312.39
03/25/2026,322.03,"2,461,064",325.0,328.18,320.62
03/24/2026,321.83,"3,404,181",311.25,324.79,311.095
03/23/2026,312.19,"3,495,639",315.48,317.5299,311.705
03/20/2026,309.43,"7,029,328",311.15,312.25,305.95
03/19/2026,310.44,"3,289,337",303.37,313.5899,300.91
03/18/2026,308.59,"3,555,212",313.33,316.91,307.88
03/17/2026,313.66,"2,699,818",312.2,315.29,310.72
03/16/2026,310.92,"3,254,893",311.67,313.86,309.105
03/13/2026,306.07,"2,792,737",309.875,311.245,303.514
03/12/2026,307.27,"4,827,196",313.9,314.37,304.26
03/11/2026,319.22,"2,576,649",319.29,321.53,316.35
03/10/2026,318.81,"4,351,463",318.72,323.94,317.08
03/09/2026,319.71,"5,945,634",310.24,319.9,307.22
03/06/2026,315.81,"4,536,712",319.48,323.33,314.31
03/05/2026,329.72,"5,370,656",336.75,339.9534,325.33
03/04/2026,341.51,"3,202,505",344.04,346.39,339.29
03/03/2026,338.99,"5,312,367",339.15,342.5851,335.08
03/02/2026,352.41,"3,326,044",348.775,356.05,348.0
02/27/2026,355.79,"6,109,811",351.29,356.03,346.571
02/26/2026,354.35,"4,662,715",360.78,361.68,351.0
02/25/2026,360.8,"3,425,010",361.02,363.2,358.6
02/24/2026,356.09,"4,541,318",359.0,362.49,355.6401
