date,close,volume,open,high,low
05/15/2026,80.4,"4,574,989",81.02,81.88,79.43
05/14/2026,81.41,"2,717,825",82.79,82.79,81.0
05/13/2026,82.89,"4,139,976",81.27,83.1,80.66
05/12/2026,80.73,"4,293,780",80.0,81.87,79.39
05/11/2026,79.84,"3,377,589",78.09,79.91,78.0
05/08/2026,77.66,"2,917,063",77.565,78.29,77.06
05/07/2026,77.53,"4,879,596",78.4,79.7199,76.64
05/06/2026,78.02,"5,584,460",79.11,79.5,76.0
05/05/2026,79.19,"9,815,233",76.27,81.75,75.63
05/04/2026,76.27,"5,003,435",75.0,77.37,74.6183
05/01/2026,74.94,"3,823,652",74.64,75.445,74.0556
04/30/2026,74.54,"5,001,726",73.92,75.78,73.3926
04/29/2026,74.27,"5,136,033",73.145,74.89,73.145
04/28/2026,72.8,"3,823,844",71.58,72.92,70.66
04/27/2026,70.54,"4,208,781",69.51,70.74,69.2601
04/24/2026,69.23,"1,934,080",70.03,70.265,68.67
04/23/2026,70.03,"2,076,185",69.45,70.515,69.45
04/22/2026,69.43,"2,182,334",70.11,70.52,69.16
04/21/2026,69.83,"2,906,775",68.68,69.92,68.0252
04/20/2026,68.37,"3,488,499",67.67,68.47,67.3
04/17/2026,67.04,"4,257,235",66.95,67.25,66.06
04/16/2026,68.68,"3,033,009",67.17,68.72,66.71
04/15/2026,66.95,"3,245,147",68.35,68.64,66.86
04/14/2026,68.84,"2,831,924",69.65,69.9,68.58
04/13/2026,69.82,"2,663,602",70.54,70.99,69.1
04/10/2026,69.73,"2,918,530",70.53,71.14,69.49
04/09/2026,70.35,"3,171,118",71.63,72.655,69.85
04/08/2026,71.72,"3,824,892",68.82,71.76,67.67
04/07/2026,72.15,"2,679,527",73.38,73.69,71.62
04/06/2026,73.38,"1,772,652",73.51,73.83,72.61
04/02/2026,73.83,"3,406,735",72.76,73.985,72.07
04/01/2026,72.37,"3,825,046",73.32,73.84,71.68
03/31/2026,72.69,"4,043,408",72.13,73.35,71.63
03/30/2026,71.75,"4,062,415",73.17,74.09,71.57
03/27/2026,72.23,"6,175,599",72.0,74.19,71.71
03/26/2026,72.33,"3,464,762",71.49,73.68,71.23
03/25/2026,71.66,"2,906,188",70.9,71.89,70.49
03/24/2026,71.44,"2,921,948",68.37,71.595,68.11
03/23/2026,67.99,"3,417,273",66.24,68.47,65.94
03/20/2026,66.17,"16,669,300",68.82,68.82,65.07
03/19/2026,68.64,"5,365,742",70.42,70.62,68.1334
03/18/2026,70.87,"3,812,492",72.0,72.19,70.86
03/17/2026,72.12,"3,916,127",71.37,73.13,70.99
03/16/2026,70.75,"4,235,699",71.9,72.15,70.36
03/13/2026,71.98,"4,379,207",73.5,73.7,71.4028
03/12/2026,72.5,"5,544,294",71.5,73.72,70.52
03/11/2026,70.83,"5,840,133",68.93,71.4287,68.91
03/10/2026,69.39,"5,133,627",68.49,69.85,67.09
03/09/2026,67.92,"3,646,375",67.51,68.74,66.3101
03/06/2026,67.44,"3,399,466",66.94,68.03,65.5
03/05/2026,66.53,"2,874,110",67.02,67.07,65.96
03/04/2026,67.22,"2,453,518",68.3,68.5,66.72
03/03/2026,67.99,"3,012,049",68.44,68.6499,67.17
03/02/2026,69.61,"3,032,906",69.5,70.48,68.2732
02/27/2026,69.04,"5,021,518",67.43,69.1,66.83
02/26/2026,67.42,"2,730,073",67.41,68.259,66.81
02/25/2026,67.45,"2,677,595",68.07,68.57,65.8801
02/24/2026,68.02,"2,350,669",67.65,68.72,66.88
02/23/2026,67.69,"2,177,158",67.86,69.39,67.43
02/20/2026,67.88,"2,697,762",69.0,69.2,67.6
02/19/2026,68.86,"2,748,914",67.69,68.98,67.22
02/18/2026,67.52,"3,578,616",68.23,68.86,67.2
02/17/2026,68.57,"3,993,613",68.77,69.15,66.55
02/13/2026,69.51,"3,063,865",69.13,70.06,68.37
02/12/2026,69.5,"3,508,285",69.27,70.09,68.59
02/11/2026,69.3,"6,429,071",68.9,69.94,68.45
02/10/2026,68.62,"3,194,778",67.59,68.68,67.26
02/09/2026,67.35,"3,275,103",66.34,67.57,65.5
02/06/2026,66.33,"2,761,894",65.37,67.81,65.215
02/05/2026,65.43,"3,169,890",67.56,67.56,64.86
02/04/2026,67.34,"5,968,671",67.12,67.88,66.53
02/03/2026,67.39,"7,404,878",62.42,68.24,62.4
02/02/2026,68.08,"5,608,041",67.18,68.37,66.77
01/30/2026,67.31,"5,377,467",66.52,67.34,66.16
01/29/2026,66.92,"5,621,602",67.97,69.06,66.85
01/28/2026,67.4,"3,237,876",68.83,69.75,67.05
01/27/2026,68.23,"2,586,202",67.26,68.45,66.85
01/26/2026,67.37,"2,752,205",67.82,67.89,67.01
01/23/2026,67.51,"3,013,769",67.59,68.0585,66.685
01/22/2026,67.12,"3,993,851",67.84,68.05,66.88
01/21/2026,67.7,"3,769,754",66.07,67.84,65.42
01/20/2026,65.88,"4,052,076",64.9,66.17,63.94
01/16/2026,65.18,"3,660,749",66.0,66.53,64.96
01/15/2026,66.57,"5,085,324",64.42,66.63,64.36
01/14/2026,64.6,"5,476,376",63.64,65.705,63.64
01/13/2026,63.38,"2,717,999",62.2,63.42,62.01
01/12/2026,62.2,"2,758,841",62.22,62.745,61.84
01/09/2026,61.94,"3,568,058",61.77,62.42,60.94
01/08/2026,61.19,"4,790,291",58.16,62.38,58.16
01/07/2026,58.52,"3,181,848",60.26,60.375,58.16
01/06/2026,60.49,"4,020,451",59.91,61.055,59.103
01/05/2026,59.58,"3,684,587",58.48,59.66,57.808
01/02/2026,59.05,"2,972,292",57.44,59.35,57.21
12/31/2025,57.49,"1,589,506",58.1,58.26,57.46
12/30/2025,58.17,"2,017,448",58.25,58.71,58.03
12/29/2025,58.22,"1,764,928",57.9,58.44,57.72
12/26/2025,57.91,"1,172,220",57.71,57.95,57.535
12/24/2025,57.78,"767,841",57.81,58.1,57.65
12/23/2025,57.47,"2,073,125",57.84,58.015,57.29
12/22/2025,57.85,"2,328,966",57.86,58.33,57.48
12/19/2025,58.24,"7,828,845",58.18,58.74,57.65
12/18/2025,58.3,"2,871,232",58.46,59.09,58.285
12/17/2025,58.56,"2,901,137",58.56,59.36,58.12
12/16/2025,57.98,"3,847,963",58.78,59.62,57.89
12/15/2025,60.2,"2,646,011",59.69,60.37,59.05
12/12/2025,60.01,"2,996,569",60.16,60.59,59.12
12/11/2025,59.92,"2,427,449",58.42,59.96,58.42
12/10/2025,58.21,"2,961,968",58.28,58.99,57.17
12/09/2025,58.07,"2,543,497",57.86,59.11,57.8
12/08/2025,57.94,"2,428,449",58.9,58.97,57.86
12/05/2025,59.01,"1,925,474",59.12,59.59,58.965
12/04/2025,59.36,"2,924,768",59.98,60.0665,57.95
12/03/2025,59.8,"2,239,402",60.68,61.17,59.66
12/02/2025,60.31,"1,800,934",60.47,60.66,59.965
12/01/2025,60.52,"2,449,999",60.87,61.37,60.43
11/28/2025,60.74,"1,139,827",60.43,61.08,60.41
11/26/2025,60.55,"2,159,217",59.55,61.05,59.55
11/25/2025,59.7,"2,315,679",58.95,59.8059,58.74
11/24/2025,58.65,"5,781,954",58.41,58.94,57.94
11/21/2025,58.63,"3,103,733",57.97,59.29,57.735
11/20/2025,57.87,"2,997,430",58.235,58.985,57.85
11/19/2025,58.23,"5,265,287",60.3,60.565,56.8
11/18/2025,61.03,"3,312,330",58.98,61.13,58.25
11/17/2025,58.74,"2,404,601",58.62,59.7,58.43
11/14/2025,58.61,"3,103,301",58.75,59.78,58.055
11/13/2025,58.83,"3,691,625",57.89,59.72,57.85
11/12/2025,57.75,"3,130,666",57.17,58.155,57.02
11/11/2025,57.63,"3,394,208",56.37,57.69,56.02
11/10/2025,56.0,"4,063,239",57.06,57.06,55.58
11/07/2025,56.98,"3,740,096",56.99,56.99,56.22
11/06/2025,56.72,"4,019,004",56.13,57.39,56.13
11/05/2025,56.29,"5,743,975",58.67,58.79,56.12
11/04/2025,60.12,"8,265,575",56.15,61.9,55.6
11/03/2025,60.09,"3,877,373",60.1,61.03,59.55
10/31/2025,60.53,"4,037,566",60.36,60.84,59.595
10/30/2025,60.69,"2,521,048",61.0,61.355,60.62
10/29/2025,60.52,"3,183,165",60.97,61.33,60.39
10/28/2025,61.37,"2,104,474",61.52,62.18,61.08
10/27/2025,61.94,"3,409,645",64.76,65.0,61.505
10/24/2025,63.33,"1,916,896",62.5,63.88,62.5
10/23/2025,62.51,"2,047,840",62.5,63.0,61.895
10/22/2025,61.91,"2,193,309",61.74,62.81,61.175
10/21/2025,61.72,"2,822,682",63.1,63.33,61.07
10/20/2025,63.19,"2,124,523",63.72,63.99,62.9201
10/17/2025,63.33,"3,048,602",62.35,63.36,61.86
10/16/2025,62.9,"3,638,042",63.54,64.18,62.795
10/15/2025,63.38,"5,344,098",63.04,64.57,62.22
10/14/2025,61.85,"6,127,629",60.75,62.385,58.42
10/13/2025,61.64,"3,609,580",61.04,62.4427,60.66
10/10/2025,60.84,"4,527,795",61.26,62.04,60.8
10/09/2025,61.31,"3,706,643",62.275,63.11,61.05
10/08/2025,62.22,"4,711,421",62.97,63.56,60.81
10/07/2025,62.89,"3,486,788",62.33,63.42,62.07
10/06/2025,62.45,"4,057,813",61.05,63.19,60.6109
10/03/2025,61.04,"4,260,898",58.91,61.25,58.83
10/02/2025,59.11,"2,725,196",59.07,59.51,58.89
10/01/2025,59.25,"3,650,690",60.07,60.32,58.17
09/30/2025,59.74,"3,233,627",60.2,60.58,59.69
09/29/2025,60.31,"4,268,219",60.64,60.68,59.35
09/26/2025,60.6,"5,878,774",61.31,61.54,59.36
09/25/2025,61.07,"2,939,431",61.99,62.28,61.02
09/24/2025,61.48,"2,537,663",61.03,62.045,60.905
09/23/2025,60.7,"3,624,651",59.91,61.6,59.91
09/22/2025,59.86,"4,342,490",61.23,61.325,58.46
09/19/2025,61.65,"11,658,540",60.9,61.88,60.74
09/18/2025,60.83,"2,837,701",61.27,61.27,60.63
09/17/2025,61.09,"3,084,157",62.15,62.625,61.055
09/16/2025,62.35,"4,665,596",60.77,62.92,59.915
09/15/2025,60.53,"3,085,786",61.4,61.595,60.51
09/12/2025,61.57,"2,289,908",61.3,61.77,61.155
09/11/2025,61.42,"2,909,339",61.37,61.68,60.79
09/10/2025,61.41,"3,606,207",62.02,62.24,59.57
09/09/2025,62.19,"2,317,133",62.35,62.72,62.055
09/08/2025,62.3,"4,161,692",62.84,63.25,61.39
09/05/2025,62.94,"2,656,447",61.94,63.025,61.6527
09/04/2025,61.94,"2,691,225",61.88,62.19,61.34
09/03/2025,61.72,"3,028,672",61.76,61.78,61.1217
09/02/2025,62.05,"3,837,980",62.55,62.8128,61.62
08/29/2025,62.64,"2,760,640",62.55,63.06,62.21
08/28/2025,62.66,"3,507,083",62.82,62.91,61.96
08/27/2025,62.71,"2,896,175",62.6,63.18,62.17
08/26/2025,62.82,"4,715,379",63.935,63.935,62.63
08/25/2025,64.21,"3,365,294",62.93,64.38,62.67
08/22/2025,62.92,"5,237,475",61.35,63.395,60.97
08/21/2025,61.12,"4,190,456",60.71,61.72,60.26
08/20/2025,60.73,"4,485,477",59.78,60.75,59.65
08/19/2025,59.96,"3,475,509",59.7,60.02,58.96
08/18/2025,59.67,"3,654,544",59.59,59.815,59.27
08/15/2025,59.75,"2,935,937",59.5,59.779,58.97
08/14/2025,59.32,"3,571,596",60.0,60.07,58.82
08/13/2025,59.82,"4,223,985",58.5,59.825,57.49
