date,close,volume,open,high,low
05/15/2026,106.36,"2,487,029",109.0,109.375,106.24
05/14/2026,109.6,"1,641,933",109.08,109.6,108.825
05/13/2026,109.09,"1,647,072",108.83,109.45,107.94
05/12/2026,109.49,"2,038,283",109.89,110.16,108.9
05/11/2026,109.99,"1,620,964",109.74,110.48,109.17
05/08/2026,109.07,"1,754,862",109.18,109.67,108.325
05/07/2026,108.77,"1,494,861",109.2,109.295,107.7
05/06/2026,109.59,"2,599,278",109.25,111.5,108.0
05/05/2026,111.64,"1,403,354",112.38,113.21,111.44
05/04/2026,112.39,"1,789,819",112.56,113.81,111.77
05/01/2026,113.56,"2,068,555",113.63,115.585,112.97
04/30/2026,113.65,"1,954,675",111.98,113.825,111.02
04/29/2026,111.29,"1,421,391",111.59,112.3,110.63
04/28/2026,112.2,"1,374,111",113.02,113.29,111.79
04/27/2026,111.91,"1,738,352",111.39,112.245,110.81
04/24/2026,111.12,"1,267,992",111.9,112.33,110.97
04/23/2026,112.05,"1,324,648",109.98,112.26,109.84
04/22/2026,109.24,"2,049,647",110.88,111.24,108.505
04/21/2026,109.96,"1,733,733",112.0,112.01,109.87
04/20/2026,111.27,"1,711,940",112.55,113.12,110.84
04/17/2026,112.71,"1,739,603",111.47,113.03,110.655
04/16/2026,112.28,"1,628,133",110.56,112.35,110.56
04/15/2026,110.74,"1,281,426",111.24,111.515,110.25
04/14/2026,111.86,"1,011,944",111.69,112.315,110.73
04/13/2026,111.78,"1,672,297",113.18,113.295,111.2
04/10/2026,113.45,"1,164,212",113.99,114.54,112.81
04/09/2026,114.32,"1,652,691",112.91,115.53,112.77
04/08/2026,112.86,"1,779,914",110.55,112.88,110.09
04/07/2026,111.33,"1,841,268",111.36,112.58,111.27
04/06/2026,111.44,"1,829,981",111.29,112.43,110.82
04/02/2026,111.68,"1,034,246",111.0,112.28,110.355
04/01/2026,110.79,"1,696,675",109.17,110.99,109.17
03/31/2026,109.92,"1,537,259",110.34,110.34,108.655
03/30/2026,109.68,"1,737,480",110.32,110.56,109.32
03/27/2026,108.72,"1,483,618",108.68,109.565,108.16
03/26/2026,108.57,"1,110,092",107.34,108.74,107.19
03/25/2026,107.8,"986,163",108.59,108.85,107.63
03/24/2026,107.69,"1,463,596",106.38,108.835,106.34
03/23/2026,106.9,"1,465,639",107.14,107.83,106.16
03/20/2026,106.06,"3,376,134",109.51,109.89,105.655
03/19/2026,109.56,"1,973,896",110.05,111.09,108.11
03/18/2026,110.75,"1,504,341",111.27,111.63,110.54
03/17/2026,112.23,"1,419,400",113.55,113.93,112.0
03/16/2026,112.86,"1,577,386",113.0,113.0,111.28
