date,close,volume,open,high,low
05/15/2026,125.15,"9,225,450",127.9,128.01,124.68
05/14/2026,128.6,"6,382,633",127.575,128.64,127.49
05/13/2026,127.95,"15,607,560",126.925,128.48,126.15
05/12/2026,131.94,"2,756,532",130.62,132.25,129.44
05/11/2026,130.7,"3,179,201",130.75,131.77,130.095
05/08/2026,130.16,"2,660,248",131.21,132.08,130.1
05/07/2026,131.76,"3,107,193",131.64,132.8,131.332
05/06/2026,132.56,"4,245,714",136.57,136.6,132.5
05/05/2026,137.04,"4,078,248",138.49,139.44,136.22
05/04/2026,134.66,"3,314,936",136.15,137.04,134.15
05/01/2026,136.91,"2,390,271",136.87,138.49,136.22
04/30/2026,137.11,"3,691,308",135.23,137.6845,134.99
04/29/2026,134.44,"2,912,721",135.12,136.07,134.18
04/28/2026,135.59,"2,367,984",136.29,136.58,135.05
04/27/2026,135.07,"2,723,427",135.02,136.06,134.7601
04/24/2026,134.73,"1,904,872",133.82,135.56,133.81
04/23/2026,135.08,"1,898,236",132.78,135.37,132.585
04/22/2026,131.62,"2,124,492",132.69,133.6,131.2
04/21/2026,131.89,"2,451,354",133.98,133.98,131.74
04/20/2026,133.28,"2,646,050",134.35,135.42,133.12
04/17/2026,133.66,"2,869,834",134.15,134.165,132.02
04/16/2026,134.56,"2,450,401",134.555,135.16,133.0
04/15/2026,134.39,"2,382,600",134.79,135.06,133.69
04/14/2026,135.46,"3,162,518",134.52,135.49,132.75
04/13/2026,134.46,"2,401,853",136.49,136.6,133.58
04/10/2026,136.3,"1,982,450",137.0,137.72,136.27
04/09/2026,137.15,"2,562,892",134.43,137.74,134.43
04/08/2026,134.71,"2,398,770",132.09,134.85,131.5577
04/07/2026,132.92,"1,813,996",132.17,133.57,131.9401
04/06/2026,132.36,"1,852,298",131.7,133.12,131.7
04/02/2026,132.68,"1,998,537",131.72,133.33,130.52
04/01/2026,131.67,"2,582,701",130.69,132.16,130.51
03/31/2026,131.08,"3,124,398",131.41,131.78,129.89
03/30/2026,131.12,"2,717,566",131.61,132.29,130.51
03/27/2026,130.1,"4,404,492",128.84,131.51,128.32
03/26/2026,128.85,"3,597,619",128.72,129.5,127.6601
03/25/2026,128.3,"3,334,958",129.455,129.5,128.04
03/24/2026,128.8,"2,559,483",127.25,129.89,126.83
03/23/2026,127.92,"4,406,981",126.79,128.91,125.85
03/20/2026,125.66,"8,611,121",128.18,128.92,125.08
03/19/2026,128.72,"5,845,589",131.0,131.45,126.71
03/18/2026,130.97,"3,800,075",133.04,133.43,130.8947
03/17/2026,133.62,"2,541,546",134.79,135.0,133.37
03/16/2026,134.15,"4,356,852",134.76,135.0,133.51
03/13/2026,133.61,"3,632,051",133.51,134.48,133.1
03/12/2026,132.22,"2,500,281",131.05,133.965,130.8
03/11/2026,131.26,"2,523,013",131.81,132.16,130.83
03/10/2026,132.31,"3,211,828",131.48,133.28,131.13
03/09/2026,131.86,"4,476,604",131.81,132.35,130.79
03/06/2026,131.87,"4,613,961",130.98,132.63,130.16
03/05/2026,132.04,"5,158,710",132.715,133.0,130.3463
03/04/2026,133.52,"4,758,609",132.42,133.76,130.86
03/03/2026,131.92,"4,048,587",132.39,133.32,129.6
03/02/2026,133.29,"2,978,696",133.825,134.23,133.01
02/27/2026,133.82,"3,332,604",132.11,134.5999,132.04
02/26/2026,132.1,"3,811,814",132.21,133.06,131.15
02/25/2026,132.46,"3,459,967",132.17,132.8461,130.27
02/24/2026,132.39,"3,209,236",131.46,132.555,130.27
02/23/2026,132.03,"3,592,552",129.48,132.11,129.4
02/20/2026,129.37,"3,021,383",129.34,129.91,127.72
02/19/2026,128.42,"2,556,314",127.27,128.84,127.08
02/18/2026,127.27,"3,626,057",129.84,130.3,126.845
02/17/2026,130.24,"4,035,258",131.305,132.78,129.605
02/13/2026,129.94,"4,671,858",127.32,130.07,126.61
02/12/2026,126.43,"6,301,733",124.2,128.92,123.6877
02/11/2026,122.25,"2,843,784",121.46,122.59,120.47
02/10/2026,121.23,"3,506,076",120.235,122.4,119.714
02/09/2026,121.1,"2,654,115",120.54,121.4799,119.92
02/06/2026,120.8,"2,767,769",121.21,122.44,119.86
02/05/2026,120.61,"4,338,268",120.77,121.42,119.8
02/04/2026,119.98,"4,653,559",121.55,122.19,119.72
02/03/2026,120.67,"3,482,200",118.75,121.42,118.75
02/02/2026,118.33,"3,941,283",119.975,120.38,118.06
01/30/2026,119.775,"3,640,983",119.015,119.879,117.98
01/29/2026,119.21,"3,537,843",119.57,120.82,118.55
01/28/2026,119.12,"1,888,948",119.25,120.2,118.53
01/27/2026,119.43,"2,676,022",117.74,119.76,117.48
01/26/2026,118.02,"3,992,557",117.105,119.17,117.01
01/23/2026,116.63,"2,525,915",116.925,117.17,115.56
01/22/2026,117.18,"2,880,569",118.71,119.36,117.03
01/21/2026,118.98,"3,632,612",119.75,120.35,117.85
01/20/2026,119.22,"4,776,389",119.2,120.445,118.27
01/16/2026,119.96,"4,044,845",119.02,120.1425,118.2201
