date,close,volume,open,high,low
05/15/2026,254.61,"481,617",253.94,257.17,252.1
05/14/2026,252.72,"636,309",253.95,254.43,249.535
05/13/2026,242.61,"366,583",243.61,245.235,240.34
05/12/2026,243.43,"433,269",245.35,247.415,240.94
05/11/2026,244.14,"481,741",240.0,244.415,239.07
05/08/2026,239.67,"491,933",233.77,239.73,232.4875
05/07/2026,233.8,"439,256",235.39,238.38,232.3
05/06/2026,236.61,"638,032",235.96,241.79,230.56
05/05/2026,237.14,"710,848",229.73,238.21,228.74
05/04/2026,229.12,"854,931",229.9,232.45,226.58
05/01/2026,231.51,"620,474",237.98,238.82,231.19
04/30/2026,236.27,"456,754",230.52,237.5,228.65
04/29/2026,232.7,"341,719",234.85,235.015,231.69
04/28/2026,235.4,"469,916",235.0,237.0,233.5375
04/27/2026,232.72,"421,235",228.84,234.13,228.84
04/24/2026,229.8,"483,789",229.1,231.88,228.6225
04/23/2026,230.46,"569,112",229.88,232.0,227.63
04/22/2026,229.07,"366,692",228.61,229.95,226.39
04/21/2026,228.96,"373,226",226.91,230.8,225.6375
04/20/2026,226.22,"226,694",227.53,229.7553,225.635
04/17/2026,227.76,"226,736",224.7,230.01,224.24
04/16/2026,224.65,"298,462",225.27,225.37,223.12
04/15/2026,224.01,"327,132",222.31,224.57,221.39
04/14/2026,222.27,"276,131",220.97,223.2992,220.49
04/13/2026,222.4,"335,456",219.03,222.45,218.15
04/10/2026,219.4,"272,615",222.04,222.88,218.045
04/09/2026,223.28,"302,905",222.67,224.7,221.4102
04/08/2026,223.69,"333,298",219.4,224.6799,218.515
04/07/2026,218.8,"255,509",217.2,219.26,216.0
04/06/2026,217.99,"258,909",217.03,218.545,215.62
04/02/2026,218.26,"288,443",216.04,220.2,215.05
04/01/2026,216.33,"292,471",217.68,218.38,213.8201
03/31/2026,217.81,"280,412",218.82,219.0,214.41
03/30/2026,216.11,"255,990",215.24,218.23,213.615
03/27/2026,213.28,"283,894",217.0,217.74,212.12
03/26/2026,217.41,"336,113",216.47,219.26,216.47
03/25/2026,217.02,"245,484",219.01,222.0,216.24
03/24/2026,217.52,"257,605",215.85,219.6699,215.04
03/23/2026,217.43,"317,506",216.03,219.31,214.875
03/20/2026,212.81,"526,217",212.37,212.83,210.44
03/19/2026,211.86,"374,390",212.13,214.63,210.595
03/18/2026,212.1,"553,866",216.29,216.29,211.64
03/17/2026,217.32,"497,040",223.85,226.14,217.09
03/16/2026,222.15,"329,188",220.08,222.5,218.9
03/13/2026,218.53,"352,051",217.65,218.83,216.306
03/12/2026,215.3,"383,697",213.56,218.31,212.87
03/11/2026,216.7,"308,242",218.21,219.3,215.465
03/10/2026,219.7,"282,542",218.85,222.785,216.4975
03/09/2026,219.67,"381,581",221.28,221.28,216.54
03/06/2026,222.91,"304,094",225.19,225.19,220.82
03/05/2026,227.18,"376,417",229.77,231.33,226.545
03/04/2026,231.95,"403,482",231.92,233.22,229.47
03/03/2026,232.89,"344,294",230.99,233.65,226.67
03/02/2026,233.55,"345,803",229.59,235.5,228.96
02/27/2026,229.59,"431,581",229.73,230.29,224.32
02/26/2026,229.44,"315,961",225.76,230.27,224.515
02/25/2026,224.13,"509,066",223.1,224.755,220.92
02/24/2026,222.85,"557,391",218.11,223.855,216.27
02/23/2026,218.42,"442,528",223.22,225.465,217.69
02/20/2026,224.31,"391,756",224.23,224.49,220.5
02/19/2026,222.92,"462,218",219.76,223.08,217.86
02/18/2026,219.7,"527,547",220.51,221.29,217.075
02/17/2026,221.04,"614,182",218.95,222.26,218.07
02/13/2026,217.48,"723,372",213.69,218.41,211.46
02/12/2026,214.48,"1,097,763",218.42,222.055,209.86
02/11/2026,216.01,"1,204,013",234.25,234.25,215.23
02/10/2026,236.46,"574,710",235.18,237.58,233.97
02/09/2026,235.32,"382,868",242.23,244.43,234.18
02/06/2026,243.31,"353,042",244.99,246.31,242.54
02/05/2026,242.46,"525,148",241.41,245.02,239.15
02/04/2026,241.31,"382,016",241.15,243.43,239.94
02/03/2026,241.23,"335,801",239.15,244.825,239.0213
02/02/2026,240.39,"367,923",239.52,242.8075,238.59
01/30/2026,238.13,"331,229",238.62,239.33,235.96
01/29/2026,238.54,"256,030",238.93,240.4503,235.025
01/28/2026,237.29,"300,251",236.16,238.11,234.9
01/27/2026,237.05,"330,118",234.05,237.15,232.64
01/26/2026,233.87,"282,485",234.66,237.2675,233.45
01/23/2026,233.39,"259,178",236.09,236.88,231.4
01/22/2026,237.42,"266,727",236.84,238.155,232.98
01/21/2026,238.23,"334,583",233.16,238.93,232.91
01/20/2026,232.75,"367,460",232.73,236.23,231.2
01/16/2026,234.0,"406,844",238.18,238.18,233.27
01/15/2026,237.45,"340,116",238.15,240.0,236.85
01/14/2026,238.0,"281,692",235.52,239.13,235.52
01/13/2026,235.01,"364,652",238.5,239.11,233.49
01/12/2026,238.23,"259,388",236.95,239.13,236.465
01/09/2026,238.0,"210,064",237.17,239.89,236.68
01/08/2026,238.02,"445,882",236.68,240.185,233.38
01/07/2026,236.5,"271,846",235.05,237.305,234.1625
01/06/2026,235.62,"468,586",238.67,239.355,232.96
01/05/2026,240.42,"305,744",235.5,241.78,235.33
01/02/2026,237.72,"348,918",239.63,240.85,235.25
12/31/2025,240.85,"293,196",241.84,243.545,240.69
