date,close,volume,open,high,low
05/15/2026,150.88,"4,156,067",153.52,156.0,149.19
05/14/2026,155.67,"4,079,269",156.875,159.04,153.61
05/13/2026,161.14,"10,932,220",154.0,165.45,151.87
05/12/2026,149.56,"6,551,984",152.45,154.0,144.55
05/11/2026,153.01,"9,873,892",149.0,156.32,147.01
05/08/2026,147.71,"21,492,870",145.45,149.76,132.85
05/07/2026,116.69,"10,595,210",116.125,117.48,111.69
05/06/2026,121.99,"5,979,304",117.775,122.24,115.44
05/05/2026,117.94,"8,613,099",108.7,118.16,107.265
05/04/2026,105.78,"3,131,024",104.29,107.66,104.08
05/01/2026,103.87,"2,875,376",103.33,104.88,101.68
04/30/2026,102.98,"5,278,395",98.82,103.24,98.46
04/29/2026,99.8,"3,683,880",95.285,100.51,94.5
04/28/2026,95.43,"2,784,615",96.95,97.5,94.75
04/27/2026,95.93,"2,185,416",95.25,96.21,93.53
04/24/2026,95.25,"3,592,179",96.83,97.49,94.67
04/23/2026,96.18,"3,143,988",96.69,96.69,93.51
04/22/2026,97.11,"2,786,809",99.35,99.46,96.56
04/21/2026,98.08,"2,806,169",97.97,99.44,95.77
04/20/2026,97.62,"2,951,531",96.02,98.515,96.02
04/17/2026,95.89,"5,065,778",97.57,98.635,94.96
04/16/2026,96.81,"6,632,456",91.25,97.825,91.16
04/15/2026,90.38,"4,958,551",89.8,92.8848,89.8
04/14/2026,88.84,"8,714,025",95.78,96.1,88.5
04/13/2026,94.94,"6,283,062",91.85,97.84,91.64
04/10/2026,91.35,"14,270,500",109.64,109.785,90.56
04/09/2026,109.61,"5,411,533",115.21,115.25,106.88
04/08/2026,116.0,"5,637,541",116.25,117.3505,113.2
04/07/2026,113.89,"3,584,673",114.89,116.26,112.57
04/06/2026,114.6,"4,017,958",117.16,118.17,112.91
04/02/2026,118.0,"4,116,343",112.7,118.02,112.12
04/01/2026,115.75,"3,268,776",115.99,117.6375,114.99
03/31/2026,114.85,"3,804,138",110.67,116.39,110.01
03/30/2026,110.22,"4,041,365",115.445,116.22,108.69
03/27/2026,114.5,"4,460,451",115.74,116.06,111.91
03/26/2026,117.25,"5,346,894",118.39,121.12,116.05
03/25/2026,119.15,"6,782,839",115.85,120.59,115.6
03/24/2026,114.5,"4,515,259",113.15,115.64,112.305
03/23/2026,114.43,"5,913,869",110.495,115.2,109.5
03/20/2026,110.48,"13,118,310",110.56,111.86,108.81
03/19/2026,110.0,"4,129,181",108.78,110.45,106.07
03/18/2026,108.86,"5,175,106",105.48,112.805,105.19
03/17/2026,105.84,"3,681,497",106.39,107.0,103.6
03/16/2026,105.44,"4,758,350",107.91,108.2,104.55
03/13/2026,107.67,"3,422,472",105.63,109.56,105.56
03/12/2026,105.47,"3,610,387",105.485,108.45,104.37
