date,close,volume,open,high,low
05/15/2026,180.38,"2,582,668",185.06,185.06,179.57
05/14/2026,191.1,"2,168,597",198.0,198.1,188.2999
05/13/2026,200.94,"1,863,674",205.99,208.76,196.47
05/12/2026,205.52,"1,805,204",205.94,208.95,201.65
05/11/2026,209.99,"2,811,333",210.2,219.075,209.0
05/08/2026,203.52,"3,130,038",201.33,209.54,194.3
05/07/2026,198.35,"4,291,240",207.01,221.0,198.18
05/06/2026,192.61,"2,224,855",201.06,201.06,192.1001
05/05/2026,194.82,"1,269,719",195.0,197.36,193.5
05/04/2026,190.69,"1,392,188",196.13,198.85,187.33
05/01/2026,193.88,"1,278,128",197.96,197.96,189.5
04/30/2026,196.7,"2,215,115",194.46,197.88,190.2
04/29/2026,190.88,"1,453,629",191.98,191.98,186.76
04/28/2026,186.9,"1,835,631",194.66,195.52,184.7922
04/27/2026,199.53,"2,188,304",190.0,200.32,184.65
04/24/2026,188.33,"1,854,168",191.0,192.2418,184.505
04/23/2026,193.14,"1,548,766",193.45,196.3179,188.01
04/22/2026,194.22,"1,799,282",200.0,201.671,188.535
04/21/2026,198.42,"1,491,613",195.12,199.479,193.7
04/20/2026,194.83,"2,216,292",196.0,199.46,193.5
04/17/2026,197.75,"4,160,681",207.56,208.05,195.32
04/16/2026,215.62,"5,639,568",191.0,215.71,189.36
04/15/2026,185.38,"1,291,111",189.85,189.85,183.89
04/14/2026,189.86,"1,809,966",190.0,190.975,184.735
04/13/2026,185.43,"2,960,201",175.25,189.35,175.25
04/10/2026,173.64,"1,208,709",173.5,178.79,172.57
04/09/2026,172.35,"1,538,858",176.48,181.57,170.85
04/08/2026,177.44,"1,617,414",179.44,180.71,174.14
04/07/2026,173.53,"1,303,503",172.94,175.8,171.0
04/06/2026,173.03,"1,394,483",177.0,179.6,170.29
04/02/2026,178.09,"1,145,915",174.62,183.6,172.96
04/01/2026,178.47,"1,843,090",182.72,185.69,176.08
03/31/2026,179.53,"2,225,878",177.93,184.78,177.18
03/30/2026,177.22,"2,104,529",184.6,186.96,175.77
03/27/2026,179.45,"1,572,234",174.68,183.01,174.46
03/26/2026,174.5,"1,261,359",178.0,182.0,174.21
03/25/2026,181.39,"2,248,318",179.89,184.25,178.19
03/24/2026,177.06,"2,267,029",165.93,177.17,164.5307
03/23/2026,167.56,"2,898,989",159.75,171.0,159.1
03/20/2026,156.7,"2,936,858",163.5,164.2,154.69
03/19/2026,163.26,"1,874,047",158.57,164.645,155.08
03/18/2026,165.83,"1,585,787",164.26,170.06,162.01
03/17/2026,166.32,"1,697,584",163.67,166.93,163.0
03/16/2026,162.44,"1,215,180",162.96,165.78,161.22
03/13/2026,158.22,"1,897,100",164.07,166.5,156.34
03/12/2026,163.89,"1,480,114",165.78,165.78,159.79
03/11/2026,168.0,"1,705,214",164.94,170.3003,163.54
03/10/2026,166.54,"2,028,317",171.46,173.64,166.38
03/09/2026,169.57,"2,420,702",158.76,169.81,157.51
03/06/2026,162.29,"2,175,783",158.62,165.045,158.0
03/05/2026,163.93,"2,110,086",165.81,169.21,161.13
03/04/2026,168.35,"2,535,487",170.3,173.0,167.81
03/03/2026,164.73,"3,369,534",165.39,168.2,157.265
03/02/2026,178.18,"1,626,332",173.52,181.005,171.73
02/27/2026,178.67,"2,405,630",183.54,184.52,177.28
02/26/2026,184.93,"2,576,360",191.89,193.3402,181.95
02/25/2026,195.87,"4,503,443",202.0,206.0,195.2901
02/24/2026,186.83,"2,628,944",180.77,188.97,180.77
02/23/2026,177.52,"2,323,520",168.42,177.97,168.42
02/20/2026,168.42,"1,860,985",166.5,172.2,165.3
02/19/2026,168.41,"1,559,647",165.45,169.61,164.2
02/18/2026,171.22,"2,196,933",171.8,175.21,170.81
02/17/2026,168.92,"1,809,587",166.27,170.9852,165.05
02/13/2026,166.35,"2,594,590",160.57,167.88,156.72
02/12/2026,158.93,"4,254,240",173.01,182.8,157.5
02/11/2026,175.43,"3,762,628",172.27,176.66,169.98
02/10/2026,168.56,"2,196,433",165.0,168.69,162.76
02/09/2026,165.76,"2,341,593",162.5,166.3,159.2
02/06/2026,163.37,"2,120,824",159.9,163.91,158.48
02/05/2026,156.48,"3,638,226",160.06,165.12,156.04
02/04/2026,168.66,"3,048,983",171.5,175.5699,162.88
02/03/2026,170.64,"2,655,372",173.22,174.6987,167.845
02/02/2026,164.93,"3,666,611",168.5,173.0,164.147
01/30/2026,170.63,"6,911,300",167.41,173.38,166.01
01/29/2026,180.7,"2,694,439",184.06,187.1,177.14
01/28/2026,184.33,"4,444,769",195.21,195.22,179.25
01/27/2026,194.18,"2,605,612",188.0,195.685,187.0
01/26/2026,189.75,"3,002,651",189.64,192.46,187.32
01/23/2026,189.51,"3,022,607",188.68,191.97,185.21
01/22/2026,188.32,"4,220,350",179.3,189.1799,178.48
01/21/2026,180.06,"4,493,689",175.78,181.055,175.78
01/20/2026,172.54,"4,535,304",161.4,172.62,160.02
01/16/2026,163.04,"4,817,629",166.2,166.48,161.76
01/15/2026,173.78,"3,143,946",177.55,179.1,170.8
01/14/2026,177.55,"2,538,465",175.38,179.14,171.68
01/13/2026,176.88,"3,411,540",175.0,177.67,172.75
01/12/2026,169.33,"3,422,585",167.94,169.62,164.5
01/09/2026,161.29,"2,824,363",158.07,162.98,157.0
