date,close,volume,open,high,low
05/15/2026,157.25,"923,640",159.55,161.0,156.99
05/14/2026,160.53,"633,677",161.4,163.59,159.85
05/13/2026,161.75,"636,447",165.42,165.77,160.875
05/12/2026,165.79,"630,683",164.78,167.65,163.595
05/11/2026,164.61,"1,129,357",168.88,169.66,162.72
05/08/2026,168.78,"835,856",168.39,169.18,163.285
05/07/2026,168.39,"753,268",174.96,176.455,167.82
05/06/2026,173.94,"768,463",169.47,174.96,168.73
05/05/2026,168.71,"751,233",171.26,172.62,167.77
05/04/2026,171.88,"703,559",175.732,178.12,171.27
05/01/2026,178.91,"840,335",177.16,179.37,174.98
04/30/2026,176.01,"1,932,702",177.0,177.11,167.46
04/29/2026,178.4,"1,378,995",177.28,180.42,176.08
04/28/2026,177.28,"1,705,816",183.76,183.76,174.62
04/27/2026,184.7,"1,484,606",189.71,192.45,183.805
04/24/2026,189.61,"738,480",190.96,191.91,187.01
04/23/2026,190.67,"1,024,648",194.52,196.13,187.58
04/22/2026,196.05,"922,511",198.12,198.12,193.6674
04/21/2026,195.2,"1,467,410",193.4,200.435,192.35
04/20/2026,191.66,"1,362,799",187.35,193.0,187.0465
04/17/2026,190.07,"1,025,023",188.87,194.67,188.23
04/16/2026,185.02,"645,913",186.72,189.0,184.48
04/15/2026,186.53,"785,953",187.32,187.99,185.34
04/14/2026,184.69,"879,308",183.1,187.99,182.625
04/13/2026,180.67,"1,031,739",171.74,181.275,170.18
04/10/2026,173.14,"784,907",175.27,178.23,172.34
04/09/2026,174.53,"970,098",173.21,175.65,170.5
04/08/2026,176.83,"927,387",177.62,185.0,176.0
04/07/2026,166.87,"934,537",171.1,171.1498,165.4
04/06/2026,171.87,"501,640",170.07,172.73,169.1313
04/02/2026,170.6,"1,081,611",168.52,175.15,164.0
04/01/2026,172.73,"872,306",172.61,178.165,171.74
03/31/2026,171.43,"791,465",167.5,173.12,166.0636
03/30/2026,166.26,"1,056,051",168.25,168.25,164.73
03/27/2026,166.38,"1,294,114",175.51,176.83,163.78
03/26/2026,177.33,"652,149",177.66,182.97,176.725
03/25/2026,180.27,"746,788",180.78,183.34,176.15
03/24/2026,179.34,"985,771",177.92,181.45,175.38
03/23/2026,180.86,"1,442,494",178.0,182.16,176.36
03/20/2026,173.18,"2,108,464",175.97,178.74,171.27
03/19/2026,176.25,"2,322,111",180.0,180.62,175.04
03/18/2026,172.41,"1,729,426",172.97,175.43,170.5001
03/17/2026,176.12,"1,340,718",174.19,179.06,174.19
03/16/2026,169.45,"1,515,017",166.6,169.57,164.05
03/13/2026,164.23,"1,886,450",167.43,168.225,162.265
03/12/2026,166.92,"1,810,000",172.8,173.76,165.73
03/11/2026,174.81,"1,626,949",168.53,177.45,168.31
03/10/2026,169.43,"1,514,212",176.3,176.48,169.3
03/09/2026,175.05,"1,796,902",170.6,175.49,164.5101
03/06/2026,174.0,"1,773,955",171.2,174.31,168.005
03/05/2026,175.6,"1,114,553",178.21,179.86,174.0
03/04/2026,182.16,"866,290",183.06,184.51,181.065
03/03/2026,182.64,"1,017,192",182.395,184.8399,176.135
03/02/2026,189.02,"1,044,507",184.59,189.35,181.7
02/27/2026,190.1,"1,530,642",185.55,190.93,185.065
02/26/2026,189.2,"869,922",188.53,190.8,187.5
02/25/2026,188.05,"888,002",186.47,188.52,184.93
02/24/2026,185.53,"1,268,394",180.61,186.135,179.785
02/23/2026,181.26,"1,577,487",186.27,187.0,175.35
02/20/2026,190.02,"1,037,435",188.23,192.69,186.37
02/19/2026,189.4,"760,342",189.97,191.47,186.28
02/18/2026,190.82,"1,031,783",187.82,191.48,187.61
02/17/2026,187.22,"1,351,535",185.91,190.48,185.51
02/13/2026,186.77,"1,272,003",184.72,188.63,181.089
02/12/2026,183.86,"2,012,579",197.0,199.0625,183.56
02/11/2026,197.51,"1,369,682",196.6,197.71,194.22
02/10/2026,196.27,"2,014,689",192.78,197.74,192.265
02/09/2026,192.5,"1,872,246",188.0,193.83,185.98
02/06/2026,187.6,"1,967,440",177.89,188.67,176.66
02/05/2026,175.62,"2,674,535",176.06,179.91,172.0
02/04/2026,161.3,"2,939,708",157.24,170.08,156.25
02/03/2026,157.05,"1,186,149",163.74,165.465,154.83
02/02/2026,163.63,"1,102,080",162.83,165.0,161.115
01/30/2026,163.03,"1,181,811",164.12,165.79,160.995
01/29/2026,164.12,"737,452",166.14,166.14,160.66
01/28/2026,164.92,"624,393",167.53,167.53,163.6525
01/27/2026,167.04,"685,637",166.45,168.54,164.53
01/26/2026,167.65,"505,426",168.8,168.8,166.66
01/23/2026,168.73,"408,052",168.2,169.865,167.5663
01/22/2026,168.92,"661,967",171.15,172.36,167.485
01/21/2026,169.95,"1,031,073",167.68,172.0,167.32
01/20/2026,165.55,"1,118,709",167.28,169.33,164.435
01/16/2026,171.49,"1,371,040",171.0,174.67,171.0
01/15/2026,171.47,"907,738",169.74,172.62,167.4
01/14/2026,169.23,"814,895",169.33,171.59,168.88
01/13/2026,170.2,"913,664",171.98,172.51,167.95
01/12/2026,172.0,"885,371",173.36,174.01,168.84
01/09/2026,172.79,"770,269",171.305,173.035,168.02
01/08/2026,170.58,"859,330",166.82,172.1,166.81
01/07/2026,166.81,"787,429",168.49,169.32,165.88
01/06/2026,167.66,"1,164,705",160.47,168.04,160.11
01/05/2026,160.13,"1,279,254",155.08,161.16,154.79
01/02/2026,156.03,"809,641",157.72,158.09,154.615
12/31/2025,156.15,"496,409",157.12,158.03,156.03
12/30/2025,158.135,"574,597",157.62,158.36,156.61
12/29/2025,157.84,"838,204",157.95,159.155,157.43
12/26/2025,158.37,"503,119",157.56,158.64,156.76
12/24/2025,157.84,"407,351",156.76,158.62,154.98
12/23/2025,156.76,"934,425",158.48,158.585,155.98
12/22/2025,159.28,"1,099,097",158.69,160.11,157.94
12/19/2025,157.69,"2,638,512",160.95,161.6,156.47
12/18/2025,161.44,"1,141,312",161.88,162.58,159.97
12/17/2025,160.58,"1,165,106",163.0,165.26,159.4
12/16/2025,162.89,"1,287,089",162.49,164.11,161.19
12/15/2025,162.73,"1,119,523",166.49,167.02,162.6
12/12/2025,165.43,"1,685,911",164.15,166.83,163.0
12/11/2025,163.87,"1,188,233",164.11,165.27,162.11
12/10/2025,164.58,"1,233,717",159.02,166.61,159.01
12/09/2025,159.0,"1,505,405",160.45,162.89,157.98
12/08/2025,157.68,"1,180,021",157.34,158.92,156.66
12/05/2025,157.21,"1,565,473",157.92,159.5,155.395
12/04/2025,156.84,"1,364,276",154.705,156.95,153.17
12/03/2025,155.0,"1,571,193",151.55,156.6,150.92
12/02/2025,150.93,"1,975,309",147.14,152.06,146.12
12/01/2025,146.72,"1,657,011",145.1,148.465,144.0
11/28/2025,147.19,"732,773",147.51,148.09,146.25
11/26/2025,147.23,"1,567,953",147.35,149.44,146.46
11/25/2025,147.5,"2,572,486",144.43,152.99,144.3
11/24/2025,143.63,"6,264,149",142.0,145.11,139.13
11/21/2025,142.56,"1,814,117",132.96,143.46,132.635
11/20/2025,132.81,"924,445",133.97,137.41,132.74
11/19/2025,133.68,"1,049,954",132.26,134.97,131.95
11/18/2025,132.28,"1,593,537",132.47,132.87,130.23
11/17/2025,132.61,"902,634",135.52,136.56,131.66
11/14/2025,137.13,"809,753",137.01,138.02,136.0
11/13/2025,139.42,"1,026,798",140.32,143.42,138.93
11/12/2025,141.69,"1,212,922",144.45,145.25,140.69
11/11/2025,144.49,"1,427,836",139.32,144.84,138.25
11/10/2025,138.23,"872,703",136.47,138.5,134.016
11/07/2025,134.84,"810,879",132.39,134.985,132.39
11/06/2025,133.73,"991,727",137.66,138.5,131.8972
11/05/2025,137.21,"1,189,826",136.46,137.575,133.39
11/04/2025,135.67,"1,172,797",138.32,138.49,133.865
11/03/2025,138.53,"1,246,211",137.58,138.69,133.71
10/31/2025,137.88,"1,641,877",137.74,138.73,133.92
10/30/2025,138.43,"3,842,830",145.22,150.78,137.62
10/29/2025,131.91,"2,200,099",134.1,135.55,130.73
10/28/2025,133.14,"874,200",134.94,135.6,132.79
10/27/2025,135.65,"1,010,822",135.43,136.81,134.13
10/24/2025,135.21,"864,348",137.83,138.5,135.14
10/23/2025,136.0,"1,032,135",136.11,137.83,135.31
10/22/2025,135.58,"1,254,873",136.5,138.41,135.37
10/21/2025,136.22,"957,024",133.62,136.93,132.091
10/20/2025,134.93,"1,032,093",132.62,135.06,131.13
10/17/2025,130.45,"1,111,271",129.91,131.45,128.67
10/16/2025,129.84,"1,386,025",129.14,133.6515,128.65
10/15/2025,128.43,"1,075,976",130.71,131.5,127.72
10/14/2025,129.79,"1,059,251",127.07,131.59,126.3323
10/13/2025,129.54,"1,137,218",127.25,130.035,126.26
10/10/2025,125.79,"1,751,231",128.7,130.8,124.91
10/09/2025,131.87,"1,214,920",133.26,133.43,131.0301
10/08/2025,133.09,"1,051,494",130.555,133.235,129.95
10/07/2025,130.47,"1,234,715",131.845,132.64,130.05
10/06/2025,131.5,"1,478,122",132.825,134.04,129.53
10/03/2025,132.17,"1,606,164",129.73,134.98,129.5
10/02/2025,128.7,"1,094,722",128.42,130.195,127.31
10/01/2025,127.52,"1,284,085",126.31,128.09,125.0601
09/30/2025,125.22,"1,435,356",125.6,125.925,123.02
09/29/2025,126.37,"942,512",127.94,127.94,125.25
09/26/2025,126.19,"909,276",125.46,127.0,124.55
09/25/2025,124.88,"1,623,280",125.74,126.6578,122.0
09/24/2025,128.18,"938,530",128.9,130.285,127.62
09/23/2025,129.0,"961,128",132.4,132.41,128.91
09/22/2025,131.18,"796,512",130.99,131.97,129.375
09/19/2025,131.39,"2,284,689",131.84,132.0028,130.1
09/18/2025,132.57,"1,223,081",131.93,132.89,129.32
09/17/2025,129.44,"1,453,124",131.51,134.82,128.52
09/16/2025,131.82,"761,236",131.76,133.23,131.2701
09/15/2025,131.06,"1,057,555",132.9,133.72,130.84
09/12/2025,131.56,"719,910",135.52,135.52,131.51
09/11/2025,135.91,"1,774,885",133.0,137.69,132.93
09/10/2025,132.94,"1,518,230",136.23,138.54,132.48
09/09/2025,135.93,"1,762,882",135.82,140.37,135.1717
09/08/2025,136.86,"1,423,626",139.88,139.88,136.43
09/05/2025,139.12,"1,059,223",135.11,139.18,135.11
09/04/2025,134.7,"1,270,559",132.91,135.11,131.0
09/03/2025,132.355,"1,753,548",136.81,137.38,131.21
09/02/2025,137.16,"1,168,407",138.86,139.32,134.8
08/29/2025,141.96,"982,412",141.31,143.28,141.0
08/28/2025,141.13,"929,151",142.0,142.97,140.23
08/27/2025,141.98,"1,222,270",141.63,143.06,139.0
08/26/2025,141.78,"1,063,574",145.06,146.36,140.57
08/25/2025,144.96,"856,691",148.91,149.4525,144.825
08/22/2025,149.57,"1,503,051",141.1,150.22,141.1
08/21/2025,140.67,"1,669,481",143.17,143.17,140.57
08/20/2025,143.58,"1,540,971",143.24,143.82,141.6163
08/19/2025,143.77,"1,644,500",145.21,149.01,143.276
08/18/2025,144.94,"1,034,066",142.36,145.71,142.0
08/15/2025,142.43,"1,110,480",143.44,145.2984,142.38
08/14/2025,142.88,"1,287,036",143.71,144.52,141.5
08/13/2025,145.74,"1,810,900",141.025,146.8,140.5
08/12/2025,140.49,"1,688,617",135.03,141.315,134.36
08/11/2025,134.82,"2,726,057",139.68,141.96,134.36
08/08/2025,139.88,"1,728,709",138.51,140.15,137.05
08/07/2025,138.77,"1,421,539",138.33,140.27,135.75
08/06/2025,136.9,"2,127,875",139.0,139.61,134.4
08/05/2025,139.65,"2,025,413",138.67,141.51,137.92
08/04/2025,137.77,"2,785,770",140.68,143.17,136.27
08/01/2025,136.52,"7,978,332",128.995,139.0,128.995
07/31/2025,129.01,"13,728,060",142.5,149.75,127.7
