date,close,volume,open,high,low
05/15/2026,217.37,"1,483,410",218.22,220.305,216.335
05/14/2026,216.45,"1,695,192",216.01,217.3,213.57
05/13/2026,215.54,"1,586,394",213.28,217.8799,212.4
05/12/2026,215.47,"1,639,149",214.97,217.96,213.49
05/11/2026,213.8,"1,288,521",214.69,216.0,212.3
05/08/2026,213.15,"1,482,576",214.71,216.69,211.26
05/07/2026,213.67,"2,837,520",213.01,214.53,209.655
05/06/2026,217.92,"1,760,139",219.0,221.14,216.62
05/05/2026,218.51,"1,505,994",220.0,222.225,217.84
05/04/2026,219.87,"1,757,693",215.595,219.97,214.2401
05/01/2026,216.59,"1,486,184",218.8,221.19,216.58
04/30/2026,217.26,"2,235,605",213.36,218.185,209.505
04/29/2026,212.33,"1,374,362",216.1,217.26,211.68
04/28/2026,216.4,"1,210,432",216.19,218.18,215.19
04/27/2026,214.2,"1,424,747",211.93,216.59,210.3601
04/24/2026,212.88,"1,070,714",215.48,216.3,212.75
04/23/2026,216.56,"926,590",214.05,217.86,213.86
04/22/2026,214.16,"1,166,053",215.25,216.35,212.88
04/21/2026,216.34,"1,415,431",215.38,218.995,215.38
04/20/2026,215.15,"1,281,622",216.14,218.57,214.46
04/17/2026,216.16,"1,233,659",213.955,218.08,212.49
04/16/2026,213.87,"1,553,169",217.12,217.18,212.4
04/15/2026,218.23,"1,215,782",214.35,219.48,213.63
04/14/2026,214.88,"1,563,531",213.81,215.93,213.0
04/13/2026,215.09,"1,017,167",210.67,215.24,210.26
04/10/2026,210.99,"1,017,416",214.03,214.32,208.3
04/09/2026,214.52,"1,060,624",210.91,216.15,210.4
04/08/2026,212.07,"1,150,732",210.0,212.34,209.28
04/07/2026,210.53,"1,384,241",208.51,210.81,207.29
04/06/2026,208.36,"798,834",206.05,208.495,205.925
04/02/2026,207.03,"1,383,067",204.96,207.84,204.162
04/01/2026,204.1,"1,660,201",206.05,206.8431,203.42
03/31/2026,207.34,"1,442,398",208.18,208.88,204.12
03/30/2026,207.27,"1,128,104",204.55,209.0537,203.42
03/27/2026,202.71,"1,288,317",209.4,209.4,201.61
