date,close,volume,open,high,low
05/15/2026,125.65,"1,236,504",129.04,129.09,125.57
05/14/2026,131.14,"681,427",131.7,132.61,130.6101
05/13/2026,130.64,"1,205,759",131.04,133.15,130.625
05/12/2026,131.3,"1,127,160",132.27,132.895,130.07
05/11/2026,132.35,"1,017,317",134.09,134.44,132.055
05/08/2026,134.37,"995,991",136.74,137.19,134.16
05/07/2026,136.81,"1,485,418",136.63,137.46,134.925
05/06/2026,135.33,"1,240,963",134.2,137.3,133.45
05/05/2026,132.29,"1,590,747",132.67,134.04,131.4
05/04/2026,132.49,"1,131,522",135.14,135.89,131.22
05/01/2026,135.49,"856,866",138.07,138.07,135.49
04/30/2026,137.48,"1,248,733",138.55,139.33,136.635
04/29/2026,137.37,"1,581,685",138.66,139.67,135.53
04/28/2026,137.86,"2,765,479",136.0,141.36,135.315
04/27/2026,148.4,"1,423,078",146.16,149.26,146.16
04/24/2026,146.1,"767,175",146.92,147.72,145.58
04/23/2026,147.42,"741,771",145.93,148.29,145.93
04/22/2026,144.93,"858,199",144.59,145.33,143.61
04/21/2026,143.47,"698,596",145.63,146.7699,143.0
04/20/2026,145.12,"829,605",143.8,145.84,143.55
04/17/2026,144.32,"904,179",142.51,147.11,142.51
04/16/2026,141.52,"1,031,718",142.25,143.335,140.94
04/15/2026,141.64,"1,365,359",146.21,146.47,140.22
04/14/2026,147.02,"523,167",146.78,148.47,145.91
04/13/2026,147.21,"962,270",144.74,147.32,143.14
04/10/2026,144.81,"1,327,061",146.38,146.825,143.9
04/09/2026,146.29,"730,660",143.39,147.28,142.95
04/08/2026,144.49,"956,909",143.24,144.875,142.02
04/07/2026,139.4,"927,774",139.91,141.02,138.36
04/06/2026,140.18,"603,551",140.12,141.095,139.315
04/02/2026,141.06,"816,588",142.48,144.315,139.29
04/01/2026,144.16,"884,197",145.77,146.69,143.7
03/31/2026,145.29,"858,278",145.02,147.075,141.99
03/30/2026,142.89,"695,871",146.67,146.67,142.74
03/27/2026,144.5,"573,830",145.52,146.26,144.24
03/26/2026,145.79,"1,032,978",146.74,148.89,144.83
03/25/2026,147.48,"901,196",147.29,148.33,144.62
03/24/2026,145.73,"657,291",141.91,146.51,141.885
03/23/2026,143.63,"958,713",145.51,146.58,143.57
03/20/2026,142.49,"1,290,824",143.81,144.225,141.26
03/19/2026,143.83,"748,027",143.71,144.405,142.22
03/18/2026,144.66,"579,096",144.61,146.85,144.39
03/17/2026,145.91,"601,839",147.1,147.22,144.6
03/16/2026,145.82,"790,388",146.84,147.87,145.58
03/13/2026,145.35,"693,717",146.63,147.29,144.3403
03/12/2026,145.85,"990,319",145.11,147.7,145.04
03/11/2026,146.64,"782,753",149.74,150.04,146.22
03/10/2026,147.53,"1,300,090",149.83,150.38,147.34
03/09/2026,150.22,"805,925",148.27,150.72,146.0601
03/06/2026,150.37,"1,041,704",150.09,150.785,147.46
03/05/2026,152.26,"1,055,546",154.81,155.7,151.95
03/04/2026,156.64,"1,030,794",159.0,159.76,156.535
03/03/2026,158.36,"830,236",160.76,160.76,157.18
03/02/2026,162.5,"921,329",160.87,163.22,158.22
02/27/2026,161.15,"784,083",159.35,161.81,157.72
02/26/2026,160.41,"1,014,870",156.87,160.905,156.045
02/25/2026,155.63,"934,316",158.93,159.195,153.54
02/24/2026,158.86,"811,710",159.06,161.625,158.69
02/23/2026,158.67,"875,935",162.21,163.84,158.51
02/20/2026,162.14,"890,753",161.63,164.4476,161.39
02/19/2026,161.23,"1,047,082",162.6,164.64,160.69
02/18/2026,162.59,"1,322,523",162.3,164.67,161.925
02/17/2026,162.67,"2,285,631",170.0,173.97,161.07
02/13/2026,179.5,"1,112,664",178.0,180.23,177.18
02/12/2026,178.2,"854,716",180.95,183.11,177.98
02/11/2026,179.39,"611,613",178.7,180.6,176.94
02/10/2026,178.94,"721,742",178.3,179.589,177.73
02/09/2026,177.94,"797,599",179.4,180.67,177.69
02/06/2026,179.77,"985,363",177.08,180.27,176.92
02/05/2026,175.83,"800,968",174.99,176.76,172.75
02/04/2026,173.04,"1,095,174",169.51,174.44,167.97
02/03/2026,167.84,"635,593",165.15,168.3,164.84
02/02/2026,165.52,"894,887",165.02,166.21,162.97
01/30/2026,165.39,"1,149,423",163.41,165.56,162.42
01/29/2026,164.46,"995,399",166.14,166.825,162.935
01/28/2026,164.9,"806,652",166.4,167.255,164.02
01/27/2026,166.89,"658,615",166.4,168.58,165.93
01/26/2026,166.94,"521,904",166.84,167.84,165.76
