date,close,volume,open,high,low
05/15/2026,286.98,"1,149,640",294.78,297.9999,286.76
05/14/2026,293.45,"889,670",290.72,297.0,287.51
05/13/2026,291.48,"975,853",290.7,298.38,288.56
05/12/2026,292.03,"826,171",288.66,295.86,286.725
05/11/2026,284.84,"1,287,797",294.15,296.37,284.28
05/08/2026,295.05,"926,772",295.91,300.17,293.06
05/07/2026,295.91,"1,144,021",300.55,303.46,293.78
05/06/2026,303.0,"1,012,334",301.57,306.03,298.96
05/05/2026,301.11,"823,895",297.81,302.67,295.02
05/04/2026,297.925,"1,590,519",298.0,300.49,288.055
05/01/2026,296.11,"1,132,872",308.76,311.88,295.79
04/30/2026,309.49,"2,192,132",307.48,317.555,287.0011
04/29/2026,301.19,"1,569,856",300.48,304.22,294.06
04/28/2026,302.11,"996,287",308.97,314.17,301.8
04/27/2026,308.51,"1,093,464",303.87,314.74,303.7
04/24/2026,305.54,"825,633",309.63,311.1,302.895
04/23/2026,313.79,"588,284",313.59,315.83,310.785
04/22/2026,310.58,"1,003,730",308.43,312.69,307.85
04/21/2026,308.43,"1,510,856",307.32,310.495,301.63
04/20/2026,310.94,"966,541",306.56,312.25,305.0
04/17/2026,309.66,"1,495,469",326.09,326.53,306.0
04/16/2026,320.13,"1,022,841",333.39,333.39,318.93
04/15/2026,333.39,"799,050",341.63,342.23,331.02
04/14/2026,339.41,"1,228,645",330.81,343.36,330.535
04/13/2026,333.0,"967,690",320.66,333.56,318.995
04/10/2026,322.11,"698,672",323.485,328.93,317.53
04/09/2026,321.28,"1,119,233",325.67,326.9,318.77
04/08/2026,327.25,"1,024,695",327.49,330.2999,324.44
04/07/2026,319.52,"1,305,121",319.48,322.35,313.54
04/06/2026,330.34,"1,276,806",320.1,335.58,320.1
04/02/2026,318.85,"872,487",323.03,325.485,315.895
04/01/2026,328.73,"673,304",332.69,335.475,327.59
03/31/2026,330.87,"1,352,289",319.06,332.48,318.37
03/30/2026,316.09,"1,223,904",319.32,321.76,314.205
03/27/2026,317.36,"815,901",327.1,329.685,316.845
03/26/2026,328.16,"1,119,781",328.9,332.81,327.69
03/25/2026,328.7,"1,139,647",313.34,329.48,311.71
03/24/2026,308.05,"1,497,337",303.42,308.91,299.62
03/23/2026,306.66,"1,378,963",320.77,323.23,304.38
03/20/2026,312.17,"2,050,765",311.05,322.43,311.05
03/19/2026,311.1,"663,587",316.42,317.61,309.73
03/18/2026,314.8,"1,077,650",317.5,319.27,312.58
03/17/2026,320.42,"1,796,943",319.63,326.96,317.53
03/16/2026,318.91,"1,247,482",311.22,319.55,311.22
03/13/2026,313.41,"829,276",319.0,319.5,309.92
03/12/2026,317.23,"1,247,315",320.53,321.0,309.605
03/11/2026,320.43,"906,626",322.0,323.71,317.75
03/10/2026,322.38,"1,169,417",325.6,326.18,317.03
03/09/2026,323.59,"1,081,127",317.25,323.68,313.12
03/06/2026,320.66,"996,497",317.73,321.17,312.09
03/05/2026,320.51,"1,215,172",323.69,328.282,319.511
03/04/2026,327.3,"931,151",319.2,328.0,317.25
03/03/2026,318.65,"947,625",321.37,324.055,315.2
03/02/2026,325.07,"1,302,332",329.41,334.42,323.16
02/27/2026,332.92,"1,569,839",331.24,334.8039,328.3881
02/26/2026,331.24,"880,311",328.67,333.47,322.0
02/25/2026,327.36,"751,722",332.76,334.42,325.2356
02/24/2026,332.85,"791,573",328.22,333.065,324.48
02/23/2026,329.35,"792,033",335.73,341.385,326.76
02/20/2026,336.19,"1,375,285",336.58,345.895,335.83
02/19/2026,339.37,"1,152,962",332.24,339.61,326.33
02/18/2026,332.68,"1,151,205",328.86,335.8,324.53
02/17/2026,332.61,"1,516,389",316.8,336.21,315.625
02/13/2026,314.4,"1,476,326",302.55,318.44,302.55
02/12/2026,308.48,"2,897,726",314.42,315.51,298.0
02/11/2026,322.28,"1,582,249",322.14,325.035,317.8
02/10/2026,322.98,"1,865,664",322.68,325.98,317.89
02/09/2026,320.0,"1,392,019",325.49,329.923,319.26
02/06/2026,328.16,"1,476,914",331.61,340.07,326.51
02/05/2026,331.24,"2,620,979",350.495,350.495,327.27
02/04/2026,351.96,"1,779,461",354.0,355.49,347.08
02/03/2026,351.8,"2,152,860",338.49,352.82,337.59
02/02/2026,339.11,"1,911,150",337.42,342.33,333.0
01/30/2026,338.06,"1,648,568",343.1,346.5,336.39
01/29/2026,346.79,"1,682,030",349.37,350.34,345.01
01/28/2026,349.58,"1,099,190",353.66,356.84,348.0
01/27/2026,354.75,"988,087",361.55,368.07,354.69
01/26/2026,361.35,"936,370",357.98,364.07,352.5
01/23/2026,357.98,"1,636,801",368.2,371.33,356.72
01/22/2026,370.0,"1,875,372",365.5,376.87,363.36
01/21/2026,365.46,"1,523,470",353.01,366.0,351.55
01/20/2026,355.53,"1,722,679",350.7,355.74,347.765
01/16/2026,359.27,"1,527,370",362.29,367.2,355.46
01/15/2026,359.26,"911,176",368.54,372.82,356.83
01/14/2026,366.86,"1,250,044",369.95,371.71,359.95
01/13/2026,369.96,"1,625,677",369.1,376.88,366.92
01/12/2026,370.91,"3,808,067",377.82,378.605,353.52
01/09/2026,398.29,"1,440,224",399.4,409.575,392.56
01/08/2026,399.4,"1,400,657",420.18,425.19,393.48
01/07/2026,422.5,"1,426,278",405.51,427.05,405.51
01/06/2026,406.4,"1,612,994",396.23,409.18,384.42
01/05/2026,397.83,"1,093,965",397.57,400.0,383.84
01/02/2026,400.17,"730,517",399.34,407.22,396.08
12/31/2025,397.65,"768,860",397.25,402.4375,397.25
12/30/2025,397.25,"504,789",394.81,398.4,393.64
12/29/2025,398.82,"638,375",400.1,402.72,397.05
12/26/2025,400.59,"401,455",404.58,404.58,397.31
12/24/2025,400.69,"408,233",395.99,401.47,395.05
12/23/2025,398.7,"792,295",404.72,407.425,395.99
12/22/2025,407.73,"1,052,983",409.6,413.59,403.2
12/19/2025,400.23,"12,576,510",399.11,408.15,395.97
12/18/2025,396.04,"1,714,954",394.49,404.19,391.51
12/17/2025,392.1,"1,041,476",394.18,400.24,389.0
12/16/2025,391.17,"1,345,516",390.65,399.64,388.54
12/15/2025,391.5,"1,483,326",394.22,402.33,390.0
12/12/2025,397.55,"1,659,227",408.86,410.04,387.03
12/11/2025,412.63,"1,284,788",403.36,414.22,402.22
12/10/2025,404.46,"1,188,960",416.54,417.0,403.8
12/09/2025,415.21,"1,610,475",430.45,433.305,412.31
12/08/2025,430.02,"2,411,635",447.0,449.78,423.45
12/05/2025,458.12,"627,353",468.29,473.5,455.32
12/04/2025,465.34,"983,982",472.67,477.06,463.03
12/03/2025,473.29,"1,092,993",466.485,479.79,460.41
12/02/2025,464.93,"1,204,115",453.9,472.48,453.005
12/01/2025,454.56,"1,070,657",450.0,462.93,448.265
11/28/2025,451.23,"563,871",448.18,455.755,444.43
11/26/2025,445.12,"908,163",432.87,447.69,430.27
11/25/2025,429.8,"1,009,228",436.84,441.82,428.57
11/24/2025,434.23,"1,750,352",439.46,444.67,420.3
11/21/2025,436.38,"1,298,052",448.23,449.53,433.5
11/20/2025,445.79,"787,662",463.32,467.73,445.34
