date,close,volume,open,high,low
05/15/2026,36.69,"4,901,982",38.1,38.25,36.68
05/14/2026,38.59,"3,149,323",39.445,39.485,38.55
05/13/2026,39.1,"3,425,352",39.31,39.73,39.06
05/12/2026,39.22,"4,020,955",39.57,40.0,38.73
05/11/2026,40.2,"5,147,467",40.08,40.3,39.48
05/08/2026,39.93,"3,838,073",40.25,40.58,39.77
05/07/2026,39.92,"5,052,830",40.4,40.82,39.89
05/06/2026,40.21,"7,415,888",40.625,41.36,39.69
05/05/2026,37.64,"5,351,661",37.38,37.98,37.2373
05/04/2026,36.91,"5,776,002",38.015,38.015,36.67
05/01/2026,37.75,"3,806,253",38.56,38.7475,37.67
04/30/2026,38.04,"5,662,642",37.67,38.23,37.53
04/29/2026,37.35,"4,726,678",38.4,38.43,37.215
04/28/2026,38.54,"4,427,800",39.33,39.6,38.26
04/27/2026,39.05,"3,116,627",39.03,39.59,38.76
04/24/2026,38.95,"3,662,037",39.41,39.54,38.625
04/23/2026,39.64,"3,864,329",40.51,40.65,39.395
04/22/2026,40.27,"3,012,265",41.4,41.4,40.01
04/21/2026,41.1,"3,538,584",41.56,42.12,41.04
04/20/2026,41.65,"3,407,242",41.71,41.81,41.38
04/17/2026,41.94,"5,527,622",40.97,42.495,40.771
04/16/2026,40.18,"3,669,539",40.05,40.56,40.02
04/15/2026,40.6,"3,959,303",41.0,41.115,40.325
04/14/2026,41.01,"3,527,484",40.99,41.17,40.45
04/13/2026,40.96,"2,790,538",40.72,40.99,40.03
04/10/2026,41.16,"3,218,448",41.97,42.16,41.09
04/09/2026,41.76,"3,853,551",41.67,42.2,41.41
04/08/2026,42.37,"5,337,677",42.0,42.49,41.43
04/07/2026,39.04,"3,730,024",39.51,39.76,38.565
04/06/2026,39.81,"3,054,209",39.66,39.94,39.49
04/02/2026,39.93,"3,890,899",39.95,40.49,39.41
04/01/2026,40.7,"6,813,815",40.0,40.935,40.0
03/31/2026,39.75,"7,471,106",38.64,39.775,38.135
03/30/2026,38.11,"7,514,821",38.91,39.28,37.945
03/27/2026,38.62,"5,557,455",39.91,39.99,38.39
03/26/2026,39.87,"3,866,634",40.23,40.58,39.725
03/25/2026,40.55,"5,797,695",39.9,40.61,39.62
03/24/2026,39.13,"5,367,245",39.01,39.655,38.85
03/23/2026,39.36,"7,656,663",39.13,39.915,38.77
03/20/2026,38.28,"46,524,340",38.5,39.0,38.06
03/19/2026,38.69,"6,701,060",39.35,39.415,38.02
03/18/2026,39.85,"4,848,052",40.24,40.55,39.82
03/17/2026,40.71,"3,590,566",40.95,40.985,40.49
03/16/2026,40.6,"3,802,137",41.19,41.27,40.585
03/13/2026,40.57,"4,624,486",40.6,40.89,40.28
03/12/2026,40.33,"7,868,426",42.28,42.33,40.075
03/11/2026,42.5,"4,241,322",42.41,42.7,41.95
03/10/2026,42.1,"4,559,782",42.21,42.8,41.44
03/09/2026,42.3,"8,028,459",42.51,42.55,41.14
03/06/2026,43.28,"5,959,857",43.09,43.36,42.52
03/05/2026,43.69,"6,208,991",45.51,45.53,43.415
03/04/2026,45.88,"4,476,792",47.07,47.08,45.605
03/03/2026,47.17,"4,581,600",46.7,47.4251,46.23
03/02/2026,48.15,"3,826,183",48.04,48.255,47.47
02/27/2026,48.43,"5,734,774",48.47,48.81,48.2
02/26/2026,48.24,"3,624,931",48.69,48.9,47.9408
02/25/2026,48.82,"4,763,317",49.34,49.35,47.65
02/24/2026,50.18,"4,409,620",50.71,50.94,50.06
02/23/2026,50.58,"3,815,172",49.94,50.665,49.86
02/20/2026,50.49,"6,470,697",49.63,50.53,49.46
02/19/2026,49.53,"4,013,624",49.64,50.235,49.15
02/18/2026,49.59,"4,199,782",49.47,49.95,49.325
02/17/2026,49.56,"5,065,404",50.0,50.02,48.94
