date,close,volume,open,high,low
05/15/2026,424.1,"29,131,580",433.34,439.0,423.3616
05/14/2026,449.7,"26,113,570",440.6,453.31,435.68
05/13/2026,445.5,"30,423,350",457.035,459.5,432.65
05/12/2026,448.29,"39,140,060",449.25,458.8,426.11
05/11/2026,458.79,"46,085,390",460.55,469.215,450.88
05/08/2026,455.19,"58,134,870",418.59,456.29,418.29
05/07/2026,408.46,"44,885,480",417.07,421.71,401.08
05/06/2026,421.39,"87,732,170",409.49,430.6,402.04
05/05/2026,355.26,"64,235,120",351.51,359.5716,344.88
05/04/2026,341.54,"42,000,240",360.31,361.85,338.7
05/01/2026,360.54,"34,279,170",351.87,362.79,349.25
04/30/2026,354.49,"42,115,330",341.355,354.96,332.6
04/29/2026,337.11,"44,704,370",326.58,340.17,318.86
04/28/2026,323.21,"43,002,480",311.86,327.5,310.0
04/27/2026,334.63,"50,585,310",346.32,349.21,328.81
04/24/2026,347.81,"81,616,660",336.755,352.99,334.54
04/23/2026,305.33,"45,619,730",302.01,310.22,299.76
04/22/2026,303.46,"49,054,240",291.215,304.25,286.14
04/21/2026,284.49,"38,950,880",277.33,286.2,276.62
04/20/2026,274.95,"34,833,860",280.6,287.61,272.0
04/17/2026,278.39,"35,519,850",281.0,281.05,274.14
04/16/2026,278.26,"64,850,770",264.99,279.34,261.51
04/15/2026,258.12,"24,695,180",254.96,258.18,251.85
04/14/2026,255.07,"25,733,230",249.79,255.46,245.7
04/13/2026,246.83,"22,781,790",245.025,247.33,242.03
04/10/2026,245.04,"36,477,240",239.0,249.58,238.96
04/09/2026,236.64,"27,126,210",233.014,237.1,230.9101
04/08/2026,231.82,"35,496,360",232.12,234.0,227.09
04/07/2026,221.53,"26,483,010",218.255,222.0984,215.375
04/06/2026,220.18,"30,786,420",219.28,226.31,217.73
04/02/2026,217.5,"38,463,480",204.05,217.78,200.62
04/01/2026,210.21,"40,835,790",207.585,213.83,205.84
03/31/2026,203.43,"42,318,750",198.05,204.0,196.41
03/30/2026,196.04,"41,053,300",204.95,208.43,192.865
03/27/2026,201.99,"29,206,580",201.77,203.2699,197.69
03/26/2026,203.77,"49,212,980",217.979,221.0,203.43
03/25/2026,220.27,"48,518,270",211.505,221.33,211.505
03/24/2026,205.37,"27,258,850",201.39,206.43,200.13
03/23/2026,202.68,"31,857,750",206.395,209.109,201.71
03/20/2026,201.33,"37,265,100",204.885,206.3,198.26
03/19/2026,205.27,"32,245,330",195.032,205.88,192.83
03/18/2026,199.46,"28,569,140",196.0,202.86,195.75
03/17/2026,196.31,"22,779,680",196.68,199.21,195.26
03/16/2026,196.58,"30,285,170",194.975,200.17,194.8
03/13/2026,193.39,"27,561,890",198.11,199.68,192.27
03/12/2026,197.74,"28,886,910",202.825,203.62,196.67
03/11/2026,204.83,"23,076,370",205.11,209.21,203.63
03/10/2026,203.23,"29,139,160",202.51,206.59,202.2
03/09/2026,202.68,"38,877,220",189.36,202.97,189.02
