date,close,volume,open,high,low
05/15/2026,470.38,"585,873",471.58,475.805,468.48
05/14/2026,472.04,"427,928",471.67,475.7799,466.48
05/13/2026,469.18,"521,440",467.85,471.94,465.63
05/12/2026,470.12,"845,223",463.96,472.435,460.015
05/11/2026,463.7,"549,087",466.0,467.47,460.595
05/08/2026,465.56,"604,150",460.93,467.79,458.865
05/07/2026,458.84,"604,538",472.09,477.615,457.4
05/06/2026,475.29,"514,015",477.06,480.05,473.43
05/05/2026,474.65,"406,707",468.22,478.43,467.07
05/04/2026,468.59,"415,310",460.79,474.14,460.65
05/01/2026,467.19,"536,302",475.6,477.065,466.755
04/30/2026,474.79,"709,459",470.94,480.79,463.991
04/29/2026,475.38,"547,503",474.84,478.7502,469.09
04/28/2026,475.35,"581,405",483.88,487.06,474.5
04/27/2026,477.86,"1,008,634",463.27,480.795,462.985
04/24/2026,464.12,"1,197,059",459.21,468.0,451.98
04/23/2026,459.63,"769,433",464.75,466.8,454.29
04/22/2026,468.51,"536,100",463.46,468.52,460.0
04/21/2026,461.08,"566,607",461.49,467.32,458.795
04/20/2026,456.59,"574,669",455.01,461.69,453.92
04/17/2026,456.2,"1,082,220",462.3,466.33,454.875
04/16/2026,458.98,"498,219",467.65,471.89,458.51
04/15/2026,468.15,"526,624",465.69,471.4,462.88
04/14/2026,461.99,"527,655",458.06,463.9,454.59
04/13/2026,455.06,"655,247",443.17,455.12,442.0
04/10/2026,446.34,"621,958",449.13,449.822,441.2625
04/09/2026,452.9,"878,869",450.08,454.705,446.69
04/08/2026,453.1,"862,417",443.725,454.43,443.725
04/07/2026,432.06,"805,434",426.79,432.59,422.81
04/06/2026,430.4,"483,053",436.18,438.75,429.92
04/02/2026,433.94,"619,673",430.19,440.09,422.37
04/01/2026,436.67,"645,085",448.49,449.585,427.15
03/31/2026,444.4,"632,217",443.48,447.84,436.2
03/30/2026,438.43,"534,679",440.37,446.585,436.75
03/27/2026,436.81,"531,025",445.93,445.93,435.01
03/26/2026,448.15,"390,355",448.88,454.3163,445.99
03/25/2026,451.89,"691,589",452.45,457.5822,445.09
03/24/2026,448.17,"610,942",439.26,450.59,436.0374
03/23/2026,442.91,"938,915",451.68,452.145,441.59
03/20/2026,438.94,"1,824,744",430.66,440.0,430.66
03/19/2026,434.06,"843,485",430.81,438.0,430.0
03/18/2026,432.54,"701,848",435.88,440.09,431.89
03/17/2026,437.94,"1,096,110",444.79,450.9121,437.82
03/16/2026,439.02,"597,486",446.48,449.84,438.23
03/13/2026,442.08,"532,299",446.87,448.77,441.4
03/12/2026,440.29,"632,669",441.5,448.6396,439.39
03/11/2026,450.69,"634,256",454.0,459.75,441.29
03/10/2026,456.16,"519,906",463.81,463.81,449.58
03/09/2026,461.48,"664,183",455.9,462.82,445.0
03/06/2026,464.89,"578,754",461.92,465.37,452.65
03/05/2026,472.89,"534,995",465.73,473.38,465.11
03/04/2026,468.91,"551,820",468.99,474.83,468.29
03/03/2026,465.68,"870,007",464.07,470.1,458.875
03/02/2026,475.33,"487,620",460.93,477.81,460.93
02/27/2026,470.12,"750,537",475.84,479.53,465.05
02/26/2026,486.98,"557,308",479.65,487.87,475.0
02/25/2026,478.25,"631,363",470.38,479.09,466.4905
02/24/2026,466.24,"763,360",450.33,466.52,449.86
02/23/2026,453.78,"844,010",467.11,470.5,448.59
02/20/2026,471.69,"538,165",470.33,471.85,461.675
02/19/2026,472.43,"664,841",473.31,475.81,467.56
02/18/2026,477.79,"498,113",471.67,483.45,471.07
02/17/2026,468.78,"740,353",481.68,482.0,468.73
02/13/2026,473.67,"677,276",468.56,478.02,464.32
02/12/2026,467.3,"1,691,778",480.87,492.185,451.96
02/11/2026,485.96,"1,351,664",509.81,509.81,484.375
02/10/2026,505.64,"1,294,861",532.33,537.05,496.48
02/09/2026,539.11,"679,834",539.95,545.35,537.6
02/06/2026,542.99,"522,267",539.85,547.0,533.99
02/05/2026,535.02,"625,668",545.0,548.18,532.1
02/04/2026,545.5,"1,083,406",531.59,550.18,531.59
02/03/2026,530.05,"707,666",529.49,535.0,519.84
02/02/2026,532.18,"697,502",526.4,535.16,521.8
01/30/2026,527.19,"1,159,477",527.25,533.08,517.42
01/29/2026,521.36,"1,211,855",537.785,543.0,515.9
01/28/2026,499.67,"546,999",500.33,503.61,496.535
01/27/2026,498.33,"389,765",498.47,501.6482,496.12
01/26/2026,500.53,"506,760",498.76,502.63,496.72
01/23/2026,496.6,"771,998",504.46,506.54,491.04
01/22/2026,508.07,"523,479",507.3,511.79,504.76
01/21/2026,503.75,"554,468",495.68,509.0,494.29
01/20/2026,492.58,"422,594",500.29,506.385,491.2
01/16/2026,509.32,"647,519",507.15,512.62,504.71
01/15/2026,508.1,"423,925",511.15,517.74,507.08
01/14/2026,507.46,"504,940",494.24,507.76,490.68
01/13/2026,495.37,"533,569",509.17,511.29,494.08
01/12/2026,510.16,"577,180",500.0,512.25,500.0
01/09/2026,507.76,"430,645",504.32,510.32,501.09
01/08/2026,503.47,"449,174",496.61,508.495,496.25
01/07/2026,498.04,"674,356",508.58,510.2821,496.44
01/06/2026,510.24,"492,642",506.63,513.39,503.3
01/05/2026,507.89,"482,319",492.63,513.99,492.47
01/02/2026,493.77,"487,223",490.0,494.745,487.0
12/31/2025,490.34,"378,170",493.97,495.45,490.3
12/30/2025,494.47,"319,520",497.81,498.365,494.27
12/29/2025,497.78,"371,809",507.0,507.0,497.13
12/26/2025,501.83,"273,306",501.0,502.465,498.9
12/24/2025,500.97,"270,205",497.83,505.63,497.83
12/23/2025,498.38,"427,983",497.68,499.56,495.0801
12/22/2025,495.92,"465,733",490.82,496.26,490.645
12/19/2025,489.17,"1,865,487",488.94,492.85,486.63
12/18/2025,487.69,"800,161",488.75,493.215,486.72
12/17/2025,487.5,"712,863",487.76,493.01,486.42
12/16/2025,486.6,"603,943",492.88,494.58,485.29
12/15/2025,491.49,"495,949",497.47,499.0,483.76
12/12/2025,493.63,"526,933",499.72,500.185,492.64
12/11/2025,498.61,"1,313,737",496.62,501.52,492.912
12/10/2025,497.26,"978,681",482.76,500.22,479.73
12/09/2025,478.21,"404,730",477.48,484.56,473.9
12/08/2025,476.73,"550,556",474.62,477.68,472.72
12/05/2025,477.06,"451,184",471.7,480.655,471.7
12/04/2025,474.11,"533,340",472.34,478.29,470.75
12/03/2025,470.11,"614,416",457.78,470.83,457.28
12/02/2025,456.79,"435,194",457.47,460.24,452.31
12/01/2025,454.91,"579,798",451.87,460.54,447.92
11/28/2025,455.74,"271,271",456.14,459.4899,452.7336
11/26/2025,453.47,"387,428",451.96,457.41,450.78
11/25/2025,452.82,"451,225",446.14,455.35,446.14
11/24/2025,446.05,"1,099,605",447.8,449.905,443.76
11/21/2025,447.56,"524,537",443.56,453.12,442.71
11/20/2025,441.63,"706,566",456.12,460.0,441.25
11/19/2025,449.8,"608,233",444.13,450.5,442.44
11/18/2025,442.81,"908,664",436.03,445.89,431.13
11/17/2025,440.8,"1,065,812",456.61,458.01,437.38
11/14/2025,458.0,"660,680",459.31,464.64,454.835
11/13/2025,459.42,"635,593",467.92,470.715,458.12
11/12/2025,470.54,"393,861",467.76,474.67,466.125
11/11/2025,464.94,"501,628",459.76,465.995,458.0
11/10/2025,459.3,"467,525",460.48,461.72,453.4
11/07/2025,461.43,"697,536",453.68,462.59,450.67
11/06/2025,457.52,"514,430",457.88,462.81,452.55
11/05/2025,459.07,"593,284",451.62,462.51,449.35
11/04/2025,452.0,"532,438",450.73,458.045,448.455
11/03/2025,452.38,"826,477",451.23,455.66,447.84
10/31/2025,452.77,"1,003,206",458.65,458.65,442.2
10/30/2025,454.11,"1,265,422",462.77,466.2,451.02
10/29/2025,478.54,"676,740",477.95,483.32,475.87
10/28/2025,484.54,"429,724",483.41,487.66,480.19
10/27/2025,484.63,"488,783",483.46,486.575,480.68
10/24/2025,479.18,"309,793",480.45,482.84,477.7801
10/23/2025,478.15,"374,592",476.6,479.68,472.445
10/22/2025,472.75,"583,560",479.4,481.84,472.1301
10/21/2025,479.36,"532,533",471.62,481.72,471.62
10/20/2025,472.68,"761,780",472.03,476.715,472.03
10/17/2025,470.25,"1,065,274",468.05,470.7099,463.0
10/16/2025,467.73,"600,228",482.19,484.3593,463.985
10/15/2025,481.27,"500,548",490.22,493.69,478.52
10/14/2025,486.52,"448,299",477.8,492.485,477.8
10/13/2025,481.81,"404,124",486.13,487.335,480.305
