date,close,volume,open,high,low
05/15/2026,170.63,"4,632,974",170.18,172.35,167.37
05/14/2026,170.5,"2,922,522",174.63,175.3,170.19
05/13/2026,173.87,"3,271,248",176.77,176.81,171.01
05/12/2026,178.82,"3,384,156",174.59,180.51,174.53
05/11/2026,177.47,"2,456,447",177.05,178.99,176.145
05/08/2026,176.53,"3,510,339",179.83,179.83,176.11
05/07/2026,179.77,"2,589,507",179.495,180.97,178.425
05/06/2026,180.16,"2,115,970",179.15,181.25,178.4101
05/05/2026,178.12,"2,244,234",180.0,180.68,176.71
05/04/2026,180.88,"1,625,501",180.67,182.63,179.23
05/01/2026,181.61,"1,943,196",183.77,184.11,180.87
04/30/2026,182.71,"3,006,551",177.99,182.98,177.07
04/29/2026,178.19,"2,775,028",177.54,179.22,176.59
04/28/2026,178.4,"4,484,665",176.5,180.18,174.29
04/27/2026,175.3,"3,046,874",178.64,178.9,174.7
04/24/2026,178.21,"3,065,032",178.89,179.62,176.26
04/23/2026,179.01,"2,433,888",177.55,179.21,176.38
04/22/2026,176.31,"2,269,508",176.93,178.19,174.82
04/21/2026,174.76,"3,564,039",181.74,181.88,174.31
04/20/2026,181.66,"2,778,873",181.37,183.425,180.5
04/17/2026,182.36,"4,708,628",178.29,183.07,177.41
04/16/2026,178.6,"1,916,017",177.17,178.64,176.58
04/15/2026,176.99,"2,129,148",177.77,178.7,176.2201
04/14/2026,176.41,"2,887,549",178.44,178.8365,173.0
04/13/2026,180.94,"2,598,059",179.48,181.21,178.48
04/10/2026,179.29,"3,179,859",180.55,181.58,178.31
04/09/2026,179.93,"3,273,998",175.24,182.36,175.24
04/08/2026,176.18,"3,465,380",175.0,177.2,173.73
04/07/2026,174.08,"3,617,106",175.82,176.38,172.885
04/06/2026,176.14,"2,898,930",172.74,177.23,171.7169
04/02/2026,173.73,"4,241,560",171.49,176.47,170.34
04/01/2026,171.02,"2,311,150",172.67,173.91,169.79
03/31/2026,172.58,"4,425,844",172.63,173.11,170.48
03/30/2026,170.36,"3,106,512",171.54,173.03,169.78
03/27/2026,169.52,"2,468,596",168.79,171.66,167.97
03/26/2026,168.92,"2,890,433",167.29,169.07,165.75
03/25/2026,167.27,"4,107,818",169.48,171.99,165.08
03/24/2026,170.36,"4,558,299",175.49,176.38,170.1
03/23/2026,176.5,"4,363,182",179.195,179.625,173.15
03/20/2026,176.79,"6,368,009",184.02,185.72,175.6
