date,close,volume,open,high,low
05/15/2026,264.14,"40,770,340",262.5,264.355,260.8901
05/14/2026,267.22,"31,338,440",269.15,270.7799,266.63
05/13/2026,270.13,"39,670,920",264.43,270.72,263.2
05/12/2026,265.82,"36,776,220",266.71,267.65,262.63
05/11/2026,268.99,"38,176,700",269.835,273.63,268.48
05/08/2026,272.68,"34,732,680",271.63,274.0,269.95
05/07/2026,271.17,"35,892,880",275.02,276.63,270.49
05/06/2026,274.99,"44,551,960",272.89,277.8,272.2076
05/05/2026,273.55,"41,908,530",276.075,278.56,272.38
05/04/2026,272.05,"49,083,730",268.795,276.1,268.795
05/01/2026,268.26,"50,825,230",265.58,273.315,262.74
04/30/2026,265.06,"100,974,900",273.17,273.88,256.16
04/29/2026,263.04,"72,367,910",257.99,265.91,257.7
04/28/2026,259.7,"42,204,450",258.39,261.03,256.63
04/27/2026,261.12,"44,906,840",263.46,264.15,260.34
04/24/2026,263.99,"53,777,350",259.98,264.5,257.685
04/23/2026,255.08,"39,091,390",255.39,258.79,253.07
04/22/2026,255.36,"36,065,070",252.44,255.94,250.33
04/21/2026,249.91,"42,922,400",255.09,255.09,249.1
04/20/2026,248.28,"39,463,110",249.19,250.18,245.365
04/17/2026,250.56,"52,029,290",254.985,256.18,250.11
04/16/2026,249.7,"41,895,710",248.51,250.0,244.2
04/15/2026,248.5,"43,045,160",249.25,250.44,247.2
04/14/2026,249.02,"72,685,030",241.78,252.18,241.78
04/13/2026,239.89,"42,166,150",237.45,240.0,235.75
04/10/2026,238.38,"56,912,840",235.295,240.43,235.21
04/09/2026,233.65,"65,964,170",225.232,233.8,223.27
04/08/2026,221.25,"51,092,700",223.79,226.1,219.62
04/07/2026,213.77,"28,154,560",211.24,213.97,209.075
04/06/2026,212.79,"25,385,500",209.795,212.95,209.59
04/02/2026,209.77,"31,453,040",206.54,212.2125,204.9
04/01/2026,210.57,"45,955,400",210.435,213.58,208.19
03/31/2026,208.27,"58,470,080",204.845,210.28,204.14
03/30/2026,200.95,"46,373,800",201.48,203.8,199.9802
03/27/2026,199.34,"56,009,760",206.455,206.6,199.14
03/26/2026,207.54,"46,745,980",210.61,212.885,207.12
03/25/2026,211.71,"36,388,790",211.56,213.07,209.9
03/24/2026,207.24,"35,351,430",207.95,209.35,206.64
03/23/2026,210.14,"44,277,360",209.79,212.8,209.51
03/20/2026,205.37,"63,694,600",207.4,207.54,204.316
03/19/2026,208.76,"36,440,620",207.06,209.12,206.05
