date,close,volume,open,high,low
05/15/2026,141.97,"10,833,010",144.99,145.9,141.78
05/14/2026,147.81,"15,728,190",142.5,147.89,141.0
05/13/2026,140.69,"14,164,580",144.8,147.31,140.3
05/12/2026,142.54,"12,796,120",136.78,142.94,135.37
05/11/2026,136.43,"18,520,890",141.4,142.62,135.13
05/08/2026,141.77,"20,371,600",142.65,143.99,138.6
05/07/2026,141.75,"18,255,650",149.22,149.44,139.68
05/06/2026,147.06,"35,627,190",153.0,154.83,140.58
05/05/2026,170.22,"15,684,760",177.0,177.22,169.89
05/04/2026,172.62,"7,167,905",175.68,179.1,172.285
05/01/2026,172.7,"7,652,433",172.99,177.18,172.0
04/30/2026,172.71,"6,141,684",172.01,173.58,167.76
04/29/2026,168.68,"6,270,538",166.1,168.73,163.42
04/28/2026,165.29,"7,414,052",166.48,167.82,162.25
04/27/2026,172.47,"6,782,537",176.72,176.76,168.51
04/24/2026,176.91,"7,508,022",174.53,179.8,173.52
04/23/2026,172.55,"7,427,999",177.5,177.75,169.38
04/22/2026,177.73,"8,699,422",174.4,178.48,171.14
04/21/2026,172.86,"8,918,861",170.0,173.85,167.22
04/20/2026,166.85,"6,113,334",165.0,167.9,164.49
04/17/2026,164.23,"8,216,373",162.235,165.28,160.47
04/16/2026,161.01,"7,205,615",155.92,161.01,153.36
04/15/2026,154.33,"5,835,301",154.82,155.225,150.5201
04/14/2026,154.37,"7,114,015",153.99,155.41,150.9861
04/13/2026,152.02,"7,217,926",146.73,152.14,144.7959
04/10/2026,147.35,"7,054,131",147.54,149.34,145.4
04/09/2026,146.05,"7,266,114",145.11,146.19,141.11
04/08/2026,145.07,"12,136,780",143.0,146.16,141.12
04/07/2026,133.64,"5,758,018",127.85,133.7,127.55
04/06/2026,126.25,"3,033,084",127.32,128.165,125.165
04/02/2026,126.68,"5,125,073",121.1,127.2,119.7907
04/01/2026,124.85,"5,037,709",126.06,127.25,124.66
03/31/2026,122.78,"7,837,660",118.62,123.46,117.42
03/30/2026,116.13,"7,540,489",122.01,123.34,115.42
03/27/2026,120.77,"5,940,233",121.34,123.72,120.3417
03/26/2026,122.55,"7,553,542",131.79,132.5,122.51
03/25/2026,135.01,"5,353,268",133.21,135.08,131.15
03/24/2026,130.8,"7,858,850",134.21,135.7,129.19
03/23/2026,135.88,"6,402,155",133.48,138.21,132.2
03/20/2026,131.22,"11,351,550",134.0,135.3,128.9
03/19/2026,136.26,"4,418,865",133.74,136.57,132.35
03/18/2026,136.07,"5,264,126",133.5,137.56,133.5
03/17/2026,133.07,"5,958,965",135.01,136.7,132.31
03/16/2026,135.35,"7,884,154",133.87,136.28,131.91
03/13/2026,133.57,"5,364,822",134.82,137.595,130.51
03/12/2026,134.03,"5,494,208",137.74,137.78,133.69
03/11/2026,138.23,"4,171,895",139.16,141.14,137.6536
03/10/2026,139.62,"5,435,820",138.0,141.77,137.89
03/09/2026,137.17,"6,715,157",130.405,137.675,129.79
03/06/2026,132.89,"6,281,963",136.39,139.0581,132.73
03/05/2026,139.4,"8,393,018",135.115,139.48,134.0
03/04/2026,134.83,"6,897,724",127.87,135.56,127.4
03/03/2026,124.6,"6,119,674",125.33,126.83,122.37
03/02/2026,129.3,"6,874,981",129.65,130.69,127.26
