date,close,volume,open,high,low
05/15/2026,56.01,"1,829,371",56.98,57.37,55.98
05/14/2026,57.97,"1,867,499",57.63,58.01,57.05
05/13/2026,56.98,"1,558,184",57.84,58.225,56.77
05/12/2026,58.09,"1,391,361",58.67,58.865,57.49
05/11/2026,58.52,"1,765,093",58.66,59.21,58.28
05/08/2026,58.6,"1,859,295",60.41,60.7,58.59
05/07/2026,60.23,"1,973,022",61.21,61.41,59.76
05/06/2026,61.06,"1,857,874",59.93,61.44,59.82
05/05/2026,58.88,"1,462,499",59.12,59.18,58.2153
05/04/2026,58.86,"2,079,613",59.66,60.09,58.47
05/01/2026,60.35,"2,368,359",62.0,62.225,60.02
04/30/2026,61.84,"4,557,070",64.64,65.3,59.83
04/29/2026,63.68,"2,615,828",63.91,64.38,63.12
04/28/2026,63.91,"1,260,638",65.02,65.02,63.345
04/27/2026,64.68,"1,354,105",64.63,65.2625,64.18
04/24/2026,64.38,"1,145,148",64.97,65.35,64.125
04/23/2026,65.09,"1,455,820",65.2,65.92,64.76
04/22/2026,64.81,"1,372,376",65.5,65.64,64.265
04/21/2026,64.99,"852,916",65.59,66.18,64.87
04/20/2026,65.6,"1,403,509",64.63,65.68,64.44
04/17/2026,64.82,"2,422,452",63.93,66.29,63.93
04/16/2026,63.28,"1,745,507",63.44,64.24,63.0
04/15/2026,63.37,"2,406,196",66.07,66.56,62.14
04/14/2026,66.93,"1,059,046",67.06,67.28,66.5
04/13/2026,67.18,"1,125,925",65.79,67.21,65.427
04/10/2026,65.92,"1,659,102",67.44,67.61,65.87
04/09/2026,67.27,"1,395,930",66.32,67.89,66.19
04/08/2026,66.77,"1,438,671",66.45,67.22,66.015
04/07/2026,64.19,"1,129,027",64.42,64.673,63.69
04/06/2026,64.68,"912,869",63.87,64.82,63.685
04/02/2026,64.35,"1,132,443",63.77,65.4559,63.39
04/01/2026,65.08,"1,609,640",66.05,66.63,65.01
03/31/2026,65.94,"1,138,451",64.55,66.38,63.935
03/30/2026,63.68,"1,212,717",65.21,65.22,63.63
03/27/2026,64.42,"1,211,737",65.38,65.71,64.19
03/26/2026,65.61,"1,305,019",66.3,67.175,65.285
03/25/2026,66.9,"1,874,853",66.07,67.15,65.31
03/24/2026,65.45,"1,152,003",64.3,65.82,64.14
03/23/2026,65.07,"1,750,466",65.57,65.65,64.66
03/20/2026,64.09,"2,863,534",64.43,64.91,63.34
03/19/2026,64.54,"1,919,057",63.57,64.6,63.28
03/18/2026,64.02,"1,187,178",65.13,65.6055,63.915
03/17/2026,65.74,"1,420,433",66.86,66.86,64.841
03/16/2026,66.4,"1,344,827",67.44,67.84,66.135
03/13/2026,66.84,"1,208,452",67.28,67.56,66.22
03/12/2026,66.57,"1,496,875",67.24,68.17,66.45
03/11/2026,68.11,"1,874,864",69.46,69.46,66.8
03/10/2026,69.82,"1,335,298",70.13,71.46,69.42
03/09/2026,70.46,"1,450,114",70.14,70.9,67.93
03/06/2026,71.01,"1,252,225",71.0,71.535,69.95
03/05/2026,72.02,"1,487,958",72.23,73.31,71.37
03/04/2026,73.35,"2,234,404",75.82,75.82,72.65
03/03/2026,75.63,"1,604,633",76.24,76.89,75.03
03/02/2026,77.93,"1,016,299",77.22,78.385,76.6
02/27/2026,78.0,"1,491,467",76.72,78.13,76.28
02/26/2026,77.15,"822,056",76.76,77.41,75.7933
02/25/2026,76.3,"1,144,662",77.19,77.6,75.01
02/24/2026,77.2,"681,912",77.01,77.95,76.9501
02/23/2026,76.77,"989,520",77.78,78.39,76.68
02/20/2026,77.81,"1,124,541",77.82,79.185,76.96
02/19/2026,77.69,"1,296,057",78.6,79.0651,77.335
02/18/2026,78.96,"873,427",79.23,79.895,78.73
02/17/2026,79.47,"1,249,592",80.1,80.9,78.79
02/13/2026,80.46,"1,077,996",79.64,80.59,79.18
02/12/2026,79.62,"912,734",80.65,81.865,79.6
02/11/2026,80.22,"1,127,150",80.31,81.53,79.7
02/10/2026,80.47,"1,348,645",79.24,80.625,78.87
02/09/2026,79.08,"1,125,137",78.67,79.79,78.39
02/06/2026,78.98,"1,103,290",78.71,79.23,78.4
02/05/2026,78.11,"1,351,546",77.86,78.575,77.72
02/04/2026,78.37,"3,422,188",77.11,78.89,76.44
02/03/2026,76.34,"1,957,085",74.84,77.23,74.54
02/02/2026,74.71,"1,793,066",73.27,74.885,72.77
01/30/2026,73.49,"1,939,411",73.56,73.655,72.05
01/29/2026,73.17,"3,734,385",72.18,74.42,71.135
01/28/2026,69.49,"2,822,507",70.11,70.7,69.355
01/27/2026,70.64,"1,418,763",71.0,72.055,70.375
01/26/2026,71.02,"1,181,988",72.47,72.82,70.81
01/23/2026,72.46,"943,547",73.05,73.1898,71.975
01/22/2026,73.09,"1,125,864",72.73,73.39,72.29
01/21/2026,72.24,"910,419",71.28,72.775,70.99
01/20/2026,70.56,"1,179,728",71.4,71.91,70.15
01/16/2026,72.48,"1,153,896",71.92,72.55,71.63
01/15/2026,71.99,"1,054,986",71.94,72.08,71.32
01/14/2026,71.18,"996,096",70.5,71.645,70.5
01/13/2026,70.57,"990,854",71.46,71.57,69.97
01/12/2026,71.01,"1,285,213",69.86,71.61,69.86
01/09/2026,70.52,"1,478,023",70.97,71.68,69.54
01/08/2026,70.4,"1,859,414",66.69,70.815,66.69
01/07/2026,67.12,"1,110,771",68.81,69.0086,67.11
01/06/2026,68.65,"1,065,953",67.77,69.04,67.39
01/05/2026,68.51,"1,493,709",67.79,69.0,67.66
01/02/2026,68.32,"1,318,826",67.06,68.53,66.65
12/31/2025,66.88,"666,922",67.54,67.745,66.8375
12/30/2025,67.74,"695,205",67.89,68.245,67.63
12/29/2025,68.08,"1,059,733",67.55,68.13,67.4248
12/26/2025,67.76,"543,236",67.87,68.01,67.5
12/24/2025,67.96,"562,131",67.8,68.25,67.49
12/23/2025,67.74,"747,639",68.21,68.3819,67.35
12/22/2025,68.11,"883,683",67.8,68.51,67.74
12/19/2025,68.01,"2,287,805",68.42,68.5,67.71
12/18/2025,68.19,"984,701",68.31,69.14,68.02
12/17/2025,68.08,"1,185,752",67.49,68.79,67.18
12/16/2025,67.94,"1,146,709",68.92,68.99,67.61
12/15/2025,68.82,"1,195,285",68.88,69.35,68.1001
12/12/2025,68.72,"1,289,768",68.89,69.5,68.185
12/11/2025,68.58,"1,095,434",68.71,69.13,68.0111
12/10/2025,67.92,"1,145,968",66.66,68.22,66.595
12/09/2025,66.43,"1,142,774",66.91,67.24,66.18
12/08/2025,67.15,"1,934,492",67.87,67.87,66.595
12/05/2025,68.03,"1,931,240",67.51,68.4,67.26
12/04/2025,67.2,"1,728,696",67.69,68.91,66.81
12/03/2025,67.32,"1,187,925",65.84,67.45,65.77
