date,close,volume,open,high,low
05/15/2026,125.0,"10,352,460",128.385,128.7,124.7226
05/14/2026,129.19,"10,849,030",124.93,129.44,123.55
05/13/2026,124.64,"11,311,070",129.95,129.98,123.55
05/12/2026,127.87,"15,959,370",123.94,128.17,123.595
05/11/2026,122.47,"24,755,920",127.97,128.41,121.43
05/08/2026,128.03,"18,190,970",137.58,137.8,127.63
05/07/2026,136.62,"9,002,706",139.11,139.11,134.39
05/06/2026,138.47,"10,534,380",138.0,140.88,137.02
05/05/2026,136.69,"11,698,790",143.45,144.12,135.92
05/04/2026,141.03,"7,194,163",143.45,143.95,140.19
05/01/2026,142.3,"5,773,915",146.48,146.67,142.28
04/30/2026,147.27,"9,313,957",151.94,152.84,143.61
04/29/2026,148.38,"14,324,320",154.0,154.918,146.55
04/28/2026,143.72,"9,871,588",144.0,147.41,142.259
04/27/2026,148.64,"6,348,017",149.25,150.0,144.45
04/24/2026,149.71,"4,662,230",151.36,151.73,148.51
04/23/2026,150.18,"6,733,587",149.07,152.0,148.61
04/22/2026,148.13,"9,364,520",148.13,151.25,145.41
04/21/2026,151.93,"7,371,664",153.99,155.4569,151.27
04/20/2026,152.81,"6,102,724",153.0,154.245,152.0
04/17/2026,151.06,"6,784,995",149.78,152.41,149.76
04/16/2026,148.96,"6,460,081",147.0,149.07,145.39
04/15/2026,146.98,"7,313,586",148.0,148.72,144.5
04/14/2026,148.72,"8,364,376",147.86,149.21,145.72
04/13/2026,145.27,"7,634,984",140.0,145.35,139.92
04/10/2026,140.75,"9,737,525",138.81,143.7,138.42
04/09/2026,137.68,"6,807,619",136.69,138.17,134.15
04/08/2026,135.32,"7,055,686",136.0,136.6,131.82
04/07/2026,128.38,"4,462,120",125.2,128.4,124.68
04/06/2026,126.49,"4,605,632",128.0,128.475,126.1
04/02/2026,128.0,"5,587,580",123.18,129.19,123.0
04/01/2026,127.7,"7,359,939",127.17,129.73,127.16
03/31/2026,126.35,"10,075,720",122.28,126.51,121.0
03/30/2026,119.15,"8,171,710",125.4,126.37,118.24
03/27/2026,123.62,"7,805,964",122.5,126.015,121.332
03/26/2026,123.13,"9,646,193",125.25,127.23,122.6
03/25/2026,128.73,"11,719,800",129.86,131.71,126.76
03/24/2026,127.96,"9,732,338",128.6,133.0881,127.75
03/23/2026,130.67,"7,714,892",129.12,133.4099,128.58
03/20/2026,126.74,"14,276,130",130.14,130.83,124.68
03/19/2026,130.65,"7,153,787",125.83,131.99,125.4
03/18/2026,127.81,"12,619,040",135.29,136.62,126.47
03/17/2026,135.12,"13,196,410",139.89,144.25,134.24
03/16/2026,136.8,"10,492,840",137.0,140.58,135.65
03/13/2026,133.92,"7,246,888",131.93,136.85,131.92
03/12/2026,131.47,"8,937,406",132.31,132.49,128.54
03/11/2026,134.54,"6,628,944",136.44,136.79,132.695
03/10/2026,136.74,"7,156,268",136.38,139.36,135.51
03/09/2026,136.06,"8,755,130",129.57,136.73,128.6103
03/06/2026,131.87,"7,975,628",133.17,135.4,130.571
03/05/2026,136.24,"13,923,080",136.0,140.38,133.87
03/04/2026,132.75,"11,544,580",132.12,133.475,129.117
03/03/2026,129.58,"15,242,070",130.0,131.9225,127.6
03/02/2026,135.16,"14,746,820",141.495,142.14,134.77
02/27/2026,146.06,"9,827,484",145.48,147.51,143.54
02/26/2026,148.47,"7,755,864",153.25,153.65,143.83
02/25/2026,152.64,"5,653,475",151.45,154.05,148.81
02/24/2026,151.5,"8,000,387",148.58,151.71,145.5
02/23/2026,147.82,"6,070,412",150.12,151.755,147.2
02/20/2026,151.04,"7,467,401",149.69,153.63,149.69
02/19/2026,151.2,"5,230,807",147.0,151.38,146.31
02/18/2026,147.73,"7,485,197",150.0,151.37,147.08
02/17/2026,148.57,"6,844,790",144.75,149.31,143.0301
02/13/2026,146.72,"9,378,769",143.65,148.82,141.02
02/12/2026,143.73,"11,352,630",147.3,148.87,143.69
02/11/2026,144.04,"8,910,844",147.77,147.77,138.795
02/10/2026,144.14,"10,687,640",146.05,147.3799,143.14
02/09/2026,144.2,"9,321,240",137.17,145.265,136.61
02/06/2026,136.23,"11,531,470",132.16,138.305,132.13
02/05/2026,127.63,"19,602,570",129.5,130.68,126.21
02/04/2026,130.0,"21,254,220",146.81,147.01,129.39
02/03/2026,147.06,"10,358,520",146.85,149.24,140.98
02/02/2026,144.93,"9,951,127",144.0,148.51,144.0
01/30/2026,144.08,"12,333,740",147.95,149.66,143.75
01/29/2026,149.58,"16,929,360",148.26,151.4138,145.75
01/28/2026,145.96,"37,790,620",141.0,153.41,140.0
01/27/2026,166.25,"18,312,520",157.88,167.04,157.45
01/26/2026,155.56,"10,563,890",150.65,156.69,150.02
01/23/2026,150.99,"7,333,749",151.25,151.8,147.9
01/22/2026,152.5,"7,799,565",156.0,157.54,148.87
01/21/2026,154.6,"8,664,662",153.075,155.84,150.48
01/20/2026,152.33,"10,669,240",150.6,154.39,149.5251
01/16/2026,154.39,"9,602,052",155.0,155.0,151.6201
01/15/2026,154.22,"10,078,930",150.16,156.28,149.5
01/14/2026,146.75,"9,420,524",148.17,148.6911,144.38
01/13/2026,148.97,"8,061,506",146.19,149.11,144.09
01/12/2026,145.11,"10,134,280",141.66,147.25,141.5
01/09/2026,140.16,"5,192,056",136.26,140.49,135.915
01/08/2026,136.25,"6,971,054",137.76,138.265,134.1
01/07/2026,138.91,"8,295,244",139.67,140.3255,137.96
01/06/2026,141.38,"12,854,590",137.66,141.41,130.6201
01/05/2026,139.88,"10,179,260",141.05,143.3,139.0001
01/02/2026,139.71,"7,178,604",137.12,139.94,136.69
12/31/2025,135.14,"3,303,215",136.64,137.145,135.03
12/30/2025,136.2,"3,551,799",137.27,137.85,135.94
12/29/2025,136.9,"4,377,086",136.2,137.59,135.8245
12/26/2025,137.43,"2,668,167",137.94,138.32,136.84
12/24/2025,137.94,"2,162,371",137.18,138.15,136.645
12/23/2025,137.12,"4,806,955",133.66,137.25,133.28
12/22/2025,135.14,"5,348,979",137.0,137.21,133.285
12/19/2025,135.29,"17,537,480",130.07,136.84,129.93
12/18/2025,129.61,"8,009,240",129.21,130.51,127.89
12/17/2025,126.51,"12,047,340",129.46,129.91,125.38
12/16/2025,129.13,"7,901,671",129.06,130.42,127.81
12/15/2025,129.9,"8,042,448",130.15,131.28,129.41
12/12/2025,129.24,"13,261,010",138.11,138.21,128.28
12/11/2025,139.09,"7,247,953",137.8,139.15,134.16
12/10/2025,138.68,"6,758,767",138.55,139.427,136.36
12/09/2025,138.58,"5,597,638",139.66,140.93,137.8
12/08/2025,140.06,"3,882,755",140.0,142.27,139.64
12/05/2025,139.36,"7,437,491",139.96,139.96,137.01
12/04/2025,139.46,"8,194,869",137.99,140.3297,137.68
12/03/2025,138.65,"10,115,390",140.93,141.055,137.31
12/02/2025,141.49,"8,723,278",142.0,143.48,140.9
12/01/2025,139.22,"7,337,911",139.64,140.09,137.3
11/28/2025,140.9,"3,195,094",139.49,140.96,138.3
11/26/2025,138.72,"6,443,412",138.92,139.44,137.76
11/25/2025,137.81,"7,102,867",137.51,138.34,133.935
11/24/2025,137.88,"13,568,380",132.67,138.31,132.53
11/21/2025,131.6,"8,207,291",130.36,132.19,127.19
11/20/2025,130.36,"10,313,300",140.69,140.69,130.21
11/19/2025,136.66,"8,981,254",132.2,136.76,131.69
11/18/2025,132.44,"8,100,291",132.32,133.19,129.76
11/17/2025,132.33,"6,000,918",132.59,135.42,131.25
11/14/2025,133.74,"9,797,554",130.335,136.695,130.15
11/13/2025,135.25,"10,097,680",141.18,141.35,134.83
11/12/2025,141.92,"6,538,561",143.98,144.05,140.75
11/11/2025,143.47,"6,977,276",142.5,143.9,140.68
11/10/2025,143.85,"7,783,110",141.25,144.37,140.76
11/07/2025,139.09,"8,749,472",136.76,139.21,134.51
11/06/2025,138.11,"7,647,442",139.41,139.99,135.67
11/05/2025,138.87,"8,079,306",136.68,141.05,136.5
11/04/2025,136.7,"10,704,560",136.63,138.58,135.86
11/03/2025,141.55,"9,568,735",140.31,142.5,139.9865
