date,close,volume,open,high,low
05/15/2026,501.0,"5,352,669",479.99,504.98,476.5
05/14/2026,485.16,"5,963,586",452.56,487.77,450.3202
05/13/2026,453.53,"5,615,831",487.39,487.39,450.3
05/12/2026,490.69,"4,690,554",480.38,492.7299,477.43
05/11/2026,478.42,"4,568,485",456.07,479.28,447.085
05/08/2026,468.55,"7,766,914",494.07,495.0,447.475
05/07/2026,498.87,"12,597,310",454.875,512.6899,443.0
05/06/2026,468.83,"7,943,732",479.0,479.31,452.5154
05/05/2026,478.11,"3,259,932",480.17,483.29,469.62
05/04/2026,475.0,"3,804,258",466.949,483.55,462.0
05/01/2026,460.0,"2,484,205",459.055,469.73,450.48
04/30/2026,446.35,"2,247,755",445.16,449.3,433.59
04/29/2026,443.43,"2,337,593",448.72,448.72,430.25
04/28/2026,449.03,"2,785,561",455.0,462.9999,441.5
04/27/2026,460.29,"3,522,887",443.145,461.7,442.0
04/24/2026,448.29,"4,365,575",455.0,457.4667,431.42
04/23/2026,454.17,"3,531,347",470.71,471.19,442.3893
04/22/2026,483.71,"3,430,394",481.75,484.49,468.5
04/21/2026,473.18,"3,854,013",489.5,491.99,470.501
04/20/2026,490.96,"3,795,781",470.51,491.4,465.55
04/17/2026,477.2,"4,014,881",478.5,486.46,472.24
04/16/2026,466.09,"4,517,399",484.0,487.59,461.56
04/15/2026,464.63,"4,915,433",438.95,465.91,433.67
04/14/2026,433.51,"3,204,076",428.545,436.04,424.94
04/13/2026,417.45,"5,499,788",395.66,422.465,394.304
04/10/2026,391.38,"4,848,160",376.0,391.94,364.64
04/09/2026,379.14,"6,540,492",394.14,397.9899,369.19
04/08/2026,391.2,"5,944,248",440.495,449.48,383.4
04/07/2026,410.44,"2,933,282",407.37,415.6,398.35
04/06/2026,412.68,"4,259,916",391.01,414.29,391.01
04/02/2026,386.37,"3,204,114",376.74,393.91,366.75
04/01/2026,387.84,"3,189,386",402.005,403.9899,385.0127
03/31/2026,398.0,"4,661,315",379.5,399.38,373.0
03/30/2026,372.08,"5,035,601",380.71,386.5,366.64
03/27/2026,381.2,"4,126,686",392.6,398.995,380.38
03/26/2026,391.21,"6,293,093",412.345,413.34,388.6
03/25/2026,436.69,"2,943,484",442.44,444.88,429.38
03/24/2026,435.91,"4,052,188",455.6,458.1,427.7
03/23/2026,458.95,"4,583,452",445.93,473.0,445.77
03/20/2026,442.39,"4,770,434",432.495,443.2,422.01
03/19/2026,439.92,"4,760,146",428.325,441.17,416.0
03/18/2026,442.57,"3,514,858",453.61,471.7207,442.2
03/17/2026,459.09,"4,331,461",450.32,469.09,447.725
03/16/2026,453.3,"3,998,180",460.84,465.99,446.88
03/13/2026,458.67,"3,791,396",450.8,465.0,446.66
03/12/2026,449.33,"5,004,672",462.48,468.5,448.6
03/11/2026,461.45,"5,712,910",482.96,483.99,456.95
03/10/2026,477.39,"6,688,490",512.65,516.9999,473.0
03/09/2026,517.23,"5,332,499",498.345,520.36,494.0
03/06/2026,502.14,"5,177,269",507.03,509.5,491.2
03/05/2026,508.56,"7,623,837",486.24,511.77,484.75
03/04/2026,482.81,"8,394,408",445.0,485.16,443.3
03/03/2026,438.89,"5,193,607",414.01,444.16,406.1
03/02/2026,432.98,"4,098,952",418.69,436.59,410.55
02/27/2026,434.77,"4,889,938",431.79,447.528,426.5
02/26/2026,444.93,"5,884,603",420.69,445.9,417.5621
02/25/2026,421.63,"5,922,732",393.81,427.18,391.72
02/24/2026,393.22,"5,191,758",381.42,398.1125,366.6701
02/23/2026,380.62,"7,207,740",401.63,404.0,375.7
02/20/2026,418.68,"8,669,817",415.0,435.0,414.59
02/19/2026,412.0,"6,165,556",399.02,415.4399,396.0
02/18/2026,404.39,"5,754,218",379.995,407.18,372.5
02/17/2026,376.38,"5,212,097",384.0,388.11,368.18
02/13/2026,390.55,"9,094,355",365.0,391.85,359.0
02/12/2026,366.91,"18,794,890",404.0,404.88,365.01
02/11/2026,456.81,"10,648,630",459.0,471.97,438.18
02/10/2026,472.92,"6,146,096",473.155,482.0,461.705
02/09/2026,460.38,"10,320,500",421.34,471.7299,419.5201
02/06/2026,406.72,"6,463,797",399.32,410.21,380.3
02/05/2026,375.23,"8,725,455",387.055,388.6,360.12
02/04/2026,387.34,"15,434,610",402.0,410.25,382.4001
02/03/2026,461.79,"7,127,670",483.0,484.99,448.57
02/02/2026,483.0,"6,043,656",502.55,509.0,476.0
01/30/2026,473.11,"12,170,470",559.79,563.47,463.08
01/29/2026,569.24,"5,289,402",550.1,569.92,542.0
01/28/2026,542.36,"4,767,661",546.795,557.9699,537.68
01/27/2026,543.56,"4,658,230",546.82,556.43,536.3
01/26/2026,535.44,"5,656,974",531.97,558.37,529.03
01/23/2026,524.41,"4,835,106",521.5,535.7,509.04
01/22/2026,521.94,"5,650,560",538.93,539.86,514.35
01/21/2026,532.56,"6,676,768",555.01,560.0,530.15
01/20/2026,565.52,"9,763,645",540.96,578.7618,532.21
01/16/2026,568.76,"8,576,847",615.265,615.265,559.82
01/15/2026,606.99,"4,156,377",626.405,629.8,600.2
01/14/2026,617.76,"8,443,401",673.0,675.0,596.76
01/13/2026,668.63,"3,778,645",655.11,679.69,642.8
01/12/2026,658.65,"4,375,351",638.63,663.88,624.7901
01/09/2026,647.72,"3,553,741",616.22,649.77,612.2871
01/08/2026,616.53,"3,029,329",621.86,628.5,605.151
01/07/2026,632.92,"2,934,676",618.0,643.5799,611.0001
01/06/2026,617.24,"4,584,362",629.94,632.04,595.51
01/05/2026,632.91,"3,846,910",617.7,642.28,603.77
01/02/2026,618.32,"5,611,203",683.37,683.5,610.58
12/31/2025,673.82,"1,930,019",693.71,698.7862,672.28
12/30/2025,693.71,"2,249,106",697.89,699.73,683.6164
12/29/2025,698.82,"3,222,396",705.025,705.39,682.0
12/26/2025,714.23,"1,766,931",727.71,732.0,708.2
12/24/2025,727.5,"947,372",727.85,734.7699,721.55
12/23/2025,728.45,"2,229,387",727.38,737.0,710.25
12/22/2025,733.6,"3,192,627",731.97,738.01,722.0301
12/19/2025,721.37,"7,834,000",702.0,732.0,700.0037
12/18/2025,694.37,"3,596,882",675.0,704.13,674.0001
12/17/2025,657.13,"2,997,194",684.59,688.99,656.87
12/16/2025,677.3,"3,233,165",668.5,682.9424,654.0
12/15/2025,675.165,"3,776,116",682.57,691.8999,661.5601
12/12/2025,670.67,"4,171,369",714.28,716.2966,668.74
