date,close,volume,open,high,low
05/15/2026,54.34,"4,684,243",56.74,56.985,54.3
05/14/2026,57.56,"4,034,872",55.05,57.78,54.8275
05/13/2026,54.21,"4,280,146",55.43,56.475,53.99
05/12/2026,54.95,"2,750,165",55.71,56.44,54.83
05/11/2026,55.41,"3,798,157",57.14,57.5999,55.39
05/08/2026,57.94,"5,007,547",57.93,58.27,57.01
05/07/2026,57.11,"4,418,405",57.16,58.05,56.76
05/06/2026,56.8,"4,980,228",55.46,57.71,55.46
05/05/2026,54.83,"10,166,410",58.11,59.28,52.3801
05/04/2026,59.53,"3,085,582",60.13,60.84,59.235
05/01/2026,60.49,"2,473,685",60.29,61.03,59.66
04/30/2026,60.26,"2,290,003",58.61,60.49,58.52
04/29/2026,58.33,"2,347,532",58.83,59.14,58.26
04/28/2026,59.12,"2,664,553",59.95,60.19,58.73
04/27/2026,60.07,"2,199,873",60.03,60.89,59.74
04/24/2026,60.1,"1,762,458",60.44,61.095,59.65
04/23/2026,60.41,"1,942,813",60.48,61.06,59.43
04/22/2026,60.86,"2,658,473",61.18,61.67,60.03
04/21/2026,60.8,"2,190,208",61.02,62.43,60.68
04/20/2026,60.83,"2,004,362",59.24,60.885,59.23
04/17/2026,59.62,"3,501,103",59.45,61.62,59.45
04/16/2026,57.52,"4,062,980",58.61,59.22,56.56
04/15/2026,58.46,"2,383,238",58.92,59.47,57.54
04/14/2026,59.07,"2,919,986",59.83,60.595,59.01
04/13/2026,59.36,"2,606,493",58.94,59.65,58.28
04/10/2026,59.65,"2,365,480",60.57,61.01,59.48
04/09/2026,60.12,"2,679,356",60.35,60.88,59.26
04/08/2026,60.73,"3,082,316",61.42,62.59,60.27
04/07/2026,58.22,"3,040,180",59.84,60.03,57.76
04/06/2026,60.36,"1,758,867",60.64,60.945,59.74
04/02/2026,60.99,"4,050,235",60.8,62.17,59.16
04/01/2026,62.09,"4,785,299",60.16,62.34,59.66
03/31/2026,60.16,"2,324,295",58.6699,60.8488,58.2843
03/30/2026,57.7342,"2,587,527",58.8778,58.8778,56.8548
03/27/2026,58.0807,"2,758,502",60.5845,60.8964,58.0114
03/26/2026,61.4682,"1,659,038",60.6798,62.1093,60.6452
03/25/2026,61.4162,"1,937,579",61.6415,62.5338,61.1217
03/24/2026,61.4422,"2,135,253",60.7231,62.4992,60.6711
03/23/2026,61.4942,"1,886,901",60.8531,61.8321,60.2183
03/20/2026,58.9991,"7,502,249",59.8481,59.9867,58.4619
03/19/2026,59.9261,"2,489,278",59.8048,60.6452,59.1723
03/18/2026,60.7578,"1,873,454",61.217,62.3086,60.6971
03/17/2026,62.3952,"2,011,924",62.7851,63.2789,61.8061
03/16/2026,62.0053,"2,685,222",61.3036,62.7504,61.0653
03/13/2026,61.0783,"2,163,833",61.2863,61.6761,60.5239
03/12/2026,60.7058,"2,914,457",61.2516,61.9187,60.0127
03/11/2026,60.9224,"2,240,693",61.9447,63.2009,60.7318
03/10/2026,62.4212,"2,345,614",63.4088,63.4088,62.1006
