date,close,volume,open,high,low
05/15/2026,209.16,"10,191,180",214.79,216.7,208.5
05/14/2026,228.5,"8,456,947",217.84,228.68,213.23
05/13/2026,221.21,"8,699,995",212.0,222.4699,207.87
05/12/2026,207.92,"7,839,578",204.77,216.498,200.89
05/11/2026,212.65,"10,549,520",206.535,215.5,206.078
05/08/2026,213.27,"11,610,260",216.96,222.0,211.0
05/07/2026,213.31,"22,382,780",222.395,232.23,210.23
05/06/2026,237.3,"26,272,940",232.0,239.5,220.1
05/05/2026,208.84,"7,968,859",210.095,214.39,204.3249
05/04/2026,203.26,"6,725,188",212.5,215.45,198.35
05/01/2026,211.18,"4,970,251",208.15,216.3532,207.16
04/30/2026,210.32,"7,730,811",204.0,215.2,200.04
04/29/2026,201.69,"6,215,549",202.6,203.5,193.91
04/28/2026,198.65,"13,367,890",197.32,204.6693,195.0
04/27/2026,215.88,"13,922,770",224.49,227.3,210.0
04/24/2026,234.81,"20,481,730",221.96,237.68,218.375
04/23/2026,204.61,"16,854,090",194.42,210.8,192.18
04/22/2026,196.57,"13,932,310",180.0,196.66,178.475
04/21/2026,175.49,"6,479,929",175.37,179.4,173.3
04/20/2026,175.1,"8,563,957",167.415,175.315,164.1
04/17/2026,166.73,"5,092,592",167.34,168.35,162.7276
04/16/2026,162.33,"5,748,002",159.99,166.09,156.85
04/15/2026,159.34,"3,650,295",161.22,161.74,156.21
04/14/2026,161.22,"6,294,189",161.03,163.5,157.6
04/13/2026,157.58,"4,900,084",147.78,157.77,147.5
04/10/2026,148.93,"7,431,618",152.41,159.29,147.96
04/09/2026,149.795,"5,325,719",148.23,150.4,145.27
04/08/2026,148.91,"6,480,268",152.16,153.42,145.0
04/07/2026,143.86,"7,070,995",143.815,145.5,137.58
04/06/2026,148.77,"4,137,616",152.18,153.68,146.1
04/02/2026,149.11,"8,183,181",149.77,152.07,145.82
04/01/2026,155.07,"8,306,335",154.39,158.37,152.3
03/31/2026,151.28,"10,203,710",139.9,151.59,139.9
03/30/2026,136.96,"8,033,556",144.1,145.75,136.0
03/27/2026,144.13,"10,269,040",151.53,152.75,142.21
03/26/2026,154.8,"15,671,560",157.35,163.53,154.35
03/25/2026,157.07,"29,579,890",148.255,166.69,148.25
03/24/2026,134.96,"11,039,180",136.0,140.58,133.01
03/23/2026,136.89,"7,959,801",133.43,138.845,133.12
03/20/2026,132.35,"12,450,800",136.9,139.95,131.423
03/19/2026,129.82,"3,497,579",125.0,130.725,124.5
03/18/2026,128.36,"4,206,917",127.81,130.88,127.205
03/17/2026,127.31,"5,890,732",125.17,128.7999,124.8
03/16/2026,121.7,"4,407,330",119.5,123.4392,118.375
03/13/2026,115.75,"2,462,517",115.8,118.06,115.05
03/12/2026,115.12,"3,450,981",118.225,119.25,114.455
03/11/2026,120.1,"2,451,778",120.83,123.2,119.33
03/10/2026,120.55,"3,659,782",117.0,123.605,116.99
03/09/2026,117.63,"3,990,732",112.55,118.14,111.2601
03/06/2026,114.38,"4,331,104",118.125,119.27,113.51
03/05/2026,120.62,"3,441,825",122.85,124.35,118.77
03/04/2026,124.11,"2,984,491",122.7,127.4,121.74
03/03/2026,121.72,"5,303,774",119.275,122.15,116.39
03/02/2026,124.37,"3,831,965",123.32,125.84,121.64
02/27/2026,127.45,"3,112,548",126.145,128.89,126.01
02/26/2026,129.26,"4,135,961",131.94,134.25,126.66
