date,close,volume,open,high,low
05/15/2026,313.48,"2,649,575",312.29,315.49,312.0
05/14/2026,312.77,"3,240,516",313.02,314.68,311.0271
05/13/2026,309.61,"2,966,988",311.12,312.1,307.76
05/12/2026,314.31,"2,275,494",312.33,314.95,311.08
05/11/2026,312.32,"3,081,593",315.29,316.3999,311.81
05/08/2026,316.03,"6,802,220",319.09,320.05,313.61
05/07/2026,318.69,"3,350,456",322.33,324.535,316.8
05/06/2026,321.9,"2,933,923",320.0,324.78,320.0
05/05/2026,315.95,"2,658,444",320.28,320.6,314.5
05/04/2026,319.21,"2,692,256",320.77,322.9,317.46
05/01/2026,319.68,"2,385,914",324.47,325.0,319.46
04/30/2026,323.05,"4,587,853",313.37,323.85,312.23
04/29/2026,315.65,"3,135,973",316.88,317.55,314.01
04/28/2026,315.9,"6,101,444",321.7,323.7,314.96
04/27/2026,318.84,"2,553,044",313.02,318.96,313.02
04/24/2026,314.08,"2,968,073",316.51,318.82,312.5
04/23/2026,318.55,"4,580,621",332.2,332.2,314.75
04/22/2026,332.9,"4,339,808",331.11,334.5,328.0015
04/21/2026,329.79,"2,916,841",331.8,338.09,328.45
04/20/2026,329.87,"2,280,587",331.68,334.74,329.53
04/17/2026,331.69,"4,775,492",330.0,339.98,329.525
04/16/2026,325.76,"2,018,955",328.77,331.17,325.23
04/15/2026,329.06,"2,542,452",328.88,332.4,327.24
04/14/2026,326.96,"2,289,066",325.0,328.91,323.7472
04/13/2026,323.82,"2,581,752",311.18,324.22,310.0
04/10/2026,313.5,"1,991,677",317.37,318.0,313.1331
04/09/2026,317.77,"1,996,185",314.31,318.15,312.18
04/08/2026,316.34,"3,654,150",317.25,322.5,314.94
04/07/2026,307.03,"2,265,485",302.53,307.12,301.71
04/06/2026,305.73,"2,185,213",298.76,305.79,298.4077
04/02/2026,300.18,"2,105,478",295.4,302.75,292.58
04/01/2026,301.45,"3,403,315",306.77,307.25,299.63
03/31/2026,302.48,"3,516,630",302.98,304.47,297.58
03/30/2026,297.49,"3,851,050",294.68,301.46,293.7011
03/27/2026,292.27,"2,751,032",297.29,297.95,291.5
03/26/2026,299.39,"2,887,548",298.57,302.7,295.85
03/25/2026,300.24,"2,823,778",305.0,306.38,296.905
03/24/2026,302.0,"3,639,080",298.81,303.84,297.95
03/23/2026,301.91,"4,319,764",304.98,304.98,297.963
03/20/2026,295.5,"7,116,490",294.97,296.5,290.967
03/19/2026,294.93,"3,027,185",292.28,297.62,291.2801
