date,close,volume,open,high,low
05/14/2026,184.96,"1,027,756",186.69,186.7,184.7
05/13/2026,187.72,"1,733,046",183.36,187.78,183.33
05/12/2026,184.54,"1,596,094",183.01,185.82,182.7
05/11/2026,181.86,"2,106,701",183.79,185.805,181.725
05/08/2026,182.85,"1,910,488",182.71,183.55,181.5775
05/07/2026,182.52,"2,749,511",184.37,184.37,181.03
05/06/2026,184.92,"1,953,704",184.525,185.61,183.55
05/05/2026,181.24,"2,459,981",181.48,181.98,180.0
05/04/2026,183.46,"1,170,156",184.36,185.19,182.8
05/01/2026,184.74,"1,793,655",185.45,187.18,184.01
04/30/2026,187.37,"2,797,434",188.47,190.0,186.87
04/29/2026,185.2,"4,443,017",183.93,187.0,181.73
04/28/2026,186.68,"2,837,504",186.91,187.975,185.405
04/27/2026,187.51,"2,102,078",188.91,190.59,187.2
04/24/2026,189.75,"2,388,277",189.15,189.94,187.56
04/23/2026,192.3,"2,179,282",195.21,196.64,191.81
04/22/2026,194.81,"1,578,964",196.55,196.6532,194.8
04/21/2026,195.78,"2,130,707",198.85,198.99,195.77
04/20/2026,200.69,"1,104,552",202.81,203.37,200.67
04/17/2026,204.8,"1,241,363",202.81,205.3,202.55
04/16/2026,200.47,"1,414,401",201.44,201.8,199.99
04/15/2026,201.21,"1,657,894",204.2,204.39,199.495
04/14/2026,204.38,"2,257,584",202.55,204.73,202.07
04/13/2026,202.24,"1,724,282",202.48,203.18,200.695
04/10/2026,204.03,"1,565,792",207.3,207.3,203.82
04/09/2026,204.99,"1,239,244",202.635,206.498,201.97
04/08/2026,204.27,"2,282,879",205.45,206.73,203.655
04/07/2026,200.81,"2,451,170",198.705,202.0,196.95
04/06/2026,202.83,"1,554,659",204.75,204.75,202.73
04/02/2026,203.49,"2,049,295",199.78,204.34,199.23
04/01/2026,200.73,"2,158,620",198.89,201.74,198.72
03/31/2026,197.22,"2,759,743",194.85,197.27,193.55
03/30/2026,193.88,"2,114,260",193.83,194.6372,192.61
03/27/2026,188.42,"2,762,995",190.88,192.97,187.95
03/26/2026,183.4,"1,850,298",185.075,186.81,182.79
03/25/2026,187.14,"1,483,981",187.67,188.72,186.435
03/24/2026,185.78,"1,596,240",182.63,186.22,182.39
03/23/2026,184.07,"2,009,404",183.86,186.78,183.76
03/20/2026,183.6,"2,068,001",188.14,188.395,182.62
03/19/2026,188.93,"1,469,956",186.73,189.79,186.33
03/18/2026,188.42,"1,174,457",190.67,190.73,187.56
03/17/2026,191.29,"1,455,582",193.96,193.96,190.95
