date,close,volume,open,high,low
05/15/2026,55.2,"1,956,823",56.58,56.58,55.07
05/14/2026,56.62,"1,629,286",56.81,57.15,56.4
05/13/2026,56.45,"2,076,769",57.47,58.25,56.41
05/12/2026,57.57,"2,177,674",57.83,58.07,57.22
05/11/2026,57.72,"2,500,889",59.03,59.3,57.53
05/08/2026,58.52,"3,155,616",58.79,59.72,58.39
05/07/2026,58.41,"3,658,230",59.31,59.52,58.28
05/06/2026,59.0,"5,556,762",58.53,60.28,58.345
05/05/2026,57.11,"5,111,877",61.62,61.62,57.06
05/04/2026,60.93,"3,647,847",60.9,61.43,59.8
05/01/2026,61.33,"1,635,299",61.24,61.615,60.75
04/30/2026,61.08,"3,685,135",59.81,61.33,59.81
04/29/2026,60.29,"2,064,473",61.07,61.98,59.87
04/28/2026,61.43,"3,818,129",61.55,62.35,60.86
04/27/2026,61.07,"2,774,940",61.45,62.09,61.06
04/24/2026,61.32,"2,828,379",62.97,62.97,61.04
04/23/2026,63.12,"1,598,535",63.43,64.0,62.94
04/22/2026,62.67,"2,803,023",63.56,63.7,62.18
04/21/2026,63.36,"2,547,622",64.57,65.07,63.135
04/20/2026,64.03,"2,269,652",64.29,64.84,63.85
04/17/2026,64.48,"2,469,259",63.7,65.36,63.675
04/16/2026,63.37,"3,236,561",63.44,63.7,62.54
04/15/2026,62.76,"2,288,402",63.07,63.07,62.42
04/14/2026,63.51,"1,887,712",63.44,63.765,62.735
04/13/2026,63.6,"2,514,391",61.6,63.82,61.6
04/10/2026,62.29,"1,748,158",63.23,63.63,62.095
04/09/2026,62.87,"1,882,474",61.54,63.07,61.3
04/08/2026,62.1,"1,887,364",60.38,62.2,60.1
04/07/2026,59.26,"1,543,722",59.61,59.93,58.93
04/06/2026,59.73,"1,168,189",59.58,59.94,59.19
04/02/2026,59.97,"1,523,054",59.94,60.53,59.23
04/01/2026,60.37,"3,112,383",59.17,60.94,59.0
03/31/2026,59.11,"2,973,616",58.53,59.51,58.09
03/30/2026,58.03,"3,683,741",59.02,59.125,57.48
03/27/2026,59.27,"2,596,458",59.55,61.14,59.04
