date,close,volume,open,high,low
05/15/2026,17.3,"5,357,053",17.66,17.83,17.23
05/14/2026,17.78,"5,340,567",17.57,17.975,17.39
05/13/2026,17.31,"7,899,497",17.71,17.95,17.09
05/12/2026,17.89,"7,160,751",17.65,18.045,17.495
05/11/2026,17.53,"7,239,900",17.96,18.09,17.28
05/08/2026,17.99,"7,866,016",17.71,18.0,17.285
05/07/2026,17.49,"6,617,783",17.16,17.565,17.16
05/06/2026,16.98,"5,871,328",16.99,17.305,16.86
05/05/2026,16.75,"7,641,369",16.74,16.96,16.475
05/04/2026,16.62,"7,425,913",17.2,17.43,16.5233
05/01/2026,17.21,"10,872,040",17.84,17.85,17.045
04/30/2026,17.58,"21,192,070",17.73,18.015,16.17
04/29/2026,16.9,"15,301,390",17.79,17.82,16.83
04/28/2026,17.94,"9,652,888",18.5,18.64,17.93
04/27/2026,18.49,"7,138,461",18.14,18.67,18.14
04/24/2026,18.16,"5,051,578",18.33,18.48,17.895
04/23/2026,18.41,"4,793,902",18.31,18.49,18.075
04/22/2026,18.31,"4,560,926",18.81,19.105,18.245
04/21/2026,18.49,"7,349,131",18.86,19.185,18.475
04/20/2026,18.84,"6,730,295",18.47,18.97,18.4202
04/17/2026,18.71,"8,972,760",18.26,19.19,18.25
04/16/2026,18.14,"6,056,904",17.57,18.18,17.45
04/15/2026,17.6,"4,005,848",17.61,17.755,17.53
04/14/2026,17.59,"5,761,419",17.74,18.05,17.57
04/13/2026,17.63,"12,110,230",16.96,17.68,16.81
04/10/2026,17.15,"3,536,516",17.42,17.55,17.12
04/09/2026,17.3,"5,440,026",17.18,17.5,16.98
04/08/2026,17.24,"6,358,471",17.4,17.78,17.04
04/07/2026,16.62,"4,742,257",16.71,16.8,16.375
04/06/2026,16.65,"6,418,866",16.66,16.8531,16.51
04/02/2026,16.68,"6,513,625",16.49,17.04,16.31
04/01/2026,16.78,"8,409,488",17.0,17.2,16.76
03/31/2026,16.8,"9,817,285",16.08,16.945,15.9
03/30/2026,15.8,"7,451,520",16.0,16.135,15.73
03/27/2026,15.97,"6,517,646",16.59,16.66,15.87
03/26/2026,16.67,"9,618,302",17.0,17.5,16.56
03/25/2026,17.12,"6,423,213",16.98,17.23,16.45
03/24/2026,16.72,"9,013,941",16.36,16.84,16.23
03/23/2026,16.61,"11,077,960",16.62,16.91,16.33
03/20/2026,16.15,"19,145,480",16.53,16.795,16.08
03/19/2026,16.66,"9,493,973",16.9,17.045,16.36
03/18/2026,17.09,"6,157,925",17.5,17.5,17.09
03/17/2026,17.62,"7,339,182",17.34,17.835,17.32
03/16/2026,17.08,"13,190,610",17.15,17.71,16.84
03/13/2026,17.4,"8,897,394",18.4,18.555,17.2244
03/12/2026,18.01,"12,051,820",17.75,18.275,17.335
03/11/2026,18.05,"12,639,420",17.505,18.26,17.285
03/10/2026,17.46,"9,355,939",17.92,17.99,17.395
03/09/2026,17.91,"10,923,570",17.26,17.97,17.0
03/06/2026,17.69,"10,709,790",18.33,18.405,17.535
03/05/2026,18.6,"10,856,290",18.71,18.96,18.405
03/04/2026,19.03,"8,653,038",19.11,19.225,18.66
03/03/2026,19.03,"9,039,603",19.06,19.315,18.465
03/02/2026,19.69,"7,287,906",19.88,19.97,19.285
02/27/2026,20.37,"36,636,900",20.19,20.485,19.905
02/26/2026,20.36,"7,145,554",20.83,21.155,20.275
02/25/2026,20.73,"6,489,964",20.44,20.93,20.2
02/24/2026,20.63,"7,121,101",21.2,21.41,20.575
02/23/2026,21.26,"6,047,601",21.25,21.48,21.07
02/20/2026,21.58,"7,378,988",21.5,21.835,20.93
02/19/2026,21.34,"6,568,987",21.89,21.93,21.21
02/18/2026,21.87,"14,098,080",20.58,22.08,20.53
02/17/2026,20.74,"11,817,630",20.09,20.915,19.965
02/13/2026,19.79,"15,813,320",18.67,20.13,18.605
02/12/2026,18.71,"28,020,750",19.52,20.11,18.575
02/11/2026,22.27,"10,786,970",21.74,22.41,21.615
02/10/2026,21.94,"8,142,875",21.69,22.34,21.67
02/09/2026,21.73,"8,335,764",21.49,21.75,21.1
02/06/2026,21.73,"13,553,720",21.74,21.87,21.305
02/05/2026,21.77,"13,910,180",21.04,21.925,21.04
02/04/2026,21.03,"10,133,140",19.9,21.13,19.9
02/03/2026,19.91,"8,000,100",19.55,20.27,19.55
02/02/2026,19.87,"7,084,514",19.89,20.1063,19.735
01/30/2026,20.07,"7,301,466",19.8,20.19,19.61
01/29/2026,19.73,"6,487,871",19.73,19.8,19.225
01/28/2026,19.61,"5,981,896",19.52,19.78,19.485
01/27/2026,19.57,"5,868,997",19.525,19.658,19.27
01/26/2026,19.65,"5,744,675",19.87,19.925,19.6
01/23/2026,19.84,"7,414,848",19.88,20.015,19.43
01/22/2026,20.07,"9,629,429",19.97,20.445,19.8
01/21/2026,19.71,"10,132,810",19.57,20.005,19.52
01/20/2026,19.38,"11,486,190",19.94,19.94,19.36
01/16/2026,20.11,"7,638,857",20.2,20.41,20.055
01/15/2026,20.37,"8,914,300",19.89,20.455,19.765
01/14/2026,19.84,"8,110,569",19.61,20.0187,19.355
01/13/2026,19.65,"9,384,017",20.27,20.47,19.4
01/12/2026,20.15,"11,066,810",21.03,21.03,19.8
01/09/2026,21.07,"11,530,210",20.9,21.25,20.61
01/08/2026,20.69,"15,302,050",20.28,20.81,20.08
01/07/2026,20.4,"10,850,820",20.72,20.8096,20.23
01/06/2026,20.55,"7,682,987",20.02,20.62,19.99
01/05/2026,19.89,"12,216,250",19.59,20.335,19.535
01/02/2026,19.5,"6,113,167",19.3,19.635,19.165
12/31/2025,19.11,"5,064,702",19.21,19.355,19.04
12/30/2025,19.3,"4,435,377",19.27,19.485,19.24
12/29/2025,19.25,"6,447,889",19.37,19.47,19.095
12/26/2025,19.38,"3,814,552",19.08,19.39,19.03
12/24/2025,19.11,"2,312,692",18.97,19.14,18.915
12/23/2025,18.93,"5,030,559",18.98,18.985,18.65
12/22/2025,18.98,"8,131,450",18.85,19.22,18.84
12/19/2025,18.96,"15,926,980",19.06,19.305,18.94
12/18/2025,19.07,"7,948,809",19.31,19.43,19.025
12/17/2025,19.29,"8,587,527",19.0,19.41,18.97
12/16/2025,19.05,"8,966,090",19.54,19.57,18.815
12/15/2025,19.53,"9,150,247",19.25,19.82,19.12
12/12/2025,19.15,"10,800,320",19.0,19.34,18.92
12/11/2025,18.9,"8,940,732",18.38,18.91,18.25
12/10/2025,18.26,"11,642,840",18.2,18.385,17.92
12/09/2025,18.16,"6,331,024",18.1,18.3,18.01
12/08/2025,18.16,"9,194,792",18.65,18.68,18.11
12/05/2025,18.54,"8,572,236",18.64,18.81,18.46
12/04/2025,18.48,"7,934,062",18.84,18.93,18.33
12/03/2025,18.89,"6,094,340",19.0,19.165,18.86
12/02/2025,18.84,"8,457,549",18.99,18.99,18.595
12/01/2025,19.08,"9,635,110",18.62,19.195,18.54
11/28/2025,18.74,"3,766,196",18.72,18.8399,18.61
11/26/2025,18.91,"7,170,001",18.59,18.95,18.53
11/25/2025,18.66,"7,340,175",18.34,18.715,18.2
11/24/2025,18.18,"8,506,134",18.31,18.46,18.105
11/21/2025,18.31,"8,278,763",17.58,18.61,17.555
11/20/2025,17.42,"8,313,653",17.66,17.86,17.4
11/19/2025,17.69,"7,690,538",18.14,18.17,17.535
11/18/2025,18.15,"9,780,720",17.69,18.215,17.4
11/17/2025,17.77,"7,790,690",18.38,18.47,17.75
11/14/2025,18.47,"7,472,615",18.6,18.69,18.305
11/13/2025,18.7,"9,828,784",18.63,18.92,18.52
11/12/2025,18.7,"12,362,530",18.3,18.9155,18.27
11/11/2025,18.25,"12,070,310",17.83,18.305,17.7
11/10/2025,17.75,"7,893,232",17.98,18.0,17.57
11/07/2025,18.0,"7,414,147",17.95,18.115,17.78
11/06/2025,17.98,"10,346,310",17.94,18.1625,17.51
11/05/2025,17.95,"11,329,630",17.87,18.08,17.465
