date,close,volume,open,high,low
05/15/2026,31.83,"4,037,520",32.12,32.25,31.6725
05/14/2026,32.35,"2,865,831",32.25,32.44,31.89
05/13/2026,32.04,"3,526,280",31.56,32.235,31.25
05/12/2026,31.68,"4,084,859",31.47,31.76,30.89
05/11/2026,31.55,"3,763,255",31.0,31.5968,30.84
05/08/2026,31.05,"2,965,220",30.7,31.15,30.39
05/07/2026,30.52,"4,076,429",31.26,31.35,30.4
05/06/2026,31.16,"5,156,349",31.0,31.44,30.845
05/05/2026,30.46,"9,111,815",29.8,30.52,29.56
05/04/2026,29.7,"4,985,831",29.77,30.25,29.275
05/01/2026,29.84,"6,782,878",30.08,30.355,29.785
04/30/2026,29.97,"7,678,530",29.74,30.23,29.13
04/29/2026,29.45,"9,603,591",29.855,30.278,29.205
04/28/2026,29.46,"11,371,560",27.84,29.47,27.595
04/27/2026,27.57,"7,504,630",27.1,27.795,27.01
04/24/2026,27.12,"6,387,764",26.62,27.385,26.59
04/23/2026,26.82,"3,664,518",27.35,27.49,26.455
04/22/2026,27.49,"3,129,703",27.51,27.68,27.23
04/21/2026,27.24,"5,258,936",27.75,28.275,27.2
04/20/2026,27.73,"4,717,306",27.11,27.87,27.01
04/17/2026,27.27,"6,170,482",26.93,27.5,26.8
04/16/2026,26.55,"4,505,395",26.63,26.72,26.2907
04/15/2026,26.63,"3,842,495",26.44,26.75,26.42
04/14/2026,26.43,"4,744,849",25.85,26.56,25.67
04/13/2026,25.67,"4,364,425",24.67,25.69,24.589
04/10/2026,24.91,"4,482,990",25.07,25.36,24.815
04/09/2026,25.04,"3,343,975",24.7,25.195,24.665
04/08/2026,24.88,"5,226,134",24.81,25.21,24.615
04/07/2026,23.78,"5,733,063",23.28,23.99,23.08
04/06/2026,23.4,"5,807,217",23.38,23.92,23.095
04/02/2026,23.4,"3,194,048",22.97,23.65,22.61
04/01/2026,23.59,"3,939,144",23.8,24.025,23.59
03/31/2026,23.62,"4,995,883",23.02,23.67,22.81
03/30/2026,22.91,"4,478,752",23.0,23.345,22.795
03/27/2026,22.75,"6,244,359",23.46,23.5,22.575
03/26/2026,23.59,"5,291,005",23.58,24.02,23.51
03/25/2026,23.89,"4,094,783",23.93,24.15,23.635
03/24/2026,23.67,"4,081,525",23.8,23.995,23.52
03/23/2026,23.9,"6,510,684",24.13,24.38,23.66
03/20/2026,23.46,"11,517,480",23.92,23.94,23.22
03/19/2026,23.87,"4,786,553",23.47,24.085,23.33
03/18/2026,23.67,"5,782,496",24.37,24.61,23.6
03/17/2026,24.62,"3,159,112",24.75,24.99,24.545
03/16/2026,24.39,"4,000,217",24.37,24.63,24.24
03/13/2026,24.13,"6,151,170",23.98,24.435,23.955
03/12/2026,23.77,"4,643,216",24.3,24.44,23.735
03/11/2026,24.97,"5,548,978",25.16,25.22,24.435
03/10/2026,25.22,"3,775,139",25.84,25.96,25.205
03/09/2026,25.78,"5,784,783",25.67,25.87,24.6401
03/06/2026,26.24,"4,480,833",26.26,26.49,25.84
03/05/2026,26.92,"8,633,025",26.5,27.42,26.275
03/04/2026,26.58,"4,274,224",26.73,26.93,26.325
03/03/2026,26.5,"6,186,004",26.17,26.72,25.81
03/02/2026,27.0,"4,768,338",25.96,27.25,25.85
02/27/2026,26.54,"5,444,926",26.95,27.07,26.255
02/26/2026,27.43,"6,415,908",27.41,27.85,27.08
02/25/2026,27.26,"4,225,779",27.32,27.44,26.985
02/24/2026,27.12,"5,211,803",26.94,27.31,26.685
02/23/2026,27.07,"3,947,972",27.53,27.76,26.67
02/20/2026,27.67,"4,878,391",27.32,27.765,27.1
02/19/2026,27.24,"5,775,669",27.72,27.74,26.985
02/18/2026,27.91,"4,224,199",27.48,28.17,27.445
02/17/2026,27.49,"4,909,938",27.18,27.57,26.775
02/13/2026,27.03,"3,884,786",27.12,27.29,26.775
02/12/2026,27.09,"5,975,453",27.58,27.73,26.73
02/11/2026,27.55,"5,196,799",28.16,28.32,27.465
02/10/2026,28.16,"5,822,051",27.66,28.2886,27.63
02/09/2026,27.68,"3,854,966",27.02,27.795,27.02
02/06/2026,27.2,"4,964,213",27.26,27.49,26.84
02/05/2026,26.91,"6,892,134",27.6,27.87,26.8
02/04/2026,27.83,"8,426,430",27.03,27.94,27.02
02/03/2026,27.0,"8,395,854",27.08,27.47,26.28
02/02/2026,27.07,"8,433,695",26.52,27.195,26.1436
01/30/2026,26.62,"24,424,890",25.75,26.9,24.895
01/29/2026,25.88,"8,293,683",26.0,26.205,25.38
01/28/2026,25.66,"5,033,443",25.63,25.8,25.45
01/27/2026,25.5,"5,726,993",25.59,25.825,25.47
01/26/2026,25.55,"5,799,580",25.44,25.84,25.395
01/23/2026,25.31,"3,460,839",25.63,25.7,25.3
01/22/2026,25.77,"5,826,090",25.66,25.96,25.6
01/21/2026,25.47,"3,588,243",25.08,25.5,25.01
01/20/2026,24.84,"3,781,660",25.6,25.72,24.68
01/16/2026,26.0,"4,395,093",25.96,26.245,25.83
01/15/2026,25.97,"4,066,688",25.75,26.135,25.62
01/14/2026,25.63,"3,911,161",25.16,25.745,25.13
01/13/2026,25.28,"3,643,046",25.65,25.66,25.15
01/12/2026,25.64,"3,128,568",25.45,25.65,25.23
01/09/2026,25.66,"5,149,203",25.44,25.85,25.42
01/08/2026,25.45,"4,436,433",25.0,25.615,24.8218
01/07/2026,25.15,"6,220,194",25.05,25.605,24.975
01/06/2026,25.12,"4,182,801",24.5,25.16,24.5
01/05/2026,24.49,"3,606,299",23.7,24.81,23.685
01/02/2026,23.8,"5,480,627",23.98,24.02,23.655
12/31/2025,23.89,"2,771,136",23.86,24.12,23.86
12/30/2025,23.86,"3,046,555",24.03,24.115,23.835
12/29/2025,24.38,"3,337,115",24.19,24.41,24.02
12/26/2025,24.19,"1,773,578",24.17,24.24,24.05
12/24/2025,24.18,"1,583,634",24.25,24.255,24.03
12/23/2025,24.19,"2,998,032",24.51,24.57,24.135
12/22/2025,24.59,"3,881,828",23.96,24.66,23.95
12/19/2025,24.0,"5,815,172",23.89,24.325,23.89
12/18/2025,23.9,"6,721,849",24.26,24.47,23.84
12/17/2025,23.67,"5,216,305",23.44,23.865,23.42
12/16/2025,23.47,"4,011,245",23.67,23.85,23.31
12/15/2025,23.62,"4,683,205",23.91,24.03,23.52
12/12/2025,23.48,"2,533,552",23.65,23.66,23.415
12/11/2025,23.47,"2,627,655",23.27,23.66,23.27
12/10/2025,23.31,"8,153,677",23.35,23.495,22.75
12/09/2025,23.46,"2,194,876",23.12,23.535,23.12
12/08/2025,23.12,"2,711,205",23.51,23.51,23.045
12/05/2025,23.4,"3,171,397",23.15,23.49,23.05
12/04/2025,23.14,"2,786,901",23.13,23.535,23.075
12/03/2025,23.01,"3,432,307",22.53,23.025,22.45
12/02/2025,22.42,"2,156,205",22.61,22.635,22.38
12/01/2025,22.54,"3,270,899",22.43,22.705,22.34
11/28/2025,22.59,"1,717,592",22.51,22.69,22.5
11/26/2025,22.52,"3,698,084",22.31,22.61,22.295
11/25/2025,22.26,"3,881,632",22.08,22.3153,21.98
11/24/2025,22.03,"5,939,266",21.69,22.105,21.605
11/21/2025,21.68,"6,033,116",21.31,21.725,21.1288
11/20/2025,21.18,"4,646,710",21.81,22.008,21.105
11/19/2025,21.44,"4,866,707",21.44,21.515,21.185
11/18/2025,21.44,"6,250,696",21.33,21.58,21.19
11/17/2025,21.56,"7,516,013",22.04,22.1499,21.395
11/14/2025,22.17,"2,644,161",22.23,22.35,21.95
11/13/2025,22.29,"3,224,271",22.9,23.06,22.26
11/12/2025,23.05,"4,349,916",22.92,23.125,22.8
11/11/2025,22.82,"4,054,346",22.56,22.955,22.519
11/10/2025,22.52,"5,396,083",22.1,22.661,21.83
11/07/2025,22.23,"8,810,177",22.81,23.35,21.635
11/06/2025,23.25,"8,667,346",22.85,23.39,22.8
11/05/2025,22.76,"3,915,003",22.62,22.87,22.5198
11/04/2025,22.59,"3,772,241",22.75,22.78,22.53
11/03/2025,22.84,"4,630,444",22.53,22.875,22.46
10/31/2025,22.61,"5,334,303",22.63,22.855,22.45
10/30/2025,22.77,"3,159,987",22.81,23.0,22.63
10/29/2025,22.94,"2,386,798",23.14,23.3,22.835
10/28/2025,23.32,"2,583,169",23.46,23.47,23.18
10/27/2025,23.38,"3,621,527",23.16,23.64,23.15
10/24/2025,22.84,"3,966,024",22.82,23.02,22.48
10/23/2025,22.67,"2,844,409",22.63,22.75,22.44
10/22/2025,22.59,"2,282,337",22.57,22.7399,22.405
10/21/2025,22.65,"2,139,003",22.43,22.7756,22.43
10/20/2025,22.65,"4,365,543",22.37,22.73,22.3263
10/17/2025,22.28,"5,137,058",22.22,22.29,21.96
10/16/2025,22.1,"3,357,192",22.87,22.97,22.09
10/15/2025,22.79,"6,270,178",23.11,23.315,22.605
10/14/2025,22.92,"4,804,468",22.57,23.215,22.52
10/13/2025,22.84,"6,177,911",22.94,23.12,22.775
10/10/2025,22.67,"12,014,070",23.74,23.91,22.6
10/09/2025,23.63,"5,224,379",23.5,23.67,23.315
10/08/2025,23.59,"4,622,055",23.45,23.79,23.21
10/07/2025,23.4,"3,345,850",23.22,23.555,23.17
10/06/2025,23.18,"5,384,449",23.77,23.84,22.69
10/03/2025,23.8,"6,544,436",23.12,23.89,23.07
10/02/2025,22.91,"3,066,391",22.63,22.995,22.56
10/01/2025,22.54,"5,560,056",23.22,23.22,22.51
09/30/2025,23.13,"7,720,702",23.09,23.265,22.755
09/29/2025,23.37,"4,406,356",23.45,23.45,23.14
09/26/2025,23.27,"3,393,687",23.46,23.58,23.24
09/25/2025,23.4,"3,566,968",23.44,23.565,23.34
09/24/2025,23.58,"3,734,441",24.08,24.11,23.535
09/23/2025,24.03,"3,189,973",24.28,24.515,23.935
09/22/2025,24.24,"4,707,226",24.23,24.34,24.075
09/19/2025,24.42,"4,873,326",24.47,24.5,24.22
09/18/2025,24.4,"3,328,063",24.33,24.525,24.27
09/17/2025,24.21,"3,025,513",24.26,24.635,23.98
09/16/2025,24.24,"1,880,027",24.42,24.44,24.145
09/15/2025,24.36,"2,601,203",24.62,24.81,24.29
09/12/2025,24.64,"3,034,057",24.75,24.8,24.57
09/11/2025,24.86,"4,880,827",24.39,24.86,24.34
09/10/2025,24.31,"5,029,584",24.69,24.77,24.175
09/09/2025,24.56,"4,806,612",24.73,24.805,24.49
09/08/2025,24.88,"4,057,806",25.04,25.1,24.74
09/05/2025,24.97,"4,708,396",25.85,25.85,24.72
09/04/2025,25.74,"3,691,915",25.66,25.905,25.505
09/03/2025,25.53,"2,685,252",25.31,25.645,25.22
09/02/2025,25.42,"3,499,218",25.31,25.475,25.015
