date,close,volume,open,high,low
05/15/2026,192.95,"1,252,270",191.83,194.91,190.655
05/14/2026,191.37,"2,812,933",200.25,205.0,189.49
05/13/2026,204.53,"1,272,026",199.33,205.97,198.86
05/12/2026,199.36,"1,145,749",198.47,202.4,196.4675
05/11/2026,197.95,"1,772,229",194.76,200.31,194.75
05/08/2026,193.45,"931,578",189.68,195.2,189.5
05/07/2026,191.38,"735,692",190.34,192.1,188.86
05/06/2026,190.68,"741,346",189.13,191.165,188.3
05/05/2026,189.13,"586,074",187.38,189.69,186.0001
05/04/2026,187.21,"626,559",186.28,187.51,185.44
05/01/2026,187.06,"696,812",189.28,190.57,186.14
04/30/2026,189.28,"1,550,523",194.02,195.98,187.16
04/29/2026,194.38,"2,453,836",183.12,195.8899,180.18
04/28/2026,183.38,"1,235,813",182.45,184.41,181.89
04/27/2026,180.67,"1,101,370",183.16,186.15,179.15
04/24/2026,184.38,"723,366",186.65,186.65,183.17
04/23/2026,187.88,"816,281",189.46,190.32,187.01
04/22/2026,190.07,"1,328,297",189.305,192.75,188.67
04/21/2026,185.95,"1,063,303",184.52,187.74,181.75
04/20/2026,183.34,"1,484,371",179.54,184.26,178.72
04/17/2026,177.35,"1,239,458",176.29,178.405,175.69
04/16/2026,176.02,"953,722",178.815,179.99,174.85
04/15/2026,180.54,"1,168,801",179.36,180.87,177.7
04/14/2026,178.96,"1,550,580",177.71,181.77,177.45
04/13/2026,176.365,"1,414,958",172.62,176.79,171.22
04/10/2026,172.97,"1,501,979",177.97,177.97,172.32
04/09/2026,177.11,"1,266,491",177.81,180.06,174.965
04/08/2026,179.9,"1,289,686",178.24,180.24,176.35
04/07/2026,175.61,"1,515,806",172.2,175.64,170.43
04/06/2026,172.34,"2,149,104",177.0,177.39,168.64
04/02/2026,177.34,"1,339,297",181.46,182.23,176.39
04/01/2026,183.78,"1,390,216",183.16,186.31,181.71
03/31/2026,183.33,"2,719,977",179.46,184.68,171.365
03/30/2026,187.57,"799,935",186.16,190.09,185.505
03/27/2026,183.84,"935,104",191.06,191.06,183.01
03/26/2026,191.06,"879,198",189.0,192.275,188.355
03/25/2026,189.18,"775,195",184.91,189.38,184.91
03/24/2026,183.94,"644,275",182.63,184.84,180.33
03/23/2026,183.64,"1,011,752",183.48,185.0,183.0
03/20/2026,181.46,"2,214,268",183.13,183.6905,180.47
03/19/2026,183.41,"768,649",182.18,185.445,181.68
03/18/2026,182.31,"846,255",184.13,184.315,180.4825
03/17/2026,185.29,"810,219",184.73,186.52,183.2
03/16/2026,183.26,"995,911",182.75,184.615,181.88
03/13/2026,181.55,"1,092,301",185.99,188.0,181.46
03/12/2026,184.9,"851,563",187.86,188.91,184.63
03/11/2026,190.48,"864,392",187.54,192.99,187.54
03/10/2026,188.41,"687,662",187.69,190.78,187.02
03/09/2026,188.24,"651,626",183.91,188.5,182.6
03/06/2026,184.87,"772,906",186.25,186.25,181.24
03/05/2026,188.08,"893,331",187.965,190.99,185.95
03/04/2026,189.94,"952,927",185.06,190.37,183.16
03/03/2026,184.02,"1,049,925",185.01,187.05,181.79
03/02/2026,188.05,"691,597",190.22,190.75,186.72
02/27/2026,191.82,"1,402,201",187.51,192.46,186.62
02/26/2026,188.02,"988,117",190.3,190.74,185.9
02/25/2026,190.73,"942,723",194.225,196.73,189.89
02/24/2026,195.13,"716,382",196.03,198.72,194.43
02/23/2026,196.34,"878,939",191.82,197.05,189.1101
02/20/2026,192.03,"799,225",190.78,192.595,189.95
02/19/2026,192.08,"993,273",193.51,194.995,191.05
02/18/2026,194.13,"1,049,036",195.32,195.68,193.11
02/17/2026,195.62,"986,535",197.46,200.29,193.37
02/13/2026,196.52,"1,352,792",196.27,199.4999,195.52
02/12/2026,195.5,"1,657,480",190.15,196.0,189.0
02/11/2026,191.2,"996,929",188.35,192.0,187.2
02/10/2026,188.99,"1,836,221",194.07,195.72,188.74
02/09/2026,193.81,"2,096,252",199.83,201.0,191.88
02/06/2026,201.18,"3,404,876",187.01,202.41,184.6
02/05/2026,185.36,"2,542,641",184.87,187.73,184.54
02/04/2026,185.45,"2,076,363",177.245,186.235,177.1
02/03/2026,176.76,"1,594,142",177.79,182.67,176.19
02/02/2026,179.09,"1,288,816",179.3,180.7599,177.58
01/30/2026,179.89,"1,487,978",177.09,180.14,175.955
01/29/2026,176.18,"1,146,709",174.88,177.2,173.51
01/28/2026,174.83,"1,304,662",173.63,175.06,170.85
01/27/2026,174.12,"748,078",173.02,176.14,172.23
01/26/2026,173.12,"1,049,188",171.67,174.31,170.59
01/23/2026,171.59,"1,250,463",173.17,173.9,170.04
01/22/2026,173.8,"996,425",171.78,175.29,171.65
01/21/2026,172.62,"1,447,089",165.31,172.87,165.31
01/20/2026,165.38,"1,879,947",161.51,165.61,160.3645
01/16/2026,164.42,"1,816,538",168.87,169.34,163.735
01/15/2026,168.57,"1,562,727",169.03,169.79,166.79
01/14/2026,169.31,"3,635,883",177.73,178.41,165.58
01/13/2026,178.3,"1,597,380",185.42,186.3169,177.05
