date,close,volume,open,high,low
05/15/2026,154.13,"6,776,964",154.94,156.65,153.05
05/14/2026,154.48,"5,678,554",154.93,158.19,153.97
05/13/2026,155.03,"6,829,752",158.2,158.94,154.77
05/12/2026,160.56,"6,892,531",158.43,161.19,157.86
05/11/2026,157.8,"10,544,280",164.095,165.31,156.07
05/08/2026,165.93,"8,860,999",169.2,170.56,165.62
05/07/2026,171.28,"8,120,929",168.245,173.72,167.55
05/06/2026,168.32,"9,043,478",173.23,175.52,168.215
05/05/2026,167.63,"8,002,065",165.25,169.08,164.05
05/04/2026,165.58,"5,568,223",170.0,170.86,165.21
05/01/2026,169.63,"5,444,251",169.03,171.58,168.15
04/30/2026,168.36,"8,644,791",174.375,175.94,167.2
04/29/2026,173.98,"12,303,610",164.54,176.83,164.23
04/28/2026,173.38,"10,931,240",177.985,178.94,173.0
04/27/2026,177.52,"5,734,262",178.29,181.47,177.11
04/24/2026,180.25,"6,320,557",176.64,182.09,176.2
04/23/2026,176.75,"6,009,850",178.905,180.5,174.53
04/22/2026,179.4,"9,374,741",190.56,191.01,177.9
04/21/2026,190.86,"4,282,724",191.45,193.92,189.165
04/20/2026,192.03,"5,372,205",190.6,192.91,189.09
04/17/2026,192.01,"7,881,216",188.555,192.76,188.0
04/16/2026,184.56,"5,853,017",186.57,188.17,184.14
04/15/2026,185.69,"5,933,394",183.33,186.6,182.3325
04/14/2026,181.12,"5,523,047",178.26,182.55,178.0
04/13/2026,177.25,"5,825,279",170.71,177.76,170.59
04/10/2026,173.46,"5,118,347",177.15,179.41,171.55
04/09/2026,176.6,"7,232,477",180.03,180.98,173.82
04/08/2026,181.0,"8,876,847",181.07,186.65,180.09
04/07/2026,173.41,"9,117,794",174.416,175.88,169.71
04/06/2026,176.19,"8,190,509",166.25,176.83,166.25
04/02/2026,167.7724,"5,855,050",165.7596,168.1096,162.6204
04/01/2026,167.3824,"8,808,750",168.6732,170.006,162.0488
03/31/2026,168.4128,"9,462,925",165.48,169.6,162.6206
03/30/2026,164.7004,"10,225,800",162.6,166.5429,162.0
03/27/2026,162.4856,"8,977,925",167.96,168.1872,161.2116
03/26/2026,168.5504,"8,121,875",169.1256,171.0,167.3684
03/25/2026,169.51,"6,238,775",171.9376,174.9956,167.2856
03/24/2026,171.626,"8,587,025",174.5964,175.6916,170.6
03/23/2026,175.8716,"8,346,100",176.3096,177.7024,174.7208
03/20/2026,172.9616,"11,939,800",171.7352,173.1676,170.3336
03/19/2026,171.7716,"5,988,475",175.1816,177.4688,170.4044
03/18/2026,175.2556,"6,447,225",176.08,179.0949,175.1612
03/17/2026,177.6932,"8,277,375",175.096,179.0132,174.16
03/16/2026,171.7208,"5,047,825",170.6202,173.5692,170.0776
03/13/2026,169.6504,"5,727,150",170.2148,172.8,169.4076
03/12/2026,168.7084,"6,462,825",170.9764,173.9268,168.5336
03/11/2026,172.8968,"6,422,275",175.101,177.3812,171.0344
03/10/2026,174.8708,"9,619,500",176.5,177.276,171.3812
03/09/2026,177.6276,"12,966,050",178.4684,179.5568,173.6
03/06/2026,182.0172,"9,557,025",180.72,183.3904,178.1706
03/05/2026,184.5312,"20,321,475",180.444,185.3636,178.888
03/04/2026,170.1432,"10,469,850",165.841,172.9096,165.18
03/03/2026,166.1548,"10,960,375",164.602,167.763,162.9352
03/02/2026,167.1912,"13,576,325",162.0,168.7828,161.12
02/27/2026,169.574,"23,009,900",167.748,169.71,166.4
02/26/2026,170.0104,"18,878,775",167.18,171.684,166.524
02/25/2026,166.52,"18,738,800",163.08,167.18,161.9136
02/24/2026,162.7424,"20,130,150",155.6,163.32,155.2
02/23/2026,154.8332,"19,448,425",162.0752,162.4,150.618
