date,close,volume,open,high,low
05/15/2026,70.41,"2,932,058",72.23,73.0,69.86
05/14/2026,73.58,"2,337,536",72.59,74.29,71.71
05/13/2026,72.32,"2,779,753",72.1,72.62,70.61
05/12/2026,72.78,"3,134,936",74.57,74.96,72.1
05/11/2026,74.88,"2,217,461",77.11,77.46,74.58
05/08/2026,77.4,"2,024,169",78.99,79.98,77.27
05/07/2026,79.41,"3,736,814",81.29,83.2299,79.25
05/06/2026,80.03,"3,612,478",77.74,81.45,77.305
05/05/2026,74.56,"2,777,310",74.98,75.955,73.4
05/04/2026,73.75,"4,232,290",75.0,76.4099,73.5
05/01/2026,75.72,"3,696,212",79.84,79.97,75.38
04/30/2026,79.09,"5,932,016",83.49,85.88,77.855
04/29/2026,83.38,"4,399,736",87.86,88.07,83.165
04/28/2026,88.12,"1,987,841",90.03,90.82,87.57
04/27/2026,89.88,"1,465,320",89.86,91.7,88.86
04/24/2026,90.04,"1,234,842",90.42,91.285,89.38
04/23/2026,90.14,"2,062,343",90.63,91.9,88.66
04/22/2026,90.63,"1,512,843",91.5,91.83,89.2901
04/21/2026,89.76,"1,957,147",93.01,94.97,89.09
04/20/2026,91.32,"2,621,109",88.12,91.74,86.5201
04/17/2026,88.5,"2,739,125",89.05,92.24,87.655
04/16/2026,83.9,"2,346,761",85.03,86.245,83.15
04/15/2026,85.13,"1,797,088",87.8,88.01,83.93
04/14/2026,87.77,"1,197,857",87.53,88.95,86.965
04/13/2026,87.53,"2,147,552",84.27,87.68,82.69
04/10/2026,85.3,"1,313,313",85.0,87.11,83.7
04/09/2026,85.21,"1,735,701",82.76,86.23,82.16
04/08/2026,83.09,"2,590,219",84.2,86.82,82.0
04/07/2026,78.93,"2,322,102",80.8,80.96,77.575
04/06/2026,82.06,"2,010,235",78.73,82.1875,78.22
04/02/2026,79.12,"2,393,261",79.01,81.83,76.5
04/01/2026,80.97,"1,775,842",82.3,83.09,80.89
03/31/2026,82.33,"2,146,931",80.72,84.47,80.29
03/30/2026,78.85,"1,878,182",81.5,81.655,78.55
