date,close,volume,open,high,low
05/15/2026,51.81,"2,076,142",53.41,53.41,51.68
05/14/2026,53.24,"1,158,901",53.78,54.09,52.64
05/13/2026,53.55,"2,039,803",52.5,53.7,52.08
05/12/2026,52.88,"1,205,293",52.93,53.15,52.36
05/11/2026,52.58,"2,466,505",53.46,54.5,52.48
05/08/2026,54.06,"1,972,417",54.15,54.55,53.53
05/07/2026,54.12,"2,112,469",54.86,55.31,53.6
05/06/2026,54.6,"2,359,704",53.6,54.94,52.86
05/05/2026,53.24,"3,823,280",55.572,57.44,52.65
05/04/2026,55.46,"2,828,329",53.66,55.53,53.45
05/01/2026,54.06,"1,336,166",53.91,54.29,53.56
04/30/2026,53.91,"1,594,981",54.01,54.88,53.76
04/29/2026,54.21,"1,655,076",53.05,54.3,52.455
04/28/2026,53.3,"1,204,283",54.5,54.7,53.15
04/27/2026,53.805,"1,469,655",53.69,54.59,53.25
04/24/2026,53.18,"1,123,213",53.87,54.32,52.88
04/23/2026,53.98,"1,495,438",53.86,54.255,53.36
04/22/2026,54.15,"1,283,471",54.895,54.895,53.7101
04/21/2026,54.62,"1,502,222",54.72,55.14,54.0
04/20/2026,54.88,"1,598,543",54.53,55.57,54.31
04/17/2026,54.64,"2,070,644",54.51,54.97,54.08
04/16/2026,54.1,"1,459,410",55.365,55.62,53.79
04/15/2026,55.27,"1,152,708",56.0,56.0499,54.99
04/14/2026,55.47,"1,596,905",54.75,55.68,54.72
04/13/2026,54.88,"1,442,266",54.43,55.24,53.885
04/10/2026,54.53,"1,541,036",56.24,56.24,54.16
04/09/2026,56.3,"1,048,527",56.57,57.09,55.81
04/08/2026,57.2,"1,561,195",57.23,57.76,56.0001
04/07/2026,56.22,"1,257,140",56.14,56.41,55.36
04/06/2026,56.21,"1,859,494",55.5,56.55,55.44
04/02/2026,55.5,"2,315,876",56.42,56.5504,54.54
04/01/2026,57.24,"2,232,943",56.72,57.5,56.28
03/31/2026,56.49,"2,526,788",54.905,56.59,54.905
03/30/2026,54.79,"999,585",54.42,55.0,53.94
03/27/2026,54.14,"1,345,748",55.55,55.6,54.1
03/26/2026,55.55,"939,861",55.36,56.06,55.2
03/25/2026,55.59,"1,947,353",54.61,55.73,54.61
03/24/2026,54.09,"1,696,911",54.36,54.37,53.355
03/23/2026,54.78,"1,868,298",54.87,55.34,54.42
03/20/2026,54.13,"4,353,476",54.86,55.71,53.76
03/19/2026,55.03,"1,890,255",55.45,55.89,54.78
03/18/2026,55.43,"2,436,169",55.6,56.28,54.8212
03/17/2026,56.05,"3,026,134",57.69,58.38,55.675
03/16/2026,57.43,"2,470,705",56.71,58.805,55.86
03/13/2026,58.51,"1,187,422",59.19,60.71,58.23
03/12/2026,59.07,"1,940,917",59.98,60.98,59.02
03/11/2026,60.32,"2,523,143",60.18,61.255,59.25
03/10/2026,60.89,"1,235,162",60.85,61.97,60.6
03/09/2026,60.88,"1,301,004",60.91,61.88,59.83
03/06/2026,61.12,"2,630,907",60.23,61.52,59.1613
03/05/2026,60.57,"2,246,224",60.43,61.2,59.72
03/04/2026,60.43,"2,042,893",59.0,61.19,58.5
03/03/2026,58.53,"1,788,984",59.98,60.315,58.5
03/02/2026,59.74,"1,953,218",60.71,61.14,59.25
02/27/2026,61.73,"2,180,013",60.89,63.22,60.59
02/26/2026,61.11,"1,783,934",61.36,61.44,59.56
02/25/2026,61.44,"1,881,923",62.14,62.525,61.1775
02/24/2026,62.62,"3,453,846",60.3,66.275,59.63
02/23/2026,62.92,"4,741,237",64.08,65.945,62.63
02/20/2026,64.08,"3,634,256",63.09,64.25,62.55
02/19/2026,63.42,"2,989,051",61.63,63.745,60.55
02/18/2026,61.83,"1,864,433",60.08,61.98,59.6001
02/17/2026,59.95,"1,375,128",60.05,60.95,59.38
02/13/2026,59.87,"1,941,042",59.94,60.99,59.45
02/12/2026,59.94,"4,416,395",58.39,61.48,57.84
02/11/2026,60.31,"2,646,655",59.43,60.79,58.62
02/10/2026,59.66,"3,329,750",58.0,60.75,57.9
02/09/2026,57.81,"1,314,789",58.13,58.15,57.32
02/06/2026,58.13,"1,643,504",57.26,58.43,57.26
02/05/2026,57.15,"1,256,884",57.69,58.29,56.8749
02/04/2026,57.62,"2,256,576",57.84,58.2555,57.03
02/03/2026,57.61,"1,655,350",57.15,58.76,57.1
02/02/2026,57.95,"1,863,400",56.395,58.5,56.255
01/30/2026,56.54,"1,879,285",56.36,56.98,55.28
01/29/2026,56.99,"2,392,135",56.27,57.04,55.8
01/28/2026,56.68,"1,695,854",56.73,57.33,56.005
01/27/2026,56.85,"1,298,682",56.6,57.15,56.1601
01/26/2026,56.78,"1,550,030",55.82,57.31,55.5
01/23/2026,56.21,"2,106,555",57.135,57.19,56.1
01/22/2026,57.18,"2,051,136",56.74,58.325,56.355
