date,close,volume,open,high,low
05/15/2026,57.0,"10,824,330",56.64,57.105,56.1408
05/14/2026,56.77,"7,686,960",56.69,57.045,56.1
05/13/2026,56.39,"7,997,461",55.9,56.83,55.85
05/12/2026,56.45,"9,274,358",56.01,57.02,55.45
05/11/2026,55.67,"8,390,896",56.175,56.49,55.405
05/08/2026,56.16,"10,033,020",56.33,56.535,55.775
05/07/2026,56.25,"10,419,790",56.44,56.9,55.57
05/06/2026,56.59,"10,439,380",57.23,57.3999,56.36
05/05/2026,56.95,"11,316,690",57.0,57.48,56.732
05/04/2026,57.38,"9,447,370",57.65,58.0,56.93
05/01/2026,58.22,"18,368,450",60.02,60.085,58.03
04/30/2026,60.59,"24,880,100",57.69,60.78,57.39
04/29/2026,57.59,"9,462,796",57.65,58.375,57.28
04/28/2026,58.26,"6,271,039",58.58,58.73,57.91
04/27/2026,57.78,"10,700,340",58.21,59.125,57.71
04/24/2026,58.71,"6,822,839",58.86,59.21,58.345
04/23/2026,59.02,"6,512,720",58.84,59.25,58.6376
04/22/2026,58.8,"7,500,202",59.4,59.7,58.68
04/21/2026,59.39,"9,002,378",59.15,59.73,57.79
04/20/2026,59.13,"7,678,094",60.0,60.12,58.905
04/17/2026,60.17,"11,535,870",59.2,60.48,58.5382
04/16/2026,58.96,"8,220,669",57.67,58.98,57.66
04/15/2026,57.89,"8,701,614",58.0,58.16,57.22
04/14/2026,58.08,"7,612,946",57.9,58.6199,57.56
04/13/2026,58.06,"10,529,230",58.11,58.9,57.5533
04/10/2026,58.62,"8,060,099",59.79,59.8,58.46
04/09/2026,59.47,"6,572,371",58.7,59.69,58.54
04/08/2026,59.2,"11,587,580",58.01,59.23,57.67
04/07/2026,57.67,"9,003,055",59.12,59.23,57.65
04/06/2026,59.33,"7,954,315",59.12,59.63,58.77
04/02/2026,59.6,"14,752,810",60.23,60.5751,59.1
04/01/2026,61.73,"9,881,882",61.21,62.225,60.87
03/31/2026,60.65,"12,797,240",60.2,61.13,59.92
03/30/2026,59.73,"17,705,240",59.65,60.06,59.08
03/27/2026,58.54,"7,909,293",59.61,59.69,58.365
03/26/2026,59.43,"6,474,536",58.77,59.5099,58.64
03/25/2026,58.94,"9,052,195",57.79,59.39,57.79
03/24/2026,57.39,"11,997,720",56.8,57.69,56.45
03/23/2026,57.0,"10,129,910",58.22,58.25,57.0
03/20/2026,57.48,"65,847,760",58.26,58.545,56.91
