date,close,volume,open,high,low
05/15/2026,145.62,"2,483,608",145.72,147.8199,144.53
05/14/2026,143.37,"1,545,769",144.36,147.09,143.08
05/13/2026,143.93,"2,264,873",147.34,147.96,139.79
05/12/2026,149.53,"2,560,599",150.08,151.84,148.067
05/11/2026,149.13,"1,803,452",148.28,150.515,146.6301
05/08/2026,149.5,"1,650,453",152.45,152.6199,148.36
05/07/2026,152.89,"1,760,619",152.92,156.16,151.0
05/06/2026,152.83,"856,561",151.7,154.38,151.08
05/05/2026,152.14,"902,247",153.38,153.38,149.72
05/04/2026,153.85,"1,809,328",154.47,155.4199,149.8701
05/01/2026,155.25,"1,195,022",157.74,159.22,151.91
04/30/2026,153.98,"2,700,146",156.06,157.455,149.05
04/29/2026,160.75,"1,004,914",160.0,161.32,158.52
04/28/2026,158.83,"793,312",159.06,160.525,157.19
04/27/2026,156.36,"933,904",155.27,159.165,155.1
04/24/2026,155.07,"998,437",154.21,156.38,153.07
04/23/2026,155.95,"1,181,106",158.23,158.64,153.06
04/22/2026,160.64,"795,676",162.14,162.935,158.95
04/21/2026,161.87,"1,067,543",161.51,165.13,160.56
04/20/2026,161.28,"1,057,584",162.67,164.0925,160.955
04/17/2026,162.92,"1,234,949",163.68,165.1765,160.37
04/16/2026,162.42,"1,168,428",162.06,164.6117,161.65
04/15/2026,160.83,"1,044,284",159.28,163.64,159.27
04/14/2026,158.61,"1,166,592",157.83,159.86,156.78
04/13/2026,157.36,"1,179,436",151.65,157.825,150.5
04/10/2026,151.12,"1,223,104",153.73,154.32,150.1
04/09/2026,154.79,"1,672,813",159.56,160.205,154.25
04/08/2026,160.97,"1,346,880",162.93,163.94,160.12
04/07/2026,159.9,"1,548,966",161.73,162.475,159.085
04/06/2026,162.48,"1,023,751",160.58,162.86,159.3501
04/02/2026,160.93,"1,931,403",161.23,165.335,158.92
04/01/2026,159.98,"2,504,030",162.41,162.41,155.54
03/31/2026,162.48,"2,149,837",165.3,165.3,160.92
