date,close,volume,open,high,low
05/15/2026,482.7,"4,680,296",486.7,488.3,481.76
05/14/2026,484.06,"3,375,100",487.1,487.1,481.5001
05/13/2026,485.52,"4,432,514",482.47,487.1399,480.8064
05/12/2026,484.96,"5,622,326",481.68,489.4188,478.9001
05/11/2026,479.55,"4,290,690",476.4,480.4,475.9
05/08/2026,475.94,"5,225,574",474.85,478.88,474.48
05/07/2026,475.08,"5,899,549",469.255,477.19,468.97
05/06/2026,469.83,"5,698,885",466.01,470.63,465.64
05/05/2026,465.52,"5,372,678",468.53,469.662,464.34
05/04/2026,468.52,"6,895,370",473.03,479.87,465.79
05/01/2026,473.01,"4,818,347",475.075,479.1,473.0
04/30/2026,473.6,"5,109,301",473.46,477.55,470.89
04/29/2026,475.38,"3,175,618",476.45,477.97,474.51
04/28/2026,478.16,"4,902,375",476.79,479.77,475.665
04/27/2026,472.81,"4,888,048",469.8,475.5,469.35
04/24/2026,469.32,"3,857,045",468.8,470.28,466.58
04/23/2026,470.55,"4,749,080",466.72,473.0,466.72
04/22/2026,465.4,"5,720,487",468.86,470.99,464.62
04/21/2026,468.5,"5,919,020",472.54,474.19,468.06
04/20/2026,472.08,"5,147,027",474.38,476.04,471.3701
04/17/2026,474.58,"6,492,875",475.49,479.69,474.15
04/16/2026,475.12,"4,533,965",474.015,476.2599,464.01
04/15/2026,474.09,"6,993,925",478.0,478.77,473.74
04/14/2026,477.54,"4,864,005",479.81,480.49,476.0
04/13/2026,480.19,"3,612,449",478.9,481.105,477.4
04/10/2026,479.9,"3,758,912",484.02,484.86,478.92
04/09/2026,485.2,"3,518,465",478.21,487.95,477.2901
04/08/2026,479.75,"4,655,085",483.75,483.75,477.6801
04/07/2026,478.08,"3,206,471",475.71,479.75,474.32
04/06/2026,476.38,"3,663,497",475.66,479.5,475.35
04/02/2026,477.35,"2,972,758",477.82,479.77,475.68
04/01/2026,478.5,"3,600,755",478.98,481.0992,477.2501
03/31/2026,479.2,"4,725,274",477.78,479.81,474.77
03/30/2026,474.66,"4,590,941",470.68,477.69,470.65
03/27/2026,468.49,"5,382,299",474.19,474.8,467.21
03/26/2026,475.27,"3,774,632",476.435,478.38,474.5
03/25/2026,476.19,"4,402,046",482.63,483.23,475.73
03/24/2026,479.33,"3,434,434",478.0,483.5,477.5496
03/23/2026,479.98,"4,957,963",483.5,485.98,479.0
03/20/2026,480.94,"7,786,425",481.63,485.12,479.66
03/19/2026,481.48,"4,045,602",483.9,484.25,478.81
03/18/2026,484.47,"4,356,429",491.14,491.38,483.8
03/17/2026,492.58,"4,424,872",494.84,496.96,491.41
03/16/2026,492.21,"3,752,029",492.77,496.63,491.08
03/13/2026,490.03,"3,565,682",493.32,494.45,489.77
03/12/2026,491.89,"4,170,889",492.35,493.4,489.0216
03/11/2026,493.57,"3,849,108",493.09,493.8,489.2501
03/10/2026,494.14,"3,598,655",495.13,498.67,492.31
03/09/2026,497.2,"5,833,619",494.9,498.82,490.21
03/06/2026,498.98,"5,564,351",499.245,500.701,491.88
03/05/2026,500.4,"8,963,446",493.75,500.86,492.51
03/04/2026,487.48,"4,369,065",481.0,489.18,479.88
03/03/2026,481.36,"6,348,665",477.075,483.4799,472.52
03/02/2026,480.17,"11,725,270",495.225,495.75,477.91
02/27/2026,504.95,"6,364,867",502.94,506.52,501.16
02/26/2026,502.67,"4,576,985",494.65,503.72,494.45
02/25/2026,493.99,"3,475,465",495.62,497.2299,490.9
02/24/2026,494.51,"3,224,292",493.49,495.22,488.26
02/23/2026,494.09,"3,556,548",496.5,503.55,493.73
02/20/2026,498.2,"4,326,715",496.65,498.34,491.805
02/19/2026,496.94,"2,610,413",497.87,500.5,495.68
02/18/2026,499.07,"3,732,516",504.74,505.27,497.68
02/17/2026,503.41,"4,263,329",500.015,506.09,499.21
02/13/2026,497.55,"4,685,852",500.15,502.38,495.5
02/12/2026,500.01,"4,689,942",501.205,507.71,499.88
02/11/2026,500.02,"3,614,402",499.35,503.3099,497.2801
02/10/2026,500.3,"3,789,130",497.9,501.3299,497.3
02/09/2026,498.08,"4,573,017",507.32,507.61,497.2901
02/06/2026,508.09,"4,421,649",504.18,509.66,502.89
02/05/2026,503.89,"5,033,856",505.91,506.6287,497.61
02/04/2026,503.83,"10,591,670",495.8,512.13,495.67
02/03/2026,493.74,"6,641,193",483.95,496.04,482.2001
02/02/2026,487.29,"5,064,615",481.295,488.07,478.55
01/30/2026,480.53,"5,082,160",476.3,481.5,476.13
01/29/2026,476.79,"5,380,477",473.73,477.32,473.08
01/28/2026,473.49,"4,563,944",473.01,476.88,471.91
01/27/2026,474.67,"6,314,539",482.6,483.5,474.67
