date,close,volume,open,high,low
05/15/2026,56.28,"2,784,904",56.245,57.25,55.84
05/14/2026,55.78,"4,549,063",54.56,56.18,54.41
05/13/2026,54.38,"4,192,726",55.12,55.33,53.8135
05/12/2026,55.77,"5,460,062",55.58,56.745,55.33
05/11/2026,55.35,"5,414,938",56.01,56.74,55.2
05/08/2026,56.45,"3,616,474",57.96,58.4211,56.1
05/07/2026,58.05,"3,431,094",56.76,58.695,56.46
05/06/2026,56.56,"3,257,238",58.15,58.32,56.54
05/05/2026,57.51,"3,253,710",57.5,58.07,56.955
05/04/2026,57.64,"4,295,298",57.42,58.89,57.19
05/01/2026,57.63,"4,793,242",60.95,61.23,57.46
04/30/2026,60.15,"5,841,206",60.89,60.895,58.65
04/29/2026,61.64,"3,816,345",63.19,63.92,61.56
04/28/2026,63.14,"3,973,779",63.0,64.47,61.655
04/27/2026,66.12,"2,934,135",65.7,67.1,65.283
04/24/2026,65.9,"2,158,620",67.01,67.06,65.68
04/23/2026,67.55,"2,281,782",67.8,68.05,66.96
04/22/2026,67.88,"2,051,785",68.79,68.94,67.39
04/21/2026,68.95,"2,095,472",68.02,69.25,67.71
04/20/2026,67.78,"1,735,593",67.61,68.43,67.51
04/17/2026,67.72,"2,317,529",68.46,68.86,67.665
04/16/2026,68.82,"3,065,643",67.63,69.02,67.53
04/15/2026,67.4,"2,213,062",66.71,67.95,66.415
04/14/2026,66.54,"1,978,618",66.65,67.735,66.335
04/13/2026,67.46,"2,409,904",65.08,67.49,64.93
04/10/2026,65.08,"2,336,354",66.59,66.74,64.44
04/09/2026,67.13,"1,916,685",66.67,67.925,66.48
04/08/2026,67.76,"3,086,033",65.92,67.87,65.92
04/07/2026,66.37,"2,546,720",66.48,66.88,65.73
04/06/2026,66.52,"1,955,708",65.26,66.86,65.26
04/02/2026,65.95,"2,473,367",64.26,66.19,64.11
04/01/2026,64.4,"4,012,976",64.8,65.42,63.725
03/31/2026,65.21,"3,288,319",65.58,66.055,64.44
03/30/2026,65.26,"4,774,273",63.94,65.96,63.43
03/27/2026,63.43,"3,221,971",65.12,65.58,63.325
03/26/2026,65.14,"7,018,075",64.29,68.91,64.13
03/25/2026,64.29,"5,118,697",66.92,67.1,63.29
03/24/2026,66.5,"4,930,174",66.86,67.24,66.4
03/23/2026,66.72,"3,470,824",68.32,68.32,66.72
03/20/2026,67.05,"6,025,193",66.82,68.33,66.55
03/19/2026,66.56,"3,026,257",67.57,67.71,66.14
03/18/2026,67.08,"3,363,237",68.01,68.025,66.495
03/17/2026,68.33,"2,158,002",69.94,70.57,68.29
03/16/2026,69.19,"2,667,578",68.38,69.42,67.96
03/13/2026,68.26,"1,923,052",68.49,68.93,67.5
03/12/2026,67.65,"2,845,951",68.29,69.16,67.53
03/11/2026,68.38,"2,306,333",68.71,69.0,67.69
03/10/2026,68.58,"2,905,349",71.315,71.44,68.07
03/09/2026,71.04,"3,227,153",72.78,73.4,70.57
03/06/2026,73.5,"2,426,261",72.98,73.73,72.16
03/05/2026,73.12,"3,177,337",72.27,73.8,71.925
03/04/2026,71.85,"2,851,157",71.83,72.15,70.765
03/03/2026,72.16,"2,486,523",71.48,72.66,70.52
03/02/2026,72.36,"2,570,170",71.6,72.91,70.78
02/27/2026,71.82,"4,191,943",71.87,72.23,71.15
02/26/2026,71.22,"3,225,997",70.62,71.84,70.4
02/25/2026,70.05,"2,402,710",70.03,70.65,69.2
02/24/2026,69.84,"3,141,893",69.02,70.49,68.62
02/23/2026,69.16,"3,833,798",69.19,70.16,68.805
02/20/2026,69.59,"2,414,734",70.02,70.24,69.1
02/19/2026,69.42,"3,077,926",69.49,70.235,68.895
02/18/2026,69.69,"4,371,453",68.85,69.86,68.38
02/17/2026,68.83,"5,252,878",68.94,70.1,68.46
02/13/2026,68.47,"5,035,658",69.68,70.6175,68.03
02/12/2026,69.53,"6,743,588",68.89,69.665,67.04
02/11/2026,67.02,"7,337,689",67.17,67.505,65.68
02/10/2026,67.61,"5,264,631",69.11,70.055,67.43
02/09/2026,68.67,"5,035,448",73.51,73.99,68.46
02/06/2026,73.78,"2,275,291",73.03,74.12,72.91
02/05/2026,72.67,"3,121,952",74.87,75.28,72.42
02/04/2026,74.03,"3,065,870",71.76,74.76,71.33
02/03/2026,71.96,"3,553,914",71.0,72.245,70.45
02/02/2026,71.3,"3,096,876",72.26,73.11,70.92
01/30/2026,72.1,"4,472,255",72.27,72.585,71.32
01/29/2026,72.1,"3,512,568",72.71,74.05,71.48
01/28/2026,72.1,"3,600,024",73.36,74.63,71.8101
01/27/2026,74.12,"6,471,375",74.3,76.18,73.1
01/26/2026,79.62,"2,836,029",79.35,80.21,78.78
01/23/2026,79.18,"2,734,751",77.99,79.34,77.99
01/22/2026,78.62,"2,747,387",77.62,78.7,77.52
01/21/2026,78.07,"2,914,405",79.22,79.98,76.31
01/20/2026,79.11,"2,951,129",79.53,79.96,78.59
01/16/2026,80.01,"1,978,936",79.4,80.21,79.0
01/15/2026,79.75,"2,101,484",79.38,79.89,78.54
