date,close,volume,open,high,low
05/15/2026,123.42,"7,762,108",124.48,124.5,122.73
05/14/2026,124.82,"8,226,335",125.08,126.35,123.48
05/13/2026,124.1,"7,207,145",125.0,125.85,123.76
05/12/2026,126.44,"9,937,058",126.07,126.56,123.25
05/11/2026,125.85,"11,377,100",125.87,128.09,124.69
05/08/2026,125.55,"17,505,540",130.19,131.95,125.215
05/07/2026,129.09,"18,802,330",127.62,131.23,127.06
05/06/2026,127.6,"13,363,840",130.49,131.58,127.47
05/05/2026,128.01,"13,566,890",126.31,128.58,126.05
05/04/2026,125.63,"15,027,870",126.855,127.05,124.6
05/01/2026,127.44,"10,616,450",128.64,130.48,126.86
04/30/2026,127.98,"12,127,680",127.7,128.92,126.55
04/29/2026,127.61,"12,795,970",128.555,128.92,126.58
04/28/2026,128.53,"9,585,591",130.46,131.31,128.005
04/27/2026,129.14,"6,155,948",127.86,129.4,127.64
04/24/2026,127.98,"6,835,004",128.28,129.06,127.5022
04/23/2026,128.51,"9,084,612",129.49,129.9899,126.84
04/22/2026,129.73,"10,439,090",132.405,132.47,129.4
04/21/2026,131.68,"8,081,387",133.595,135.29,131.26
04/20/2026,133.05,"10,151,770",131.98,133.44,131.65
04/17/2026,132.18,"15,929,390",131.075,133.57,130.66
04/16/2026,129.34,"9,290,334",131.24,132.77,129.22
04/15/2026,131.69,"14,738,940",131.25,132.86,130.57
04/14/2026,129.58,"17,034,680",128.07,130.99,126.85
04/13/2026,126.28,"14,416,830",123.01,126.31,122.35
04/10/2026,124.39,"8,958,046",125.24,125.465,123.61
04/09/2026,124.92,"8,835,376",122.81,125.483,122.33
04/08/2026,123.49,"16,312,030",121.95,124.485,121.7304
04/07/2026,117.13,"8,450,112",116.48,117.7,115.75
04/06/2026,117.36,"13,319,710",115.8,117.695,115.8
04/02/2026,115.25,"9,833,867",112.315,115.61,111.75
04/01/2026,115.3,"13,273,730",115.47,116.79,114.065
03/31/2026,113.41,"18,267,700",109.1,113.77,108.35
03/30/2026,107.27,"20,319,340",108.455,109.415,106.52
03/27/2026,107.38,"23,142,970",111.07,111.855,106.96
03/26/2026,112.41,"12,689,940",114.06,114.79,111.565
03/25/2026,114.48,"11,315,230",114.99,116.13,113.585
