date,close,volume,open,high,low
05/15/2026,13.43,"16,025,520",13.8,13.895,13.42
05/14/2026,13.67,"16,532,970",14.2,14.31,13.64
05/13/2026,14.09,"12,489,730",13.97,14.13,13.83
05/12/2026,14.0,"12,678,090",14.05,14.23,13.835
05/11/2026,13.93,"13,751,700",14.17,14.32,13.7
05/08/2026,14.13,"10,376,050",14.36,14.41,14.0801
05/07/2026,14.36,"14,789,410",14.06,14.48,13.96
05/06/2026,14.07,"12,445,430",14.04,14.21,14.0
05/05/2026,14.0,"13,838,700",13.78,14.1,13.605
05/04/2026,13.85,"12,769,040",14.08,14.08,13.78
05/01/2026,14.06,"10,354,650",14.39,14.555,13.945
04/30/2026,14.35,"16,423,830",13.87,14.355,13.86
04/29/2026,14.23,"14,518,260",14.25,14.44,14.15
04/28/2026,14.27,"13,606,810",14.35,14.4202,14.125
04/27/2026,14.12,"16,524,080",14.2,14.31,14.09
04/24/2026,14.17,"12,561,280",14.43,14.495,14.06
04/23/2026,14.41,"12,852,350",14.53,14.55,14.2
04/22/2026,14.53,"12,281,230",14.67,14.805,14.43
04/21/2026,14.67,"12,382,640",14.88,14.93,14.57
04/20/2026,14.84,"11,134,980",14.76,14.96,14.615
04/17/2026,14.86,"12,689,990",14.66,14.93,14.62
04/16/2026,14.7,"18,587,410",14.32,14.74,14.31
04/15/2026,14.09,"19,305,770",14.3,14.33,14.04
04/14/2026,14.28,"17,633,650",14.4,14.6075,14.28
04/13/2026,14.51,"26,903,230",15.11,15.14,14.22
04/10/2026,15.18,"9,967,806",15.53,15.59,15.105
04/09/2026,15.55,"10,953,350",15.26,15.565,15.13
04/08/2026,15.58,"10,216,810",15.55,15.66,15.41
04/07/2026,15.49,"10,036,320",15.78,15.94,15.48
04/06/2026,15.78,"11,022,940",15.7,15.9,15.63
04/02/2026,15.72,"16,993,740",15.35,15.74,15.24
04/01/2026,15.52,"31,215,210",15.875,16.07,15.075
03/31/2026,15.72,"17,282,340",15.75,15.84,15.425
03/30/2026,15.73,"20,784,410",15.59,15.94,15.485
03/27/2026,15.62,"16,966,730",15.26,15.78,15.16
03/26/2026,15.2,"13,531,850",15.27,15.48,15.11
03/25/2026,15.32,"17,431,760",15.58,15.58,15.035
03/24/2026,15.56,"12,026,890",15.48,15.83,15.37
03/23/2026,15.46,"14,544,730",15.34,15.57,15.07
03/20/2026,15.16,"24,494,370",15.405,15.4998,15.065
03/19/2026,15.4,"20,714,290",15.59,15.74,15.315
03/18/2026,15.56,"19,649,360",16.03,16.125,15.36
03/17/2026,16.19,"14,823,810",16.07,16.405,16.07
03/16/2026,16.03,"17,215,920",16.46,16.54,16.02
03/13/2026,16.41,"20,226,700",16.345,16.865,16.345
03/12/2026,16.17,"24,826,860",16.68,17.06,16.13
03/11/2026,16.98,"24,290,660",18.0,18.035,16.87
03/10/2026,18.08,"10,189,440",18.46,18.5054,18.07
03/09/2026,18.66,"11,007,500",18.96,19.0964,18.62
03/06/2026,19.02,"8,897,608",18.61,19.05,18.4
03/05/2026,18.61,"9,335,688",18.82,18.99,18.59
03/04/2026,18.85,"10,253,340",19.0,19.05,18.66
03/03/2026,18.96,"10,484,890",19.08,19.22,18.74
03/02/2026,19.18,"10,419,110",19.23,19.475,18.9905
02/27/2026,19.25,"12,897,980",18.8,19.335,18.74
02/26/2026,18.73,"14,247,570",18.76,18.965,18.6
02/25/2026,18.67,"13,182,370",18.92,19.005,18.305
02/24/2026,19.1,"12,657,440",18.98,19.37,18.9723
02/23/2026,18.86,"12,205,020",18.42,19.0,18.4
02/20/2026,18.47,"10,956,450",18.83,18.83,18.4
02/19/2026,18.69,"9,664,522",18.89,18.99,18.61
02/18/2026,18.79,"21,772,870",18.84,18.845,18.36
02/17/2026,18.89,"21,050,130",19.75,19.85,18.325
02/13/2026,19.76,"10,732,030",19.93,20.08,19.47
02/12/2026,19.94,"11,783,280",20.1,20.3161,19.66
02/11/2026,20.02,"12,271,520",19.05,20.05,18.855
02/10/2026,19.33,"11,372,510",19.28,19.4928,19.05
02/09/2026,19.18,"10,983,700",19.35,19.47,19.0
02/06/2026,19.35,"11,150,390",19.58,19.72,19.35
02/05/2026,19.55,"13,320,420",19.98,20.04,19.49
02/04/2026,19.8,"19,914,990",19.25,19.995,19.21
02/03/2026,19.11,"17,829,070",18.27,19.18,18.21
02/02/2026,18.38,"11,387,120",18.48,18.51,18.09
01/30/2026,18.51,"14,674,790",17.93,18.51,17.81
01/29/2026,17.83,"11,067,850",17.8,18.08,17.76
01/28/2026,17.68,"11,013,800",18.0,18.14,17.48
01/27/2026,17.95,"14,828,740",17.62,17.99,17.595
01/26/2026,18.09,"17,228,490",17.6,18.115,17.6
01/23/2026,17.5,"9,792,961",17.46,17.585,17.29
01/22/2026,17.47,"9,997,507",17.25,17.66,17.25
01/21/2026,17.3,"13,031,860",17.11,17.31,16.99
01/20/2026,17.17,"11,486,120",16.96,17.3851,16.89
01/16/2026,16.96,"11,734,060",17.23,17.3,16.94
01/15/2026,17.37,"12,414,090",17.09,17.395,16.885
01/14/2026,17.12,"15,609,120",16.63,17.175,16.62
01/13/2026,16.57,"15,794,040",16.75,17.06,16.54
01/12/2026,16.69,"12,458,990",16.99,16.99,16.64
01/09/2026,16.94,"11,088,100",16.72,17.01,16.51
01/08/2026,16.58,"14,491,360",16.05,16.6599,15.96
01/07/2026,16.08,"18,996,560",16.92,16.955,16.08
01/06/2026,16.85,"13,635,080",17.05,17.09,16.85
01/05/2026,17.08,"16,341,950",17.26,17.295,16.965
