date,close,volume,open,high,low
05/15/2026,64.67,"4,099,573",65.78,66.1,64.4
05/14/2026,66.73,"3,823,459",66.03,67.065,65.35
05/13/2026,65.57,"3,660,800",65.85,66.2,65.0
05/12/2026,65.56,"3,907,817",65.49,65.99,64.74
05/11/2026,65.88,"5,310,801",66.87,67.0,65.64
05/08/2026,66.83,"5,032,092",67.6,68.39,66.5
05/07/2026,67.22,"7,627,351",68.58,68.65,66.45
05/06/2026,67.9,"7,663,833",66.11,68.48,65.85
05/05/2026,64.18,"6,926,636",66.22,66.62,64.08
05/04/2026,65.89,"4,929,094",67.17,67.62,65.125
05/01/2026,67.62,"7,349,001",67.2,68.495,66.51
04/30/2026,67.17,"15,777,660",64.21,69.04,63.67
04/29/2026,61.74,"8,941,490",63.03,63.76,61.0
04/28/2026,62.0,"6,536,890",61.65,62.295,61.03
04/27/2026,61.91,"6,271,400",61.53,62.9,61.4401
04/24/2026,60.97,"5,582,614",61.73,62.21,60.5
04/23/2026,61.54,"5,574,293",61.28,62.53,60.73
04/22/2026,60.65,"4,346,579",62.34,62.54,60.38
04/21/2026,61.71,"5,105,522",61.78,63.07,61.4
04/20/2026,61.65,"5,076,253",61.18,62.2099,60.89
04/17/2026,61.32,"6,461,237",60.31,62.965,60.19
04/16/2026,59.71,"8,885,412",58.75,60.72,57.85
04/15/2026,58.55,"16,954,380",64.01,64.01,57.7
04/14/2026,64.66,"4,610,527",64.29,64.99,63.36
04/13/2026,64.32,"6,643,935",63.29,64.43,62.88
04/10/2026,63.34,"7,428,731",62.09,63.99,61.75
04/09/2026,61.46,"6,070,604",58.09,61.76,58.09
04/08/2026,58.29,"5,957,094",58.0,58.88,57.92
04/07/2026,55.44,"5,266,742",55.15,55.55,54.65
04/06/2026,55.59,"4,117,568",55.34,55.915,55.065
04/02/2026,55.71,"5,650,425",55.93,57.035,55.29
04/01/2026,56.9,"5,784,217",56.64,57.79,56.215
03/31/2026,56.31,"6,677,827",55.69,56.73,55.23
03/30/2026,54.36,"5,721,453",55.04,55.24,53.77
03/27/2026,54.25,"6,960,896",54.88,55.49,54.03
03/26/2026,54.67,"11,988,900",58.71,59.25,54.585
03/25/2026,59.25,"4,271,272",59.45,59.8998,58.43
03/24/2026,58.58,"6,335,534",57.47,59.25,56.935
03/23/2026,58.3,"7,394,421",59.69,60.2,58.27
03/20/2026,58.07,"13,673,740",59.0,59.57,57.7
