date,close,volume,open,high,low
05/15/2026,852.75,"793,810",873.29,879.99,844.74
05/14/2026,877.48,"446,559",890.0,901.0,876.53
05/13/2026,888.36,"388,543",871.97,889.99,868.44
05/12/2026,867.19,"475,080",876.7,879.2525,863.25
05/11/2026,877.07,"370,722",864.85,877.53,859.66
05/08/2026,859.49,"256,933",860.37,868.08,855.73
05/07/2026,850.95,"422,876",853.69,859.6925,832.345
05/06/2026,858.14,"365,650",864.99,865.09,848.0
05/05/2026,862.35,"338,143",856.01,867.56,854.14
05/04/2026,852.63,"397,556",833.75,857.86,831.36
05/01/2026,835.92,"377,678",822.0,836.71,821.0
04/30/2026,822.15,"411,646",788.29,823.61,788.29
04/29/2026,781.5,"263,212",786.068,786.48,771.44
04/28/2026,784.61,"339,747",802.21,804.27,777.05
04/27/2026,804.5,"352,355",803.58,806.4949,791.39
04/24/2026,799.55,"372,949",798.35,802.56,789.9
04/23/2026,789.82,"398,191",786.39,798.455,780.855
04/22/2026,782.91,"286,025",786.13,787.36,774.44
04/21/2026,781.82,"305,869",766.56,784.2,765.0
04/20/2026,768.45,"331,656",760.23,770.325,752.74
04/17/2026,754.72,"369,447",738.99,758.7106,735.088
04/16/2026,737.22,"400,104",738.23,742.75,731.65
04/15/2026,736.83,"295,753",738.03,744.5725,730.0
04/14/2026,742.45,"373,881",733.53,743.73,730.25
04/13/2026,735.0,"426,743",737.29,737.29,729.185
04/10/2026,738.17,"574,200",760.02,762.6,730.2
04/09/2026,758.76,"707,839",753.59,774.23,751.33
04/08/2026,758.37,"8,688,984",749.85,762.51,737.9501
04/07/2026,741.82,"710,701",757.25,757.25,738.6
04/06/2026,747.77,"312,397",743.19,753.405,740.64
04/02/2026,743.42,"368,239",735.4,746.57,727.32
04/01/2026,737.16,"684,719",726.84,738.0,722.91
03/31/2026,727.86,"586,263",704.8,728.54,704.8
03/30/2026,704.8,"338,761",712.75,715.5,700.0
03/27/2026,714.24,"295,944",708.15,716.28,703.3001
03/26/2026,711.81,"453,304",709.05,720.43,704.495
03/25/2026,714.23,"765,006",689.66,721.4999,689.66
03/24/2026,689.04,"532,114",671.26,694.48,671.26
