date,close,volume,open,high,low
05/15/2026,129.95,"5,046,439",130.74,132.09,126.33
05/14/2026,132.45,"3,674,723",140.9,142.434,131.21
05/13/2026,140.65,"1,580,302",142.8,143.47,139.39
05/12/2026,144.06,"1,368,039",146.14,146.91,142.5
05/11/2026,146.11,"1,568,452",146.16,147.645,144.9
05/08/2026,146.33,"1,869,133",148.16,148.97,146.22
05/07/2026,146.7,"1,828,102",145.66,148.58,144.46
05/06/2026,145.16,"1,753,862",144.38,147.22,143.94
05/05/2026,142.57,"1,201,575",140.35,142.69,138.6
05/04/2026,140.05,"1,349,048",140.93,143.96,138.97
05/01/2026,141.81,"1,352,009",143.96,144.37,141.38
04/30/2026,142.73,"2,565,645",142.07,143.39,141.05
04/29/2026,142.51,"2,447,019",146.3,146.69,141.51
04/28/2026,146.93,"1,322,900",147.16,147.83,144.295
04/27/2026,146.22,"1,617,604",146.51,148.6,145.175
04/24/2026,148.29,"1,777,911",149.98,150.28,146.86
04/23/2026,149.31,"4,446,256",157.0,157.6,143.6
04/22/2026,153.52,"2,961,715",151.19,154.2,149.815
04/21/2026,149.85,"2,310,384",152.53,154.0,149.03
04/20/2026,152.6,"1,297,251",152.16,153.06,151.02
04/17/2026,151.51,"1,658,516",149.08,152.73,149.08
04/16/2026,147.8,"1,455,228",148.53,150.49,147.51
04/15/2026,147.48,"1,745,330",147.12,148.835,145.77
04/14/2026,147.07,"1,631,561",145.6,149.29,145.19
04/13/2026,145.94,"1,804,311",140.59,146.4,140.23
04/10/2026,141.22,"1,683,733",142.2,142.4699,139.58
04/09/2026,142.46,"1,235,434",141.47,143.445,139.44
04/08/2026,142.49,"2,473,701",143.55,146.09,142.43
04/07/2026,138.02,"1,473,827",135.35,138.545,134.67
04/06/2026,136.19,"786,849",136.16,136.97,135.34
04/02/2026,136.6,"1,627,780",132.63,138.39,132.2
04/01/2026,134.49,"1,777,954",134.59,136.08,133.07
03/31/2026,135.46,"3,051,584",135.96,137.47,132.1
03/30/2026,133.14,"1,969,372",133.73,135.28,132.4
03/27/2026,131.77,"1,661,702",133.62,133.98,131.19
03/26/2026,134.81,"1,815,384",134.06,136.6,132.84
03/25/2026,134.75,"1,761,202",134.27,135.64,131.62
03/24/2026,132.92,"2,093,788",133.04,135.1,131.695
03/23/2026,135.75,"2,209,305",136.07,138.0,134.9
03/20/2026,131.99,"3,525,337",133.03,133.795,130.7
03/19/2026,133.21,"2,213,371",132.36,134.5249,130.0959
03/18/2026,133.91,"2,667,646",134.26,135.34,133.25
03/17/2026,136.28,"1,565,016",137.25,138.73,136.06
03/16/2026,135.07,"1,570,177",135.8,137.23,134.65
03/13/2026,133.8,"2,011,264",133.74,135.74,133.29
03/12/2026,131.84,"3,557,170",130.06,133.3,129.45
03/11/2026,132.49,"2,879,613",133.51,133.94,129.01
03/10/2026,134.59,"1,917,394",136.79,137.0,133.0901
03/09/2026,136.94,"2,578,481",133.89,137.54,131.0
03/06/2026,136.83,"2,167,924",137.23,138.5,133.53
03/05/2026,141.19,"2,152,866",139.98,142.55,138.8508
03/04/2026,141.74,"2,179,733",143.15,143.8,141.74
03/03/2026,142.63,"2,295,424",140.22,144.93,139.8766
03/02/2026,144.97,"2,320,434",143.93,146.18,141.66
02/27/2026,147.66,"3,371,248",147.96,148.26,144.01
02/26/2026,150.0,"1,772,505",148.61,150.9,148.08
02/25/2026,147.24,"2,494,715",146.94,147.995,144.225
02/24/2026,146.17,"2,393,759",144.85,148.46,143.7
02/23/2026,144.18,"3,655,883",146.62,150.06,143.33
02/20/2026,147.01,"2,114,320",149.0,150.22,146.25
02/19/2026,149.19,"2,585,070",150.4,151.66,147.7
02/18/2026,152.01,"4,950,018",143.09,153.128,141.68
02/17/2026,141.24,"3,578,296",141.0,143.17,138.38
02/13/2026,142.31,"7,109,229",139.64,144.95,132.23
02/12/2026,136.28,"12,458,430",151.94,153.0,125.78
02/11/2026,149.49,"7,273,581",171.02,172.25,144.3001
02/10/2026,170.33,"1,917,286",171.7,174.27,169.9
02/09/2026,170.98,"1,005,485",168.96,171.54,167.69
02/06/2026,169.67,"1,262,340",167.52,170.45,166.64
02/05/2026,166.18,"1,247,961",165.1,168.25,164.475
02/04/2026,165.89,"1,856,730",163.35,166.28,161.39
02/03/2026,163.35,"1,848,252",169.79,170.62,163.02
02/02/2026,169.36,"1,267,905",170.1,173.03,169.3
01/30/2026,170.33,"1,423,550",170.32,171.18,167.82
01/29/2026,171.61,"1,348,588",170.22,171.67,169.05
01/28/2026,169.5,"868,813",169.36,171.97,168.6184
01/27/2026,169.39,"1,092,932",170.31,172.18,169.31
01/26/2026,170.31,"1,414,497",169.83,171.36,169.12
01/23/2026,169.23,"1,067,129",168.8,170.19,166.6
01/22/2026,170.17,"1,199,670",171.26,172.0999,169.97
01/21/2026,170.29,"1,511,204",167.3,171.3,166.96
01/20/2026,165.36,"1,219,613",167.84,170.72,164.85
01/16/2026,171.59,"1,451,198",170.27,173.05,170.11
01/15/2026,170.83,"1,287,448",165.77,171.24,165.48
01/14/2026,164.9,"1,522,611",163.77,165.505,161.12
01/13/2026,164.71,"1,158,122",166.28,166.7,163.155
01/12/2026,166.72,"1,507,010",164.95,167.02,164.24
01/09/2026,165.46,"1,174,067",166.99,168.32,165.355
01/08/2026,165.96,"1,129,219",165.47,169.09,165.47
01/07/2026,166.33,"1,550,349",167.98,168.88,166.33
01/06/2026,166.92,"1,368,542",164.59,167.05,161.66
01/05/2026,164.4,"1,283,049",159.61,164.64,159.23
01/02/2026,160.19,"821,127",160.31,161.279,159.5
12/31/2025,160.79,"1,083,281",163.24,163.335,160.68
12/30/2025,163.31,"675,690",163.68,164.75,163.04
12/29/2025,164.17,"793,515",164.78,165.2551,163.71
12/26/2025,164.71,"426,400",164.9,165.345,164.25
12/24/2025,164.94,"479,066",164.33,165.71,164.1741
12/23/2025,163.85,"858,393",164.18,164.21,162.35
12/22/2025,164.06,"1,114,005",161.62,164.2486,161.37
12/19/2025,161.63,"4,433,148",160.09,161.66,159.07
12/18/2025,160.56,"1,028,130",161.15,162.71,159.73
12/17/2025,160.01,"2,256,366",160.45,162.12,159.25
12/16/2025,160.7,"1,892,580",159.59,162.58,158.905
12/15/2025,158.87,"1,301,485",161.6,161.78,158.2
12/12/2025,159.58,"1,577,402",161.68,162.205,158.23
12/11/2025,160.46,"1,842,801",157.77,161.5,155.595
12/10/2025,156.65,"1,999,989",156.7,158.04,155.66
12/09/2025,156.02,"1,506,735",155.76,158.83,155.425
12/08/2025,155.39,"1,620,647",160.16,160.16,155.16
12/05/2025,160.86,"821,957",161.29,162.24,160.36
12/04/2025,161.47,"1,166,321",162.3,162.98,160.61
12/03/2025,162.28,"1,202,778",160.06,162.86,159.21
12/02/2025,159.33,"1,106,744",161.5,161.76,157.98
12/01/2025,159.34,"1,093,291",160.21,161.44,159.12
11/28/2025,161.83,"621,629",162.17,162.985,160.13
11/26/2025,162.21,"1,116,070",161.49,163.93,161.47
11/25/2025,162.21,"1,043,629",159.13,162.7,158.69
11/24/2025,158.05,"2,105,779",156.47,158.53,155.68
11/21/2025,156.79,"2,054,637",153.26,157.25,151.94
11/20/2025,151.58,"2,133,803",153.15,156.51,151.49
11/19/2025,151.79,"1,331,392",150.95,153.16,150.57
11/18/2025,150.08,"1,358,146",149.57,151.49,148.76
11/17/2025,149.41,"1,199,224",153.37,154.0,149.21
11/14/2025,153.66,"1,067,239",152.9,154.28,151.91
11/13/2025,153.17,"1,106,609",154.03,156.5,152.61
11/12/2025,155.4,"1,163,914",154.0,156.95,154.0
11/11/2025,154.9,"1,334,928",152.56,155.86,151.8
11/10/2025,151.83,"1,331,381",152.41,153.52,149.4
11/07/2025,152.65,"1,676,689",150.48,153.015,149.28
11/06/2025,149.99,"1,092,277",150.74,152.01,149.97
11/05/2025,150.07,"1,828,056",150.46,151.205,146.68
11/04/2025,151.44,"1,658,002",150.42,152.69,149.505
11/03/2025,150.61,"1,641,982",151.09,151.84,147.847
10/31/2025,152.43,"1,474,456",152.27,153.22,150.54
10/30/2025,152.89,"1,409,403",152.0,155.4,150.5
10/29/2025,152.71,"2,183,154",157.97,158.99,152.45
10/28/2025,159.44,"1,240,240",161.25,161.58,159.18
10/27/2025,161.13,"1,892,726",163.45,164.065,160.99
10/24/2025,162.96,"1,786,129",164.62,165.64,161.4
10/23/2025,164.2,"4,019,109",163.78,171.0,161.7688
10/22/2025,163.77,"3,265,253",161.45,164.6,160.755
10/21/2025,160.88,"1,289,716",159.7,162.24,159.16
10/20/2025,159.88,"1,088,846",157.64,160.19,156.93
10/17/2025,157.12,"1,155,427",154.57,157.32,154.57
10/16/2025,155.42,"1,030,482",157.49,157.79,154.57
10/15/2025,156.82,"1,508,186",155.35,157.6,155.3251
10/14/2025,154.36,"1,224,800",151.88,154.855,151.515
10/13/2025,152.93,"1,069,016",151.9,153.68,151.26
10/10/2025,150.38,"1,179,045",153.44,153.99,150.12
10/09/2025,152.46,"1,166,118",151.82,153.18,150.955
10/08/2025,151.7,"1,345,382",151.79,153.08,150.06
10/07/2025,152.69,"1,008,447",153.49,154.02,151.73
10/06/2025,153.52,"1,173,502",156.56,156.84,152.8
10/03/2025,156.14,"947,937",156.42,157.32,155.6044
10/02/2025,155.63,"1,311,537",155.87,155.87,154.14
10/01/2025,156.56,"1,465,555",157.45,158.29,155.695
09/30/2025,157.56,"1,625,942",159.14,159.16,155.58
09/29/2025,158.96,"1,858,740",158.68,159.62,157.58
09/26/2025,158.0,"1,354,562",156.87,158.13,155.48
09/25/2025,156.3,"1,334,286",156.01,157.345,155.08
09/24/2025,157.12,"2,194,825",162.73,163.205,156.62
09/23/2025,163.09,"1,194,401",162.44,164.4982,161.655
09/22/2025,162.61,"1,184,456",163.26,164.52,161.88
09/19/2025,164.14,"2,918,314",165.86,166.3623,163.66
09/18/2025,165.73,"1,095,867",164.07,166.39,164.07
09/17/2025,164.33,"1,584,747",164.13,166.32,163.64
09/16/2025,162.84,"1,462,868",165.71,165.93,162.31
09/15/2025,165.56,"1,440,883",163.73,166.09,163.39
09/12/2025,164.02,"915,632",165.22,166.48,163.75
09/11/2025,165.9,"1,621,283",163.35,167.56,162.495
09/10/2025,162.62,"1,457,460",162.33,163.81,161.37
09/09/2025,162.09,"1,377,758",163.07,163.515,161.61
09/08/2025,163.52,"1,277,939",162.56,163.735,161.21
09/05/2025,164.38,"1,285,145",163.66,165.09,162.07
09/04/2025,161.69,"1,162,860",160.14,161.875,159.4
09/03/2025,159.13,"2,054,400",158.77,159.4854,156.17
09/02/2025,159.56,"1,926,121",159.28,160.21,158.39
08/29/2025,162.12,"1,399,037",162.27,163.33,161.51
08/28/2025,161.99,"1,697,659",163.63,163.655,161.53
08/27/2025,163.04,"1,543,997",162.77,164.0957,162.2
08/26/2025,163.42,"2,894,778",164.59,165.05,162.35
08/25/2025,164.98,"1,258,198",164.13,165.41,163.52
08/22/2025,164.41,"1,792,827",160.12,164.89,159.155
08/21/2025,159.12,"1,468,116",159.39,160.4199,158.845
08/20/2025,160.84,"1,523,506",159.51,161.81,158.77
08/19/2025,159.98,"1,085,650",158.27,159.99,157.65
08/18/2025,157.84,"1,078,748",158.52,159.485,156.91
08/15/2025,158.93,"1,567,384",158.99,160.29,157.58
08/14/2025,158.54,"1,006,128",157.62,158.85,157.23
08/13/2025,159.66,"1,703,379",157.6,159.93,157.05
08/12/2025,156.12,"1,153,074",154.42,156.18,154.02
08/11/2025,153.49,"1,422,190",154.66,156.15,153.25
08/08/2025,155.4,"990,327",154.87,156.125,154.61
08/07/2025,154.36,"1,441,358",157.34,157.34,154.02
08/06/2025,155.88,"1,585,836",155.85,157.025,154.54
08/05/2025,156.47,"1,952,185",156.57,157.31,155.07
08/04/2025,156.03,"1,805,039",155.03,156.61,154.735
08/01/2025,153.94,"1,831,774",154.86,154.96,152.25
07/31/2025,155.74,"1,854,334",156.83,157.77,155.4
07/30/2025,157.37,"3,282,519",157.62,159.795,156.15
07/29/2025,158.05,"4,879,211",152.73,161.03,152.73
07/28/2025,146.56,"2,046,736",147.19,148.5,146.36
07/25/2025,147.57,"1,202,481",145.4,147.98,143.91
07/24/2025,144.59,"1,815,559",143.94,146.24,143.335
07/23/2025,144.63,"1,067,083",144.085,144.93,143.35
07/22/2025,143.07,"1,257,051",142.19,143.5,140.62
07/21/2025,141.44,"1,361,418",140.61,143.5,139.81
07/18/2025,139.47,"995,866",139.43,140.0,138.65
07/17/2025,138.77,"1,092,158",138.51,139.65,137.745
07/16/2025,138.35,"1,584,572",137.95,138.86,135.44
07/15/2025,137.04,"1,994,892",141.23,141.5,136.93
07/14/2025,141.02,"824,919",140.44,141.62,140.025
07/11/2025,140.5,"1,049,015",139.53,140.69,139.21
07/10/2025,141.21,"923,048",139.84,142.46,139.44
07/09/2025,139.75,"1,379,638",141.27,141.54,139.28
07/08/2025,139.89,"1,635,304",142.15,143.47,139.89
07/07/2025,142.54,"1,128,116",142.33,143.29,141.27
07/03/2025,143.18,"721,444",143.0,144.15,141.64
07/02/2025,142.51,"1,018,801",141.23,142.59,140.895
07/01/2025,141.62,"1,288,164",139.47,142.21,138.6
06/30/2025,140.12,"1,902,216",139.9,140.54,138.43
06/27/2025,139.38,"2,667,164",138.18,140.59,138.075
06/26/2025,138.09,"2,018,374",136.12,138.37,134.35
06/25/2025,135.22,"1,279,052",137.87,138.595,135.17
06/24/2025,139.13,"1,426,955",139.49,140.25,138.095
06/23/2025,138.6,"1,205,954",133.65,138.76,132.66
06/20/2025,133.89,"2,061,966",135.0,135.79,133.27
06/18/2025,133.47,"1,164,946",132.4,134.6,132.07
06/17/2025,132.26,"1,238,735",133.66,134.34,131.5861
06/16/2025,134.1,"1,177,644",134.0,135.87,133.2975
06/13/2025,132.97,"1,097,705",133.18,134.42,132.42
06/12/2025,135.52,"1,511,421",134.54,136.89,133.7487
06/11/2025,133.83,"1,791,163",133.53,134.87,133.03
06/10/2025,132.85,"1,840,625",129.62,133.01,129.2
06/09/2025,128.84,"1,169,164",129.06,130.29,127.84
06/06/2025,128.57,"839,230",129.02,129.48,127.8977
06/05/2025,127.64,"1,222,924",127.41,128.78,126.72
06/04/2025,127.41,"1,456,187",125.15,127.87,124.24
06/03/2025,124.94,"2,005,671",123.87,125.09,123.17
06/02/2025,124.56,"1,136,225",124.15,124.67,121.83
05/30/2025,125.02,"5,352,243",123.89,125.25,123.08
