date,close,volume,open,high,low
05/15/2026,86.66,"3,732,754",87.07,87.86,85.47
05/14/2026,87.31,"3,610,435",89.72,90.01,87.11
05/13/2026,89.62,"5,158,985",90.71,90.71,87.295
05/12/2026,91.5,"3,809,383",90.22,92.81,89.865
05/11/2026,90.67,"3,640,693",90.96,92.305,90.44
05/08/2026,90.57,"4,123,803",91.12,92.11,90.45
05/07/2026,91.07,"3,134,026",90.0,91.35,89.885
05/06/2026,90.24,"2,535,815",89.73,90.87,89.25
05/05/2026,89.1,"2,755,817",90.0,90.489,88.88
05/04/2026,90.18,"3,064,135",88.67,90.85,88.47
05/01/2026,89.26,"3,292,670",89.21,90.5,88.56
04/30/2026,88.78,"3,094,792",85.885,88.95,85.665
04/29/2026,85.87,"2,884,083",85.64,87.06,85.64
04/28/2026,86.17,"2,818,437",84.39,86.22,83.48
04/27/2026,83.44,"3,145,889",85.98,86.6012,83.3
04/24/2026,86.34,"2,893,950",87.42,87.43,84.68
04/23/2026,87.52,"3,865,374",88.9,89.68,86.5501
04/22/2026,86.01,"2,920,205",85.75,87.13,85.06
04/21/2026,84.92,"3,552,061",87.76,87.92,84.29
04/20/2026,87.56,"2,395,001",88.25,88.95,87.36
04/17/2026,88.71,"3,436,543",86.955,89.0,86.44
04/16/2026,86.87,"2,534,798",85.79,86.9,85.665
04/15/2026,85.63,"2,696,332",86.48,87.0543,85.45
04/14/2026,86.27,"2,775,281",87.05,87.215,85.12
04/13/2026,87.08,"2,339,816",86.23,87.1,85.7225
04/10/2026,86.29,"2,128,140",86.55,87.17,86.0501
04/09/2026,86.57,"3,591,425",84.92,87.59,84.48
04/08/2026,85.52,"3,920,882",84.95,86.38,83.59
04/07/2026,84.91,"2,173,266",86.43,86.56,84.72
04/06/2026,86.57,"2,339,931",84.31,87.46,84.13
04/02/2026,84.78,"6,078,124",81.21,87.04,80.29
04/01/2026,80.83,"2,486,093",80.77,81.665,80.02
03/31/2026,81.31,"3,719,857",80.15,81.48,79.465
03/30/2026,79.68,"3,174,425",79.77,81.43,79.0
03/27/2026,78.59,"2,456,892",77.93,79.25,77.8
03/26/2026,77.97,"2,962,286",76.68,78.01,76.01
03/25/2026,76.96,"5,064,226",79.14,79.325,75.96
03/24/2026,78.59,"3,450,358",80.25,81.5,78.3
03/23/2026,81.33,"2,788,363",82.37,83.425,80.21
03/20/2026,82.36,"5,086,834",85.13,86.015,81.7
03/19/2026,85.07,"1,822,746",84.87,85.43,83.77
03/18/2026,84.91,"2,392,070",87.15,87.15,84.82
03/17/2026,87.93,"2,101,937",88.14,88.69,87.38
03/16/2026,87.52,"2,390,275",88.02,88.2,87.1
