date,close,volume,open,high,low
05/15/2026,24.64,"22,806,380",24.87,25.14,24.58
05/14/2026,25.2,"22,758,000",25.75,26.04,25.19
05/13/2026,25.03,"23,074,140",24.725,25.2,24.41
05/12/2026,24.85,"30,772,000",25.39,25.46,24.735
05/11/2026,25.44,"37,239,600",25.86,26.01,24.99
05/08/2026,26.38,"29,526,400",27.2,27.29,26.25
05/07/2026,27.0,"26,335,110",27.615,28.05,26.75
05/06/2026,27.52,"50,805,340",27.3,27.62,26.79
05/05/2026,25.77,"80,404,400",25.74,26.29,25.67
05/04/2026,25.67,"31,850,860",26.12,26.77,25.25
05/01/2026,26.66,"21,981,180",26.63,27.31,26.08
04/30/2026,26.51,"28,026,870",26.49,27.365,26.18
04/29/2026,25.58,"26,210,390",26.01,26.02,25.34
04/28/2026,26.3,"15,692,240",26.24,26.62,26.12
04/27/2026,26.77,"18,879,770",26.73,27.05,26.45
04/24/2026,27.17,"17,360,530",26.75,27.3,26.53
04/23/2026,26.65,"21,056,950",26.79,27.33,26.18
04/22/2026,26.94,"17,360,180",27.42,27.695,26.71
04/21/2026,27.36,"29,166,040",28.93,28.96,27.21
04/20/2026,29.01,"19,133,310",28.76,29.06,28.5
04/17/2026,29.22,"37,524,030",29.06,30.16,28.95
04/16/2026,27.31,"32,073,630",28.9,29.13,27.16
04/15/2026,28.82,"20,614,950",28.74,29.13,28.27
04/14/2026,28.69,"20,048,720",28.25,28.93,28.04
04/13/2026,27.75,"20,060,130",27.1,27.8,26.83
04/10/2026,27.98,"19,468,080",28.32,28.505,27.44
04/09/2026,27.85,"25,712,550",27.82,28.12,26.895
04/08/2026,28.03,"52,285,400",28.28,28.99,27.595
04/07/2026,25.2,"25,395,340",25.46,25.475,24.74
04/06/2026,25.97,"16,505,100",25.7,25.98,25.28
04/02/2026,25.64,"26,943,800",25.34,26.06,24.94
04/01/2026,26.58,"27,439,520",26.49,26.74,26.025
03/31/2026,25.88,"41,039,130",24.735,25.93,24.5
03/30/2026,23.96,"26,741,370",24.385,24.838,23.79
03/27/2026,24.19,"43,089,940",24.57,25.46,23.6601
03/26/2026,25.28,"22,463,450",25.39,25.875,25.155
03/25/2026,25.73,"24,568,970",26.22,26.39,25.515
03/24/2026,25.47,"24,791,270",24.76,25.685,24.71
03/23/2026,25.45,"34,796,920",25.65,26.215,25.37
03/20/2026,24.12,"48,721,660",24.565,24.76,23.91
03/19/2026,24.94,"30,118,750",24.02,25.035,23.956
03/18/2026,24.16,"26,305,630",24.74,25.035,24.16
03/17/2026,25.09,"21,006,550",25.29,25.41,24.9101
03/16/2026,24.72,"24,107,720",24.43,25.09,24.41
03/13/2026,23.99,"23,093,250",24.09,24.83,23.78
03/12/2026,23.92,"38,826,480",25.09,25.2399,23.87
03/11/2026,25.97,"23,368,320",26.01,26.5499,25.505
03/10/2026,26.21,"35,613,580",25.9,26.96,25.28
03/09/2026,26.39,"56,154,040",24.465,26.39,23.47
03/06/2026,25.79,"36,027,960",25.835,25.97,25.44
03/05/2026,27.16,"34,668,290",27.71,28.41,26.71
03/04/2026,28.01,"21,974,020",28.6,28.95,27.88
03/03/2026,28.53,"30,039,650",27.68,28.83,27.105
03/02/2026,29.14,"38,114,550",28.85,29.75,27.9
02/27/2026,31.55,"19,943,510",31.38,31.96,31.215
02/26/2026,32.7,"15,711,500",32.2,32.99,32.02
02/25/2026,31.7,"13,818,930",31.78,31.94,31.19
02/24/2026,31.61,"15,667,800",30.32,31.64,30.08
02/23/2026,30.42,"24,145,890",31.915,32.37,29.955
02/20/2026,31.99,"18,134,870",31.55,32.36,31.4
02/19/2026,31.55,"23,590,670",32.2,32.69,31.47
02/18/2026,32.54,"17,421,150",32.16,33.17,31.84
02/17/2026,32.68,"21,158,220",32.6,33.205,32.13
02/13/2026,31.77,"18,274,780",32.26,32.38,31.36
02/12/2026,32.6,"21,246,430",33.33,33.75,32.11
02/11/2026,33.09,"18,968,650",33.28,33.5632,32.54
02/10/2026,33.35,"21,443,370",32.55,33.65,32.5
02/09/2026,32.81,"18,347,650",33.47,33.62,32.78
02/06/2026,33.99,"27,375,420",31.81,34.03,31.73
02/05/2026,31.45,"17,165,690",31.84,32.605,31.25
02/04/2026,32.09,"23,859,970",32.43,32.43,31.14
02/03/2026,31.94,"29,019,690",31.93,33.15,31.641
02/02/2026,32.45,"30,352,470",30.175,32.685,30.12
01/30/2026,30.02,"22,778,760",31.0,31.0,29.58
01/29/2026,31.15,"40,745,530",29.285,31.435,29.225
01/28/2026,28.72,"19,948,870",28.75,29.31,28.62
01/27/2026,28.69,"10,045,400",28.67,28.72,28.34
01/26/2026,28.67,"15,455,250",28.41,28.89,28.32
01/23/2026,28.55,"18,889,890",28.35,28.87,28.19
01/22/2026,28.49,"16,454,780",28.87,28.965,28.405
01/21/2026,28.25,"15,394,090",28.33,28.53,28.025
01/20/2026,28.02,"20,008,660",27.94,28.69,27.76
01/16/2026,28.92,"16,310,450",29.44,29.49,28.795
01/15/2026,29.44,"19,752,050",30.46,30.56,29.37
01/14/2026,30.18,"23,791,610",30.735,30.76,29.585
01/13/2026,30.99,"19,716,390",31.285,31.53,30.305
01/12/2026,31.61,"14,816,090",31.895,32.0,31.4
01/09/2026,32.13,"14,978,570",31.77,32.175,31.35
01/08/2026,31.69,"20,601,600",32.09,32.47,31.49
01/07/2026,32.11,"18,236,320",31.48,32.19,31.48
01/06/2026,32.3,"23,312,500",31.6,32.8,31.4704
01/05/2026,31.49,"21,182,330",30.505,31.785,30.41
01/02/2026,30.92,"15,892,050",30.69,31.22,30.37
12/31/2025,30.54,"8,289,858",30.82,30.9,30.53
12/30/2025,30.82,"9,327,592",30.72,31.01,30.7
12/29/2025,30.72,"14,914,700",30.44,30.72,30.27
12/26/2025,30.7,"10,286,950",31.25,31.45,30.611
12/24/2025,31.25,"7,559,243",31.48,31.6188,31.12
12/23/2025,31.66,"24,490,110",32.52,32.89,31.3242
12/22/2025,32.2,"29,981,710",31.25,32.36,31.02
12/19/2025,31.12,"84,280,950",28.55,31.485,27.96
12/18/2025,28.34,"22,533,820",28.39,28.51,27.98
12/17/2025,28.03,"18,753,730",28.26,28.9,28.01
12/16/2025,28.2,"22,716,650",28.67,29.04,28.165
12/15/2025,28.6,"21,363,740",28.11,28.81,27.915
12/12/2025,27.62,"16,421,270",28.06,28.16,27.61
12/11/2025,27.84,"24,096,720",26.37,28.09,26.37
12/10/2025,26.28,"17,622,050",25.785,26.555,25.55
12/09/2025,25.51,"17,038,470",25.68,25.8565,25.27
12/08/2025,26.01,"15,756,310",25.93,26.15,25.55
12/05/2025,25.87,"10,879,910",25.93,26.04,25.66
12/04/2025,25.82,"15,680,480",26.0,26.07,25.595
12/03/2025,26.04,"20,048,830",25.83,26.15,25.525
12/02/2025,25.84,"17,932,890",26.12,26.15,25.41
12/01/2025,25.93,"17,335,320",25.64,25.98,25.41
11/28/2025,25.78,"12,260,680",25.67,26.01,25.51
11/26/2025,25.43,"30,084,180",25.93,25.95,25.43
11/25/2025,25.72,"32,096,750",24.69,26.36,24.65
11/24/2025,24.76,"42,975,780",26.725,26.8601,24.6
11/21/2025,26.56,"18,027,590",25.79,26.815,25.58
11/20/2025,25.32,"21,939,920",26.36,26.63,25.285
11/19/2025,26.08,"12,727,100",26.1,26.39,25.845
11/18/2025,25.76,"17,925,260",25.38,26.01,25.295
11/17/2025,25.36,"16,529,960",25.94,26.06,25.12
11/14/2025,26.02,"14,243,730",25.72,26.17,25.29
11/13/2025,26.14,"18,128,510",27.11,27.41,25.97
11/12/2025,27.13,"17,427,290",26.92,27.82,26.88
11/11/2025,26.79,"16,090,300",26.74,27.185,26.69
11/10/2025,26.89,"21,167,220",27.09,27.43,26.67
11/07/2025,26.73,"18,927,730",26.13,27.13,26.01
11/06/2025,26.37,"16,602,420",26.68,27.025,26.285
11/05/2025,26.9,"21,405,880",26.53,27.28,26.51
11/04/2025,26.11,"39,918,950",27.0,27.305,25.91
11/03/2025,28.71,"21,219,850",28.81,28.96,28.13
10/31/2025,28.83,"44,832,650",28.25,28.98,28.02
10/30/2025,28.33,"23,362,450",27.62,28.93,27.55
10/29/2025,27.87,"32,133,820",27.8,28.41,27.66
10/28/2025,27.86,"36,340,400",28.37,28.49,27.78
10/27/2025,29.42,"19,687,490",29.7,29.89,29.05
10/24/2025,29.4,"19,776,060",29.89,30.15,29.37
