date,close,volume,open,high,low
05/14/2026,352.84,"1,476,333",350.03,355.205,348.46
05/13/2026,354.55,"2,321,467",359.04,361.025,350.55
05/12/2026,358.04,"1,995,613",361.1,361.99,355.56
05/11/2026,364.2,"2,642,350",359.07,365.0,358.03
05/08/2026,362.7,"2,317,761",356.075,365.01,353.18
05/07/2026,356.9,"1,870,810",358.0,362.705,354.87
05/06/2026,354.9,"2,420,839",353.5,355.492,347.49
05/05/2026,353.63,"1,965,658",351.3,354.89,346.1301
05/04/2026,349.51,"3,152,299",342.38,351.01,340.61
05/01/2026,340.94,"1,826,033",336.5,342.37,334.0
04/30/2026,329.59,"2,077,774",328.745,330.08,319.78
04/29/2026,329.95,"2,949,650",323.71,331.36,315.51
04/28/2026,325.31,"4,885,187",329.7,338.55,317.07
04/27/2026,336.54,"4,034,412",330.82,338.1895,330.0
04/24/2026,332.89,"3,316,080",320.08,334.81,319.37
04/23/2026,314.33,"2,317,985",325.86,326.975,311.0
04/22/2026,331.61,"2,205,950",332.85,334.0,327.69
04/21/2026,325.84,"3,475,139",319.745,331.23,318.9
04/20/2026,318.5,"2,267,962",312.6,320.98,309.595
04/17/2026,311.03,"2,211,895",316.33,317.9999,308.4
04/16/2026,306.96,"2,158,520",309.45,312.88,303.31
04/15/2026,304.1,"2,514,264",295.0,307.465,293.51
04/14/2026,292.37,"2,182,476",293.31,297.1772,290.28
04/13/2026,288.2,"2,649,001",266.06,288.33,265.2201
04/10/2026,265.66,"3,492,819",280.73,281.42,263.38
04/09/2026,281.01,"2,209,761",287.62,288.18,277.45
04/08/2026,289.5,"1,913,601",289.98,291.35,285.42
04/07/2026,279.48,"1,275,080",278.03,280.0,273.9
04/06/2026,279.39,"1,173,384",277.985,279.77,275.48
04/02/2026,278.72,"1,511,613",273.69,280.255,271.34
04/01/2026,280.19,"1,762,626",280.19,281.6,274.66
03/31/2026,277.87,"1,884,168",273.265,278.61,271.6
03/30/2026,270.88,"2,151,738",272.18,276.37,268.8
03/27/2026,271.77,"2,186,734",278.26,280.43,271.05
03/26/2026,280.62,"2,002,384",278.0,284.16,278.0
03/25/2026,281.39,"2,617,318",288.69,290.369,277.65
03/24/2026,284.32,"2,833,025",289.51,290.495,277.0
03/23/2026,292.52,"3,532,025",289.2,299.29,286.79
03/20/2026,283.9,"3,349,528",286.42,287.39,281.46
03/19/2026,287.4,"1,574,249",288.92,292.61,284.35
03/18/2026,289.64,"1,667,108",291.93,295.3,289.5
03/17/2026,293.75,"1,339,456",293.89,300.94,292.49
03/16/2026,292.72,"1,517,062",289.325,295.4299,288.0
03/13/2026,287.03,"1,838,432",290.8,292.04,283.345
03/12/2026,290.32,"2,493,107",290.93,296.51,289.19
03/11/2026,294.16,"2,100,202",294.79,296.0,287.0
03/10/2026,293.29,"2,084,219",299.06,299.06,290.4701
03/09/2026,298.05,"2,493,952",293.76,300.27,289.37
03/06/2026,296.94,"2,605,935",294.95,302.015,294.27
03/05/2026,299.84,"3,707,554",303.0,311.24,297.54
03/04/2026,305.43,"2,829,538",300.18,308.58,296.12
03/03/2026,300.63,"1,994,773",296.36,304.47,295.51
03/02/2026,303.36,"2,801,523",297.78,304.77,296.1
02/27/2026,301.4,"3,534,996",288.74,301.9,285.14
02/26/2026,297.6,"3,286,151",304.99,305.97,292.89
02/25/2026,301.84,"2,947,586",294.5,302.7842,293.43
02/24/2026,290.63,"3,039,593",277.82,293.85,277.3
02/23/2026,279.8,"3,343,961",291.44,293.59,279.11
02/20/2026,296.28,"2,534,506",294.475,303.44,292.41
02/19/2026,296.59,"2,677,372",308.33,308.33,292.16
02/18/2026,305.01,"3,947,725",302.96,311.7,299.18
02/17/2026,283.46,"5,580,238",294.775,296.19,282.96
02/13/2026,299.46,"2,855,832",287.44,300.73,287.44
02/12/2026,288.33,"4,186,043",298.71,302.58,287.53
02/11/2026,299.65,"2,357,560",301.19,302.25,294.5
02/10/2026,299.0,"2,812,621",294.16,301.07,293.0
02/09/2026,291.0,"2,723,867",283.49,291.76,279.56
02/06/2026,283.52,"2,843,310",276.18,285.34,272.92
02/05/2026,270.14,"3,584,914",271.68,276.41,266.14
02/04/2026,271.42,"5,166,642",269.87,275.3,265.74
02/03/2026,268.5,"5,168,784",283.83,285.98,262.749
02/02/2026,289.19,"2,881,605",295.09,296.34,288.46
01/30/2026,296.36,"2,507,356",298.46,298.875,293.625
01/29/2026,302.67,"3,701,646",316.605,317.0,293.44
01/28/2026,320.49,"1,409,699",321.62,325.185,316.46
01/27/2026,318.37,"1,454,075",321.7,323.0,317.21
01/26/2026,322.02,"1,321,967",317.86,323.63,314.06
01/23/2026,318.32,"1,466,990",315.5,323.54,312.014
01/22/2026,317.09,"1,383,903",317.0,317.83,310.795
01/21/2026,313.84,"1,721,437",307.53,316.16,304.95
01/20/2026,307.0,"2,042,977",310.56,311.45,305.77
01/16/2026,317.45,"2,092,012",321.83,322.465,314.5
01/15/2026,320.6,"2,395,084",317.44,328.64,316.001
01/14/2026,313.17,"2,039,705",319.5,320.53,309.915
01/13/2026,323.06,"1,199,113",322.625,327.67,318.0
01/12/2026,325.51,"1,489,952",325.88,328.51,321.02
01/09/2026,327.31,"1,661,059",319.9,328.59,315.41
01/08/2026,318.8,"1,463,021",317.01,319.45,312.95
01/07/2026,320.54,"1,418,546",314.39,324.71,314.39
01/06/2026,314.64,"2,653,291",301.5,316.04,300.88
01/05/2026,301.22,"4,024,668",311.46,314.17,300.4
01/02/2026,310.4,"1,268,243",315.7,316.0,306.41
12/31/2025,312.58,"1,022,237",315.78,316.0,312.06
12/30/2025,315.6,"1,021,497",316.83,319.0,315.1388
12/29/2025,317.71,"990,990",317.85,321.685,316.585
