date,close,volume,open,high,low
05/15/2026,102.07,"2,195,897",102.08,104.39,101.03
05/14/2026,102.16,"2,753,253",100.6,102.89,99.54
05/13/2026,100.4,"2,589,835",100.985,102.25,97.34
05/12/2026,99.3,"4,056,806",103.4,103.68,97.12
05/11/2026,102.54,"3,248,719",103.86,105.13,101.51
05/08/2026,104.79,"2,688,465",109.64,110.15,104.41
05/07/2026,110.2,"4,067,282",109.51,113.58,108.31
05/06/2026,109.0,"6,330,470",127.5,128.3521,106.0
05/05/2026,136.8,"2,235,378",135.37,138.45,134.785
05/04/2026,135.3,"3,058,867",135.91,137.85,135.1
05/01/2026,136.03,"1,013,039",138.37,138.81,134.85
04/30/2026,136.91,"1,228,853",135.2,137.285,133.59
04/29/2026,135.56,"1,409,612",133.4,136.6,132.04
04/28/2026,132.92,"711,827",133.525,134.81,131.19
04/27/2026,133.11,"1,077,996",135.41,135.81,132.8
04/24/2026,135.32,"1,117,185",136.47,136.86,133.17
04/23/2026,136.47,"2,759,281",140.96,142.595,134.88
04/22/2026,142.44,"1,562,422",141.75,143.64,140.83
04/21/2026,141.41,"1,714,154",136.81,142.385,136.81
04/20/2026,136.85,"1,097,854",133.82,137.22,133.81
04/17/2026,133.96,"1,048,924",133.99,135.16,133.2025
04/16/2026,133.31,"1,695,579",130.45,133.68,130.255
04/15/2026,129.56,"1,015,874",130.04,130.94,128.28
04/14/2026,130.04,"987,480",132.22,133.8,129.77
04/13/2026,131.89,"1,737,255",125.36,132.36,125.25
04/10/2026,125.53,"1,461,642",127.09,128.595,125.38
04/09/2026,126.75,"1,529,925",125.45,127.35,125.31
04/08/2026,126.73,"1,730,025",125.85,127.8,125.665
04/07/2026,123.69,"1,475,511",123.47,125.2,122.82
04/06/2026,123.47,"1,072,703",122.01,123.745,121.785
04/02/2026,122.01,"934,723",121.22,124.19,120.155
04/01/2026,121.4,"2,502,203",121.4,122.385,120.58
03/31/2026,121.02,"1,256,723",119.03,121.935,117.1
03/30/2026,118.51,"1,273,638",118.72,119.9899,117.27
03/27/2026,118.17,"1,448,642",119.62,120.54,117.82
03/26/2026,121.18,"1,491,772",121.3,122.7294,120.49
03/25/2026,121.3,"1,510,974",122.23,123.09,118.835
03/24/2026,121.9,"1,402,973",118.86,122.52,118.815
03/23/2026,120.16,"1,801,105",122.945,123.18,119.3775
03/20/2026,120.27,"4,758,098",119.78,120.85,118.73
03/19/2026,119.65,"1,532,281",117.01,120.845,116.8789
03/18/2026,117.59,"1,363,956",116.77,118.61,116.295
03/17/2026,117.44,"978,027",119.14,120.84,117.3
03/16/2026,118.2,"1,270,632",117.12,118.67,115.325
03/13/2026,116.16,"1,531,126",114.8,116.77,113.39
03/12/2026,113.48,"2,174,229",118.8,120.43,112.98
03/11/2026,118.91,"1,027,213",119.24,120.295,117.2
03/10/2026,118.65,"1,121,718",121.52,122.66,117.0
03/09/2026,120.74,"1,374,570",120.585,121.43,118.16
03/06/2026,123.42,"1,387,701",122.13,124.98,120.8
03/05/2026,124.31,"1,293,561",124.54,127.29,123.55
03/04/2026,124.87,"1,619,805",124.97,125.84,121.51
03/03/2026,125.28,"2,133,570",121.62,126.07,118.59
03/02/2026,124.77,"1,687,943",121.11,124.99,118.9
02/27/2026,122.64,"1,600,934",121.52,122.85,118.44
02/26/2026,123.39,"1,568,245",122.79,125.71,122.775
02/25/2026,121.58,"2,440,161",125.37,125.79,120.35
02/24/2026,125.53,"2,029,413",123.25,129.69,123.13
02/23/2026,123.13,"1,348,973",124.64,125.94,120.0
02/20/2026,124.64,"1,772,859",122.98,126.05,120.72
02/19/2026,124.17,"2,022,466",123.88,125.135,119.83
02/18/2026,124.29,"2,245,061",124.96,126.06,123.009
02/17/2026,125.145,"1,802,608",127.49,128.28,123.58
02/13/2026,126.86,"2,126,594",127.74,129.84,126.49
02/12/2026,126.83,"3,488,216",134.97,134.9761,120.52
02/11/2026,134.97,"2,253,862",143.39,143.39,134.535
02/10/2026,142.85,"1,546,877",143.5,144.455,141.48
02/09/2026,143.44,"1,298,770",141.16,144.01,140.595
02/06/2026,142.62,"1,688,987",140.55,142.72,139.77
02/05/2026,140.77,"2,217,783",137.73,140.9,135.75
02/04/2026,138.08,"3,047,591",133.5,140.56,129.67
02/03/2026,126.16,"2,889,064",125.46,127.59,124.08
02/02/2026,126.83,"2,210,582",126.13,128.32,125.43
01/30/2026,126.39,"1,740,192",124.99,127.0,124.058
01/29/2026,125.2,"1,558,843",124.67,125.56,123.13
01/28/2026,124.72,"1,326,681",125.44,125.905,123.085
01/27/2026,125.4,"1,544,975",127.4,127.41,124.655
01/26/2026,127.4,"1,537,334",125.99,128.46,125.19
01/23/2026,126.0,"1,758,285",127.75,127.95,125.73
01/22/2026,129.31,"1,353,716",128.42,130.4,127.65
01/21/2026,127.62,"1,816,013",125.62,128.4565,124.0
01/20/2026,124.76,"2,067,698",126.74,128.9,124.0793
01/16/2026,131.75,"1,495,506",132.49,133.15,131.45
01/15/2026,132.29,"2,564,453",133.06,134.02,130.44
01/14/2026,132.16,"958,619",134.6,136.03,131.91
01/13/2026,134.6,"1,054,658",134.29,136.09,133.51
01/12/2026,133.5,"948,764",132.86,134.3199,132.1998
01/09/2026,133.49,"882,700",132.73,133.975,130.73
01/08/2026,132.53,"2,080,226",128.36,133.5,126.93
01/07/2026,129.54,"1,512,461",134.75,134.98,128.78
01/06/2026,134.34,"1,535,829",133.34,135.42,133.08
01/05/2026,133.61,"1,446,648",133.16,135.85,133.0
01/02/2026,133.16,"1,330,628",137.2,137.8846,132.975
12/31/2025,136.2,"903,987",138.39,138.8275,136.08
12/30/2025,138.39,"1,133,021",138.17,139.08,137.0
12/29/2025,138.61,"1,150,152",139.87,140.45,138.09
12/26/2025,139.71,"740,201",138.085,139.95,138.01
12/24/2025,138.71,"620,883",138.46,139.786,137.78
12/23/2025,138.14,"1,207,316",139.6,140.45,137.78
12/22/2025,139.505,"1,707,793",140.22,142.12,139.23
12/19/2025,140.65,"13,516,710",142.63,143.82,138.37
12/18/2025,143.08,"2,118,729",145.04,146.145,141.48
12/17/2025,143.69,"2,015,000",144.88,146.08,142.41
12/16/2025,145.02,"1,472,257",145.28,146.55,144.2601
12/15/2025,144.88,"1,607,728",146.44,146.44,142.99
12/12/2025,144.93,"1,522,118",150.09,150.61,144.52
12/11/2025,149.86,"1,200,958",148.59,150.0,146.82
12/10/2025,149.54,"1,402,486",147.49,150.34,145.6
12/09/2025,147.13,"1,112,558",145.23,147.93,145.04
12/08/2025,145.94,"1,574,506",146.12,146.9,144.27
12/05/2025,146.25,"1,262,405",144.52,147.02,142.5
12/04/2025,144.54,"1,420,502",143.62,145.44,142.43
12/03/2025,143.68,"965,610",142.99,145.16,142.42
12/02/2025,144.16,"932,726",143.44,144.795,141.925
12/01/2025,143.03,"1,160,677",143.46,145.035,142.23
11/28/2025,144.22,"541,463",144.23,145.08,142.47
11/26/2025,144.4,"1,143,826",143.23,145.385,142.39
11/25/2025,143.23,"1,164,019",143.87,144.97,142.3
11/24/2025,141.92,"1,731,264",140.9,142.47,139.465
11/21/2025,140.2,"2,063,062",136.62,142.41,135.63
11/20/2025,136.64,"1,427,319",141.66,142.15,135.92
11/19/2025,139.71,"1,054,690",139.49,140.44,138.08
11/18/2025,139.81,"1,225,199",140.04,141.76,138.69
