date,close,volume,open,high,low
05/15/2026,125.24,"2,793,700",124.2,126.46,123.24
05/14/2026,122.97,"2,315,869",124.27,125.47,121.53
05/13/2026,125.5,"3,036,033",129.25,130.02,125.08
05/12/2026,130.39,"3,628,182",125.87,130.43,123.45
05/11/2026,124.48,"2,808,638",117.01,124.8,116.04
05/08/2026,115.02,"3,068,944",118.41,119.619,114.75
05/07/2026,118.68,"5,444,468",114.1,119.605,113.31
05/06/2026,119.76,"5,379,715",122.085,123.3,119.36
05/05/2026,128.04,"2,811,621",126.0,129.0,125.5414
05/04/2026,125.89,"2,679,379",124.0,127.5661,121.27
05/01/2026,122.69,"2,157,495",123.95,125.68,120.95
04/30/2026,124.2,"3,698,540",125.49,127.63,123.54
04/29/2026,126.78,"2,511,777",124.08,127.31,123.1136
04/28/2026,122.31,"2,065,869",125.75,126.77,121.82
04/27/2026,123.63,"2,209,321",122.42,123.89,120.175
04/24/2026,120.93,"2,843,363",124.34,125.0,120.5
04/23/2026,125.59,"3,607,630",124.3,127.49,121.6032
04/22/2026,122.46,"2,604,303",121.19,122.61,119.54
04/21/2026,121.31,"3,177,046",115.64,122.47,115.6
04/20/2026,115.94,"3,534,738",114.09,116.95,112.7
04/17/2026,112.68,"6,855,817",114.0,114.8,109.71
04/16/2026,124.71,"2,620,946",120.43,124.77,120.4
04/15/2026,120.81,"2,517,483",120.05,120.83,118.9
04/14/2026,118.96,"3,413,605",119.9,120.4,116.39
04/13/2026,121.68,"3,650,924",124.72,126.2499,120.8052
04/10/2026,121.32,"3,708,942",118.8,121.71,117.81
04/09/2026,119.38,"5,843,253",128.09,128.88,118.21
04/08/2026,126.16,"7,368,929",114.115,126.18,110.47
04/07/2026,133.78,"4,480,241",134.91,139.445,132.25
04/06/2026,130.98,"2,420,346",130.115,134.375,130.115
04/02/2026,129.97,"4,833,497",134.75,135.7513,128.9
04/01/2026,127.98,"5,571,832",127.45,129.65,124.5
03/31/2026,129.84,"7,054,002",135.91,137.31,126.43
03/30/2026,137.6,"6,010,783",137.99,141.96,135.68
03/27/2026,136.45,"3,834,419",133.08,136.58,131.15
03/26/2026,132.56,"3,937,775",130.12,132.81,129.53
03/25/2026,128.11,"3,715,075",125.57,128.96,125.0
03/24/2026,126.92,"5,602,695",122.665,128.13,122.27
03/23/2026,120.18,"8,624,264",115.22,121.535,115.22
03/20/2026,124.9,"16,466,730",125.55,130.1,123.71
03/19/2026,125.56,"6,487,665",128.67,131.5,125.0
03/18/2026,126.73,"7,466,963",127.02,127.985,120.11
03/17/2026,123.29,"5,329,699",123.575,127.4599,122.45
03/16/2026,122.33,"7,658,791",123.93,126.9899,121.02
03/13/2026,129.57,"7,694,329",132.1,133.375,125.03
03/12/2026,136.0,"14,110,400",128.02,137.44,126.59
03/11/2026,120.13,"6,385,229",113.32,120.5,112.5
03/10/2026,110.05,"7,349,553",110.2,112.67,106.71
