date,close,volume,open,high,low
05/15/2026,163.59,"2,785,131",162.81,166.72,162.045
05/14/2026,159.78,"5,015,933",164.84,165.18,150.395
05/13/2026,163.26,"1,209,996",166.775,167.74,163.14
05/12/2026,167.21,"1,355,241",169.21,170.05,163.61
05/11/2026,169.98,"1,283,119",171.56,172.25,169.27
05/08/2026,171.39,"1,060,803",171.37,172.26,168.32
05/07/2026,171.37,"1,760,656",168.59,172.055,167.57
05/06/2026,168.59,"1,457,404",165.515,169.75,165.515
05/05/2026,167.13,"2,027,636",163.23,167.68,162.0201
05/04/2026,161.24,"5,267,326",171.57,172.255,159.12
05/01/2026,177.3,"1,517,899",185.19,185.67,176.99
04/30/2026,181.81,"3,423,378",189.3,190.0,179.5111
04/29/2026,186.43,"1,902,452",187.45,190.05,185.54
04/28/2026,187.96,"2,606,812",188.41,190.1481,186.78
04/27/2026,188.415,"2,144,248",183.335,189.04,182.3524
04/24/2026,183.03,"1,015,386",183.0,183.78,180.305
04/23/2026,183.74,"1,526,532",184.025,185.04,182.05
04/22/2026,182.35,"1,341,495",183.99,185.72,181.78
04/21/2026,183.64,"1,443,188",183.25,185.25,180.1
04/20/2026,183.95,"2,403,490",180.08,184.64,177.5
04/17/2026,182.24,"3,901,594",182.29,187.09,181.31
04/16/2026,181.61,"3,711,515",168.08,183.25,168.08
04/15/2026,168.08,"1,228,702",168.51,168.98,166.96
04/14/2026,168.51,"1,581,887",164.73,168.57,163.8
04/13/2026,164.92,"1,837,428",162.94,165.1,159.96
04/10/2026,163.49,"2,024,882",169.73,171.52,163.16
04/09/2026,170.2,"1,467,209",172.42,174.89,168.68
04/08/2026,172.42,"1,593,489",166.35,172.74,166.35
04/07/2026,166.1,"1,647,223",168.13,169.07,164.57
04/06/2026,169.01,"796,967",167.9,169.21,166.585
04/02/2026,167.84,"1,009,684",165.47,170.0,165.18
04/01/2026,168.5,"1,468,990",167.7,170.78,166.58
03/31/2026,166.07,"1,553,165",163.34,168.24,162.89
03/30/2026,161.92,"1,389,329",163.99,164.48,160.4454
03/27/2026,161.57,"1,877,939",166.93,167.185,160.925
03/26/2026,167.66,"1,014,389",168.33,171.01,167.58
03/25/2026,169.74,"1,707,478",169.94,172.85,167.65
03/24/2026,169.2,"1,224,911",166.84,172.985,165.92
03/23/2026,166.84,"1,265,149",171.56,174.22,166.685
03/20/2026,168.88,"2,788,833",173.54,175.015,166.65
03/19/2026,174.81,"1,520,603",169.29,175.735,168.123
03/18/2026,170.64,"1,261,409",171.07,171.81,169.88
03/17/2026,171.72,"986,146",172.1,173.9999,171.045
03/16/2026,170.48,"1,297,221",171.75,173.51,170.425
03/13/2026,169.39,"1,613,042",173.62,175.1,168.01
03/12/2026,171.86,"1,729,129",173.41,175.54,170.92
03/11/2026,175.78,"1,125,924",175.89,178.87,175.46
03/10/2026,175.86,"1,767,921",181.55,181.95,175.73
03/09/2026,181.94,"1,431,232",177.58,182.06,174.41
03/06/2026,179.64,"1,723,214",180.2,184.0,177.74
03/05/2026,184.81,"1,622,472",187.5,191.0,181.71
03/04/2026,189.87,"1,528,543",193.52,194.54,186.51
03/03/2026,193.32,"2,323,566",184.0,194.26,183.27
03/02/2026,187.24,"2,645,868",184.09,190.31,184.0
02/27/2026,185.25,"1,944,977",182.61,185.62,181.48
02/26/2026,184.08,"1,986,053",176.18,185.15,175.34
02/25/2026,175.91,"2,166,285",179.49,180.62,173.115
02/24/2026,177.35,"1,825,208",177.42,178.37,172.61
02/23/2026,177.2,"2,100,954",188.65,189.94,177.0
02/20/2026,190.06,"2,327,329",185.14,190.77,183.26
02/19/2026,185.19,"2,469,954",185.5,187.27,183.75
02/18/2026,185.86,"2,970,103",176.37,186.255,176.0325
02/17/2026,177.38,"3,558,457",179.19,182.87,177.0801
02/13/2026,176.01,"6,397,697",171.89,180.18,167.84
02/12/2026,167.78,"16,431,920",196.63,196.84,149.36
02/11/2026,196.33,"1,726,416",197.7,200.525,196.07
02/10/2026,196.61,"1,733,540",199.5,200.99,195.475
02/09/2026,200.31,"1,681,621",201.3,203.24,199.365
02/06/2026,200.59,"2,531,781",198.68,203.34,197.54
02/05/2026,197.44,"2,129,603",197.73,199.63,195.7
02/04/2026,198.74,"2,866,448",201.62,202.06,193.38
02/03/2026,199.71,"3,120,751",199.0,202.795,198.94
02/02/2026,198.5,"2,942,581",194.2,198.82,193.875
01/30/2026,194.95,"4,240,344",191.92,195.82,189.81
01/29/2026,193.72,"5,005,789",192.85,200.325,186.24
01/28/2026,184.28,"3,111,261",180.19,184.87,179.8
01/27/2026,180.425,"2,269,819",178.82,181.14,175.4399
01/26/2026,178.11,"1,444,530",176.9,178.38,175.75
01/23/2026,176.66,"1,569,901",179.01,179.77,175.53
01/22/2026,177.9,"1,551,089",179.68,179.905,177.19
01/21/2026,179.38,"1,290,777",175.77,180.21,175.5
01/20/2026,175.1,"1,784,145",174.41,178.13,172.168
01/16/2026,175.77,"2,071,992",174.73,176.17,173.22
01/15/2026,175.33,"1,638,922",173.51,175.445,171.59
01/14/2026,172.31,"1,561,566",172.84,173.98,171.5
01/13/2026,173.42,"1,451,437",172.25,174.25,171.845
01/12/2026,172.54,"1,200,237",169.21,172.88,168.76
01/09/2026,170.77,"2,164,376",166.13,170.81,166.13
01/08/2026,166.01,"2,316,252",165.85,168.32,165.51
01/07/2026,166.73,"3,887,934",167.48,167.6,161.95
01/06/2026,167.66,"1,205,244",166.98,168.17,165.795
01/05/2026,167.21,"1,395,700",163.875,167.57,163.2901
01/02/2026,163.72,"1,057,993",161.37,164.0,160.0101
12/31/2025,160.76,"847,624",161.91,161.93,160.53
12/30/2025,161.96,"529,967",163.39,163.46,161.82
12/29/2025,163.94,"872,106",164.49,165.09,163.09
12/26/2025,164.625,"453,840",164.41,165.33,163.8001
12/24/2025,164.95,"428,115",165.28,166.06,164.69
12/23/2025,164.59,"1,245,677",164.99,166.12,163.87
12/22/2025,164.99,"1,443,879",166.81,167.9,163.95
