date,close,volume,open,high,low
05/14/2026,148.0,"3,752,529",144.2,155.37,144.0
05/13/2026,143.06,"3,944,154",146.42,146.82,141.765
05/12/2026,147.92,"2,546,624",149.82,150.455,146.0
05/11/2026,147.79,"3,535,302",153.745,154.02,146.46
05/08/2026,154.86,"3,089,654",160.0,161.5,154.7
05/07/2026,160.24,"2,231,989",156.0,163.2,156.0
05/06/2026,156.52,"2,951,371",158.6,162.0,156.14
05/05/2026,158.23,"2,923,043",165.33,165.34,157.26
05/04/2026,165.34,"2,909,969",171.85,175.05,165.15
05/01/2026,171.74,"4,041,988",166.42,174.295,166.01
04/30/2026,165.17,"6,130,887",158.75,168.0,158.0
04/29/2026,158.65,"5,615,974",174.4,174.79,158.42
04/28/2026,173.11,"4,775,694",176.02,178.55,170.77
04/27/2026,174.61,"6,206,773",178.91,183.9999,171.97
04/24/2026,180.13,"13,325,310",233.0,234.7099,178.0
04/23/2026,241.78,"3,609,941",249.345,254.11,241.41
04/22/2026,242.49,"1,612,894",242.29,245.82,241.39
04/21/2026,241.95,"1,929,877",246.02,248.66,241.35
04/20/2026,244.69,"2,188,388",236.77,249.32,236.7
04/17/2026,236.62,"1,778,344",236.0,241.5,234.225
04/16/2026,235.97,"2,058,857",220.7,235.99,220.085
04/15/2026,220.29,"2,028,170",216.04,223.85,215.0
04/14/2026,215.57,"2,429,115",224.76,227.299,215.01
04/13/2026,226.3,"1,858,857",218.59,227.73,216.0
04/10/2026,218.82,"1,364,608",224.66,226.0,218.11
04/09/2026,223.23,"1,304,289",221.21,225.41,217.78
04/08/2026,221.63,"1,367,120",226.66,226.79,219.65
04/07/2026,223.8,"1,045,707",220.23,224.92,216.76
04/06/2026,219.98,"869,233",219.5,224.4099,217.2906
04/02/2026,219.79,"1,471,214",216.46,221.32,211.61
04/01/2026,216.27,"1,981,713",213.17,217.5,208.52
03/31/2026,215.88,"5,733,771",221.65,224.743,211.44
03/30/2026,220.94,"2,044,370",219.51,224.94,217.53
03/27/2026,219.14,"1,291,672",218.51,220.39,214.43
03/26/2026,218.51,"1,259,639",218.7,221.76,215.3
03/25/2026,218.91,"1,144,877",219.725,222.61,212.96
03/24/2026,217.6,"1,003,989",215.67,220.87,215.5
03/23/2026,216.61,"1,298,470",217.075,219.22,212.37
03/20/2026,213.01,"2,645,257",210.66,216.44,209.0
03/19/2026,211.63,"1,273,066",209.165,216.105,208.35
03/18/2026,209.0,"1,818,732",220.04,221.755,208.3288
03/17/2026,222.52,"1,137,624",220.18,227.29,220.065
03/16/2026,217.65,"1,192,992",219.0,220.23,214.895
03/13/2026,218.19,"1,024,596",217.6,218.86,215.175
03/12/2026,215.08,"1,490,142",222.76,227.5,214.905
03/11/2026,224.36,"1,684,360",219.33,228.1,219.105
03/10/2026,219.33,"1,889,880",222.23,222.78,216.9216
03/09/2026,222.81,"1,716,747",229.24,229.72,221.53
03/06/2026,232.24,"1,524,621",228.87,234.55,227.5
03/05/2026,229.94,"1,657,785",229.96,236.6,228.965
03/04/2026,232.0,"1,272,023",229.29,232.97,226.02
03/03/2026,229.41,"1,312,913",225.99,233.73,225.99
03/02/2026,232.8,"1,517,586",231.46,234.79,227.32
02/27/2026,234.63,"2,144,382",228.325,237.83,225.685
02/26/2026,228.38,"1,314,220",226.48,230.43,226.22
02/25/2026,225.75,"1,290,513",231.64,233.4312,225.0
02/24/2026,231.85,"1,165,129",227.52,234.27,226.19
02/23/2026,227.52,"1,307,435",229.35,232.05,223.0
02/20/2026,230.16,"1,576,329",231.95,233.72,226.15
02/19/2026,231.54,"1,456,006",238.05,241.22,230.36
02/18/2026,239.14,"1,286,169",236.48,241.15,236.03
02/17/2026,237.01,"1,343,896",238.54,241.12,234.27
02/13/2026,239.09,"1,699,721",238.98,242.04,236.545
02/12/2026,238.08,"1,713,419",242.82,243.89,234.95
02/11/2026,241.07,"2,383,988",247.17,248.99,239.45
02/10/2026,248.19,"2,683,301",240.21,249.24,238.78
02/09/2026,238.25,"2,145,589",231.14,238.65,227.0
02/06/2026,231.14,"3,346,111",223.53,231.49,223.53
02/05/2026,223.53,"2,295,583",223.12,226.0275,219.6
02/04/2026,224.18,"3,714,841",215.56,227.33,214.82
02/03/2026,212.74,"2,356,695",209.92,217.6,208.35
02/02/2026,213.61,"2,906,301",208.84,216.1,204.0
01/30/2026,206.12,"7,196,456",204.12,214.84,199.13
01/29/2026,191.52,"3,762,671",180.96,192.19,180.38
01/28/2026,182.81,"2,474,196",183.18,188.71,182.04
01/27/2026,182.99,"2,199,227",192.33,192.785,182.54
01/26/2026,193.79,"1,609,075",191.9,194.73,190.68
01/23/2026,191.69,"1,423,566",191.81,192.19,188.325
01/22/2026,192.67,"1,801,422",188.81,194.53,187.69
01/21/2026,187.37,"2,395,912",184.38,189.04,183.7454
01/20/2026,184.2,"2,218,233",186.5,189.68,183.98
01/16/2026,189.76,"2,292,302",194.65,195.68,187.85
01/15/2026,194.61,"2,116,181",201.45,202.0,194.06
01/14/2026,202.34,"1,242,462",197.667,204.625,196.24
01/13/2026,197.89,"1,990,134",203.97,205.21,197.45
01/12/2026,206.67,"1,191,540",208.81,211.15,205.445
01/09/2026,210.59,"1,461,307",210.15,212.3399,202.56
01/08/2026,209.71,"1,858,411",204.05,212.945,202.18
