date,close,volume,open,high,low
05/15/2026,554.46,"2,423,358",570.65,574.195,553.3
05/14/2026,591.57,"1,121,895",577.9,591.57,566.0
05/13/2026,577.9,"1,272,676",594.0,598.84,562.5
05/12/2026,577.15,"1,603,667",567.78,582.0,546.975
05/11/2026,581.47,"2,380,716",558.0,593.0,550.49
05/08/2026,548.11,"1,501,585",549.0,564.83,538.77
05/07/2026,538.76,"3,546,930",564.39,569.0,515.49
05/06/2026,576.79,"2,244,799",563.0,583.775,550.06
05/05/2026,544.75,"1,632,380",553.63,562.0,539.43
05/04/2026,538.51,"1,198,633",540.0,548.2,528.3643
05/01/2026,535.29,"1,733,825",527.25,550.0,518.58
04/30/2026,527.58,"2,665,450",487.97,529.89,486.25
04/29/2026,475.39,"1,830,424",480.14,482.54,468.31
04/28/2026,473.69,"3,103,069",485.0,493.309,461.07
04/27/2026,506.34,"1,684,236",515.82,516.34,485.0
04/24/2026,520.8,"1,418,284",514.82,527.5,505.55
04/23/2026,515.85,"2,281,939",505.0,527.86,497.0901
04/22/2026,498.97,"2,778,042",511.5,518.15,467.19
04/21/2026,505.93,"1,805,652",507.77,522.4999,493.54
04/20/2026,503.27,"1,963,473",512.0,517.88,497.62
04/17/2026,507.43,"1,926,270",500.47,513.83,495.17
04/16/2026,495.17,"2,298,719",476.75,495.4,462.0001
04/15/2026,475.76,"3,041,125",471.78,481.28,454.34
04/14/2026,467.19,"3,429,530",486.75,487.74,458.01
04/13/2026,479.9,"3,048,391",493.44,494.6,472.3217
04/10/2026,496.02,"2,498,395",498.11,508.64,475.22
04/09/2026,487.38,"3,280,367",498.91,513.4899,473.725
04/08/2026,494.01,"4,110,400",475.5,499.39,471.6601
04/07/2026,447.88,"1,969,528",435.28,449.34,421.3
04/06/2026,434.26,"1,939,070",455.45,459.8,432.77
04/02/2026,447.76,"3,617,746",400.98,453.0,400.0
04/01/2026,415.39,"2,677,105",401.71,421.99,399.82
03/31/2026,388.23,"3,020,976",373.77,388.72,364.16
03/30/2026,365.0,"3,512,374",411.0,414.75,361.7
03/27/2026,401.61,"2,518,013",394.82,411.5,391.36
03/26/2026,387.99,"3,719,886",428.47,428.735,387.4
03/25/2026,437.7,"2,670,787",431.505,446.8899,423.88
03/24/2026,429.38,"3,382,007",405.0,434.22,405.0
03/23/2026,407.9,"3,544,005",399.4,415.57,393.955
03/20/2026,383.89,"5,809,564",416.0,419.8,380.11
03/19/2026,412.58,"3,934,558",373.12,416.76,371.0
03/18/2026,385.26,"4,159,451",376.0,402.17,376.0
03/17/2026,370.05,"3,263,987",358.31,379.42,350.36
03/16/2026,363.88,"3,759,723",345.0,367.45,344.99
03/13/2026,337.38,"2,425,790",339.22,353.2499,334.5001
03/12/2026,336.83,"2,641,061",344.26,350.33,329.41
03/11/2026,339.95,"2,063,731",333.89,346.06,329.58
03/10/2026,337.36,"3,020,891",325.0,349.7715,325.0
03/09/2026,318.54,"3,070,255",289.49,319.29,287.25
03/06/2026,294.17,"3,924,162",294.81,315.84,293.11
03/05/2026,299.3,"7,851,824",312.01,315.4999,278.39
03/04/2026,343.55,"2,708,630",339.19,353.7799,335.0
03/03/2026,333.07,"3,014,089",339.57,340.69,320.315
03/02/2026,353.73,"2,527,510",353.76,364.05,345.06
02/27/2026,348.7,"3,083,021",340.66,353.57,337.11
02/26/2026,341.16,"2,612,883",354.59,358.63,326.7603
02/25/2026,353.33,"2,348,344",345.99,365.9,345.681
02/24/2026,342.7,"2,270,180",341.0,348.28,334.91
02/23/2026,344.84,"2,197,402",332.86,346.55,330.2
02/20/2026,334.95,"2,527,668",317.04,340.27,314.69
02/19/2026,318.41,"2,389,495",308.88,320.42,303.55
02/18/2026,310.96,"2,223,837",302.72,317.28,299.96
02/17/2026,302.33,"2,182,171",297.91,307.63,286.81
02/13/2026,303.92,"3,088,177",293.83,304.18,270.0
02/12/2026,292.96,"2,871,527",300.0,305.0,284.15
02/11/2026,297.25,"3,525,878",307.28,308.81,286.5484
02/10/2026,298.7,"2,274,468",288.08,298.99,280.04
02/09/2026,289.68,"4,303,788",270.7,297.0099,266.61
