date,close,volume,open,high,low
05/15/2026,166.42,"848,216",166.35,167.66,165.27
05/14/2026,165.31,"630,458",163.84,165.55,163.84
05/13/2026,163.26,"708,461",163.79,165.18,161.74
05/12/2026,163.79,"732,838",163.75,165.26,162.66
05/11/2026,163.33,"839,577",161.74,163.54,161.2818
05/08/2026,161.5,"664,353",161.44,162.78,160.98
05/07/2026,162.05,"777,218",159.92,162.41,159.5
05/06/2026,160.43,"588,635",160.89,163.16,160.32
05/05/2026,160.35,"456,009",159.39,160.96,158.795
05/04/2026,159.57,"472,756",160.78,162.9499,159.08
05/01/2026,162.05,"579,712",164.56,165.105,161.98
04/30/2026,163.6,"863,937",162.11,164.66,161.0
04/29/2026,163.22,"495,143",164.96,166.1,161.74
04/28/2026,164.96,"1,014,835",163.16,167.66,162.408
04/27/2026,165.64,"907,669",163.63,167.18,163.63
04/24/2026,164.48,"619,139",167.2,167.24,164.4
04/23/2026,168.18,"566,498",166.91,168.78,166.255
04/22/2026,166.27,"612,999",166.15,166.5,163.665
04/21/2026,166.46,"640,755",166.44,167.73,164.9
04/20/2026,165.99,"524,380",166.71,168.69,165.27
04/17/2026,166.82,"2,809,744",163.39,167.625,163.25
04/16/2026,163.36,"559,417",163.0,163.82,161.82
04/15/2026,163.0,"556,350",163.1,164.26,161.85
04/14/2026,163.35,"649,612",163.24,164.09,162.215
04/13/2026,163.68,"698,199",161.75,163.985,161.21
04/10/2026,161.14,"670,635",163.45,163.6,160.75
04/09/2026,163.95,"615,423",162.76,165.64,162.615
04/08/2026,163.25,"657,326",160.3,163.36,160.145
04/07/2026,160.18,"621,722",160.04,161.28,158.75
04/06/2026,160.04,"360,893",157.92,160.089,157.5701
04/02/2026,158.41,"543,098",157.11,159.86,156.55
04/01/2026,157.66,"596,977",157.09,158.74,156.46
03/31/2026,157.35,"718,996",158.17,158.55,155.14
03/30/2026,156.42,"450,472",153.95,157.14,153.95
03/27/2026,153.68,"518,711",157.06,157.3,153.4
03/26/2026,157.555,"485,354",155.18,157.59,155.18
03/25/2026,155.45,"581,071",159.22,159.575,155.41
03/24/2026,158.27,"468,375",158.47,160.57,158.21
03/23/2026,160.19,"737,004",160.81,162.23,159.82
03/20/2026,158.43,"4,145,114",157.81,158.85,156.645
03/19/2026,157.86,"554,829",160.46,160.96,156.78
03/18/2026,160.2,"493,610",164.09,164.73,160.08
03/17/2026,164.77,"611,197",167.98,168.905,164.72
03/16/2026,166.57,"610,454",165.01,168.48,164.49
03/13/2026,163.82,"891,040",165.89,166.5748,163.79
03/12/2026,164.23,"809,243",162.35,166.06,162.0
03/11/2026,164.0,"889,004",164.32,165.0999,162.74
03/10/2026,164.73,"857,873",162.73,166.15,162.1
03/09/2026,163.32,"1,004,621",164.34,164.34,160.475
03/06/2026,165.39,"726,220",164.67,165.58,162.27
03/05/2026,166.34,"944,509",166.7,167.74,166.26
03/04/2026,167.97,"583,316",168.27,169.14,165.06
03/03/2026,168.53,"751,812",167.18,169.27,164.875
03/02/2026,169.98,"1,136,995",164.32,170.1,164.21
02/27/2026,163.98,"1,054,601",165.28,165.28,161.57
02/26/2026,165.2,"499,939",163.83,165.53,163.83
02/25/2026,163.75,"607,561",160.89,164.09,160.35
02/24/2026,160.73,"1,182,519",160.49,161.7,159.27
02/23/2026,160.91,"1,063,376",163.91,164.9,160.66
02/20/2026,163.0,"1,257,769",163.13,163.6,160.38
02/19/2026,162.4,"444,076",163.33,164.36,161.77
02/18/2026,163.25,"423,829",165.56,166.01,162.37
02/17/2026,166.07,"760,960",164.08,167.14,163.331
02/13/2026,162.77,"920,151",163.78,164.9,162.055
02/12/2026,165.11,"729,084",163.76,165.89,162.1291
02/11/2026,163.46,"762,252",162.88,164.55,161.68
02/10/2026,163.09,"1,262,088",164.42,167.11,158.91
02/09/2026,168.7,"797,392",173.74,174.0,167.82
02/06/2026,172.65,"593,545",172.5,174.27,172.27
02/05/2026,171.5,"751,951",169.54,172.73,169.49
02/04/2026,168.95,"715,711",164.95,169.82,164.83
02/03/2026,163.84,"600,622",161.93,165.13,161.08
02/02/2026,162.48,"736,783",161.56,162.86,160.91
01/30/2026,160.89,"1,075,507",158.19,161.11,156.77
01/29/2026,158.19,"1,361,806",159.44,161.09,157.73
01/28/2026,158.4,"527,631",157.31,159.35,156.365
01/27/2026,157.86,"494,684",157.645,158.1,155.72
01/26/2026,157.98,"725,392",157.92,159.635,157.42
01/23/2026,157.03,"590,610",157.06,157.89,155.14
01/22/2026,158.15,"794,480",161.57,161.57,157.56
01/21/2026,161.78,"523,383",160.98,162.75,160.5
