date,close,volume,open,high,low
05/15/2026,88.13,"4,862,412",89.72,89.83,88.11
05/14/2026,88.84,"5,607,919",88.1,89.49,88.0
05/13/2026,87.87,"5,590,963",86.92,87.955,86.31
05/12/2026,87.44,"4,995,092",87.13,88.82,86.81
05/11/2026,86.74,"4,398,431",87.39,87.39,85.965
05/08/2026,87.55,"4,435,382",87.67,88.57,87.21
05/07/2026,87.36,"5,012,868",88.18,88.18,86.63
05/06/2026,88.16,"5,768,219",87.49,89.065,87.24
05/05/2026,86.33,"5,109,769",85.36,87.33,84.0788
05/04/2026,85.37,"4,628,077",85.91,86.4,84.8122
05/01/2026,87.26,"8,933,072",88.17,89.34,86.7
04/30/2026,85.36,"7,495,446",84.86,85.79,84.66
04/29/2026,84.49,"4,280,477",85.14,85.49,84.12
04/28/2026,85.67,"5,568,875",85.26,86.33,84.6473
04/27/2026,84.17,"4,414,190",84.26,85.3,83.86
04/24/2026,84.65,"5,604,096",84.56,85.085,84.16
04/23/2026,83.72,"5,358,830",82.7,84.13,82.41
04/22/2026,82.35,"4,342,927",82.19,82.71,81.82
04/21/2026,81.81,"5,367,391",84.12,84.145,81.79
04/20/2026,83.53,"5,106,979",84.62,84.75,83.015
04/17/2026,85.81,"6,406,289",83.695,86.3,83.67
04/16/2026,83.62,"4,323,653",83.26,84.31,83.16
04/15/2026,83.49,"5,064,021",84.0,84.36,82.6
04/14/2026,84.16,"7,860,308",83.34,84.61,83.2774
04/13/2026,83.98,"4,704,791",84.1,84.29,83.03
04/10/2026,84.34,"3,738,282",85.95,86.22,84.215
04/09/2026,86.04,"4,699,941",84.72,86.4,84.46
04/08/2026,85.55,"5,845,492",83.75,85.61,83.705
04/07/2026,83.13,"6,023,916",84.53,84.76,83.07
04/06/2026,84.53,"3,513,647",85.175,85.46,84.38
04/02/2026,85.14,"5,588,885",85.22,85.47,84.4341
04/01/2026,85.41,"5,237,183",84.79,85.95,84.59
03/31/2026,85.23,"6,771,629",85.73,86.05,83.5032
03/30/2026,85.73,"10,043,840",85.52,86.67,84.41
03/27/2026,84.29,"6,808,408",84.27,85.53,83.925
03/26/2026,84.14,"4,889,787",85.62,86.215,84.02
03/25/2026,85.49,"6,003,816",85.25,85.51,83.95
03/24/2026,84.53,"5,472,254",84.58,85.79,84.35
03/23/2026,85.15,"7,342,214",86.45,86.6,84.89
03/20/2026,85.12,"12,313,740",86.025,86.145,84.07
03/19/2026,85.5,"7,620,973",87.38,87.74,85.46
03/18/2026,87.52,"6,304,798",88.81,88.96,87.455
03/17/2026,89.94,"5,236,757",90.65,91.48,89.655
03/16/2026,90.3,"5,433,240",89.61,90.71,89.2
03/13/2026,88.84,"5,707,634",89.09,89.3,87.95
03/12/2026,87.95,"7,912,874",89.13,89.81,87.89
03/11/2026,89.61,"7,662,176",91.88,92.12,89.22
03/10/2026,92.49,"5,869,188",92.42,93.475,91.48
03/09/2026,93.0,"7,808,775",92.69,93.62,92.01
03/06/2026,93.56,"6,785,078",92.15,93.6,91.42
03/05/2026,92.67,"6,778,939",94.91,94.97,92.48
03/04/2026,95.28,"5,796,570",95.62,96.02,95.05
03/03/2026,95.51,"7,507,249",96.55,97.0,94.57
03/02/2026,97.3,"6,273,718",98.56,98.82,96.775
02/27/2026,99.14,"6,096,409",97.42,99.33,97.415
02/26/2026,97.55,"5,800,343",97.16,97.55,96.54
02/25/2026,96.67,"5,653,767",97.5,98.07,96.105
02/24/2026,98.11,"5,419,954",97.3,98.2,96.4
02/23/2026,97.1,"5,635,951",95.0,97.62,94.93
02/20/2026,95.09,"6,561,052",94.3,95.11,93.393
02/19/2026,93.98,"6,599,527",95.79,96.08,93.63
02/18/2026,95.58,"5,617,041",95.29,95.9299,95.0
