date,close,volume,open,high,low
05/15/2026,90.45,"1,933,806",91.88,92.0085,90.11
05/14/2026,91.17,"1,927,495",92.84,93.19,91.01
05/13/2026,92.0,"3,421,138",88.65,92.47,88.5
05/12/2026,89.11,"2,589,609",89.46,90.53,88.48
05/11/2026,88.9,"3,138,052",92.0,92.3899,88.67
05/08/2026,92.16,"3,310,904",92.17,93.425,91.21
05/07/2026,92.11,"3,876,888",90.05,93.455,89.9
05/06/2026,90.01,"4,957,794",87.88,90.695,87.88
05/05/2026,86.12,"3,680,246",86.3,86.97,84.7
05/04/2026,86.48,"6,208,803",87.51,87.75,85.62
05/01/2026,87.11,"13,260,510",90.99,91.15,86.005
04/30/2026,96.44,"4,714,244",95.22,96.92,95.11
04/29/2026,94.77,"3,848,067",95.75,96.07,93.39
04/28/2026,96.6,"3,112,685",97.2,98.17,95.71
04/27/2026,96.66,"2,929,730",98.29,98.55,96.36
04/24/2026,98.68,"2,060,028",98.68,99.65,97.5
04/23/2026,97.66,"2,447,629",97.44,98.655,96.95
04/22/2026,96.85,"2,428,658",98.85,99.57,96.58
04/21/2026,99.61,"3,000,855",102.31,102.6,99.36
04/20/2026,102.17,"2,842,366",103.67,103.72,101.09
04/17/2026,104.58,"2,895,842",102.4,106.86,102.4
04/16/2026,102.38,"1,853,025",102.97,103.575,101.5701
04/15/2026,102.92,"1,489,238",104.32,104.59,102.385
04/14/2026,104.44,"1,503,375",103.21,105.01,103.01
04/13/2026,103.39,"1,950,547",104.85,105.09,101.795
04/10/2026,105.28,"1,696,185",108.29,108.893,104.93
04/09/2026,107.62,"1,744,627",104.5,108.215,104.24
04/08/2026,105.67,"2,722,970",105.71,108.71,105.04
04/07/2026,103.04,"1,644,583",104.43,105.51,102.66
04/06/2026,104.89,"2,305,512",100.8,105.1,100.5
04/02/2026,101.14,"2,689,819",102.81,103.355,100.84
04/01/2026,104.24,"2,530,287",103.33,105.53,102.5
03/31/2026,103.63,"2,964,666",102.26,103.93,100.16
03/30/2026,102.42,"2,135,985",101.54,102.85,100.385
03/27/2026,102.04,"2,216,692",102.4,103.305,101.28
03/26/2026,102.18,"2,189,853",104.0,105.385,101.98
03/25/2026,104.76,"2,045,955",104.12,104.82,102.0
03/24/2026,103.07,"2,042,709",105.4,106.27,102.78
03/23/2026,105.88,"2,043,413",108.7,108.75,105.67
03/20/2026,106.15,"4,823,269",107.21,107.4,105.62
03/19/2026,106.62,"2,472,657",107.22,107.45,105.23
03/18/2026,107.93,"2,391,604",110.0,110.76,107.62
03/17/2026,111.4,"1,141,408",112.94,113.115,111.36
03/16/2026,112.09,"1,443,244",111.95,113.1125,111.27
03/13/2026,110.68,"1,674,274",110.3,111.51,109.51
03/12/2026,108.73,"1,677,365",112.0,112.06,108.51
03/11/2026,112.15,"1,774,238",115.0,115.1,110.84
03/10/2026,115.87,"2,213,359",113.0,116.75,111.59
03/09/2026,113.41,"2,726,918",113.5,114.0,108.94
03/06/2026,114.66,"2,103,892",112.92,115.3,110.25
03/05/2026,113.7,"2,384,818",116.55,116.58,113.51
03/04/2026,117.43,"2,712,102",121.02,121.26,116.3
03/03/2026,121.15,"2,123,862",125.26,125.97,120.64
03/02/2026,126.81,"1,679,388",125.67,127.46,125.14
02/27/2026,127.16,"1,879,585",127.19,128.675,126.33
02/26/2026,126.89,"1,866,328",127.51,128.9,126.41
02/25/2026,126.24,"1,730,645",125.96,126.38,122.33
02/24/2026,126.65,"1,131,929",127.14,128.07,125.91
02/23/2026,126.76,"1,927,821",122.6,127.35,122.6
02/20/2026,123.6,"2,390,269",122.28,123.61,121.805
02/19/2026,122.22,"1,502,769",123.51,123.99,121.48
02/18/2026,123.2,"1,599,302",122.78,124.1,121.89
02/17/2026,122.96,"2,885,686",126.5,127.5,120.9396
02/13/2026,125.94,"1,525,199",125.0,126.01,123.62
02/12/2026,124.64,"2,547,752",126.51,126.77,124.43
02/11/2026,125.95,"2,410,115",122.16,126.64,121.85
02/10/2026,121.45,"2,099,962",120.0,122.29,119.91
02/09/2026,119.59,"2,090,341",118.16,120.5,118.16
02/06/2026,119.36,"1,912,310",116.81,119.86,116.75
02/05/2026,117.61,"2,538,979",119.0,120.87,116.75
02/04/2026,117.77,"5,277,382",113.85,120.17,113.01
02/03/2026,114.98,"2,722,229",111.92,115.48,111.325
02/02/2026,113.29,"2,380,399",112.92,113.62,112.05
01/30/2026,112.79,"3,289,934",111.12,113.02,110.47
01/29/2026,109.7,"1,702,404",109.11,110.19,108.3
01/28/2026,108.8,"2,225,048",111.54,112.74,108.54
01/27/2026,113.19,"1,945,291",112.4,113.3999,111.41
01/26/2026,112.87,"2,167,978",113.0,113.3434,111.96
01/23/2026,113.48,"3,240,041",114.23,115.47,113.42
01/22/2026,112.2,"2,049,523",110.91,113.63,110.665
01/21/2026,110.54,"1,821,982",109.85,110.7299,108.13
01/20/2026,109.84,"2,828,712",109.0,110.3,107.5
01/16/2026,109.98,"1,919,965",109.96,111.29,109.03
01/15/2026,111.23,"1,971,431",110.72,112.2,109.9575
01/14/2026,111.41,"2,152,488",108.91,111.525,108.9
01/13/2026,108.86,"1,785,683",107.26,109.39,107.06
01/12/2026,106.98,"2,243,458",106.33,108.81,106.33
01/09/2026,106.19,"1,901,513",104.98,106.37,103.2601
01/08/2026,104.25,"2,098,240",101.29,104.98,101.29
01/07/2026,101.76,"2,288,843",100.7,102.24,99.735
01/06/2026,100.61,"2,267,403",101.03,102.41,99.38
01/05/2026,101.28,"3,941,434",100.26,102.15,98.75
01/02/2026,100.85,"2,001,850",101.1,101.42,100.1125
12/31/2025,100.83,"2,269,938",100.62,101.8396,100.1155
12/30/2025,100.81,"1,938,232",99.01,101.04,98.7701
12/29/2025,99.29,"2,346,586",98.45,99.5659,98.12
