date,close,volume,open,high,low
05/15/2026,24.76,"33,033,460",25.38,25.54,24.69
05/14/2026,25.17,"31,812,260",25.02,25.55,24.905
05/13/2026,24.94,"33,453,240",24.76,25.075,24.53
05/12/2026,24.9,"33,690,630",25.287,25.4,24.8
05/11/2026,25.03,"35,016,090",25.5,25.68,24.87
05/08/2026,25.4,"36,599,440",26.25,26.26,25.35
05/07/2026,26.24,"34,373,780",26.375,26.69,26.11
05/06/2026,26.44,"30,097,160",26.51,26.835,26.39
05/05/2026,26.46,"31,384,340",26.98,27.22,26.22
05/04/2026,27.07,"24,758,630",27.0,27.175,26.885
05/01/2026,27.19,"28,829,260",27.29,27.48,26.99
04/30/2026,27.04,"41,994,940",26.72,27.35,26.72
04/29/2026,26.76,"31,883,460",27.49,27.725,26.595
04/28/2026,27.64,"23,549,030",28.04,28.31,27.55
04/27/2026,27.51,"31,684,560",27.45,28.0113,27.3
04/24/2026,27.56,"65,543,130",30.96,31.03,27.5
04/23/2026,31.64,"46,477,910",30.5,32.08,30.4
04/22/2026,29.37,"25,222,710",29.135,29.53,29.11
04/21/2026,29.05,"37,226,080",29.76,29.915,28.89
04/20/2026,29.73,"22,174,030",29.63,30.14,29.56
04/17/2026,29.63,"32,422,050",29.3,29.78,29.155
04/16/2026,29.35,"27,115,760",28.34,29.46,28.265
04/15/2026,28.3,"18,045,050",28.16,28.51,28.005
04/14/2026,28.14,"17,564,440",27.83,28.375,27.795
04/13/2026,28.05,"20,312,910",27.95,28.19,27.585
04/10/2026,27.93,"18,153,940",28.42,28.47,27.825
04/09/2026,28.31,"24,209,090",27.82,28.32,27.63
04/08/2026,27.96,"23,123,140",27.79,28.085,27.66
04/07/2026,27.79,"37,148,460",27.73,27.925,27.48
04/06/2026,27.66,"19,631,440",27.99,28.17,27.63
04/02/2026,27.93,"25,105,400",28.04,28.1576,27.575
04/01/2026,28.05,"27,163,520",28.23,28.39,27.75
03/31/2026,28.71,"28,734,150",29.28,29.29,28.365
03/30/2026,28.9,"32,458,450",28.61,29.23,28.38
03/27/2026,28.33,"19,776,200",28.7,28.815,28.26
03/26/2026,28.72,"28,571,180",28.73,29.15,28.61
03/25/2026,28.73,"22,266,830",29.16,29.42,28.61
03/24/2026,29.22,"21,804,240",29.04,29.705,28.93
03/23/2026,29.01,"31,505,510",29.125,29.385,28.83
03/20/2026,29.02,"246,107,100",28.925,29.515,28.84
03/19/2026,28.98,"36,163,230",28.785,29.34,28.71
03/18/2026,28.57,"36,334,080",29.94,30.11,28.53
03/17/2026,30.08,"24,221,970",30.595,30.785,30.045
03/16/2026,30.34,"19,653,230",30.16,30.559,30.06
03/13/2026,30.16,"20,252,810",30.33,30.55,30.105
03/12/2026,30.16,"23,947,580",30.33,30.565,30.0
03/11/2026,30.57,"23,702,940",31.06,31.33,30.26
03/10/2026,31.07,"21,238,690",30.94,31.175,30.55
03/09/2026,31.04,"45,897,400",31.64,31.76,30.47
03/06/2026,31.91,"23,119,080",31.39,31.97,30.99
03/05/2026,31.6,"24,204,230",31.935,32.4,31.47
03/04/2026,32.09,"28,509,100",30.85,32.14,30.63
03/03/2026,31.01,"27,217,370",30.68,31.36,30.27
03/02/2026,30.82,"22,490,290",30.74,31.06,30.525
02/27/2026,30.96,"34,865,660",30.71,31.175,30.385
02/26/2026,30.85,"25,477,970",30.86,31.215,30.805
02/25/2026,30.79,"32,273,600",31.595,31.77,30.69
02/24/2026,31.61,"20,735,370",31.48,31.85,31.36
02/23/2026,31.63,"19,564,620",31.365,31.82,31.26
02/20/2026,31.34,"25,242,160",31.29,31.445,30.79
02/19/2026,31.38,"25,767,770",31.57,31.755,31.205
02/18/2026,31.6,"20,768,590",31.615,31.82,31.335
02/17/2026,31.55,"28,089,710",31.665,31.945,31.4601
02/13/2026,31.57,"28,487,890",31.7,31.88,31.12
02/12/2026,31.82,"34,309,390",32.7,32.855,31.81
02/11/2026,32.48,"27,355,270",32.29,32.835,32.275
02/10/2026,32.31,"32,111,380",31.585,32.385,31.525
02/09/2026,31.61,"24,316,870",31.1,31.675,30.76
02/06/2026,31.37,"30,791,610",30.81,31.43,30.77
02/05/2026,30.85,"30,243,790",30.53,30.94,30.35
02/04/2026,30.5,"41,031,050",30.01,31.13,29.92
02/03/2026,29.76,"37,200,840",29.64,30.275,29.53
02/02/2026,29.59,"31,343,420",29.62,29.93,29.4
01/30/2026,29.75,"51,300,240",29.64,29.85,28.895
01/29/2026,29.24,"65,923,410",27.625,30.11,27.58
01/28/2026,28.41,"46,428,770",28.83,29.095,28.235
01/27/2026,28.7,"40,826,450",29.335,29.42,28.63
01/26/2026,29.43,"43,266,690",29.29,29.5,29.155
01/23/2026,29.3,"29,380,160",28.982,29.33,28.755
01/22/2026,29.23,"35,617,740",28.88,29.44,28.865
01/21/2026,28.89,"44,865,450",28.085,29.01,28.085
01/20/2026,28.16,"50,568,320",27.825,28.575,27.685
01/16/2026,27.82,"38,596,940",28.25,28.38,27.555
01/15/2026,28.35,"31,081,580",28.405,28.55,28.19
01/14/2026,28.42,"27,336,250",28.052,28.535,28.03
01/13/2026,28.48,"35,155,020",28.9,29.25,28.395
01/12/2026,29.06,"40,310,240",28.74,29.32,28.485
01/09/2026,28.37,"22,315,320",28.13,28.55,27.78
01/08/2026,28.21,"30,813,260",27.66,28.5,27.5
01/07/2026,27.9,"36,361,740",27.45,27.91,27.3446
01/06/2026,27.42,"34,552,550",27.84,27.94,27.1
01/05/2026,28.13,"47,571,580",27.73,28.93,27.705
01/02/2026,27.73,"24,284,190",28.0539,28.1149,27.5751
12/31/2025,28.0586,"17,234,230",28.0398,28.2452,27.9177
12/30/2025,28.1337,"23,008,030",27.9741,28.2557,27.9459
12/29/2025,28.0398,"24,025,830",27.8426,28.0679,27.7146
12/26/2025,27.8426,"12,421,280",27.9177,28.0257,27.7018
12/24/2025,27.9553,"10,352,880",27.5798,28.0304,27.5704
12/23/2025,27.5798,"21,049,280",27.4859,27.6033,27.2231
12/22/2025,27.4672,"30,726,540",27.6737,27.9741,27.4014
12/19/2025,27.7582,"91,475,050",28.2885,28.5091,27.669
12/18/2025,28.4153,"46,352,130",28.0867,28.5654,27.9177
12/17/2025,28.4622,"71,664,900",27.7488,28.7157,27.6267
12/16/2025,27.9084,"91,875,460",26.4815,28.0163,26.1717
12/15/2025,26.4815,"40,010,590",25.8619,26.566,25.7868
12/12/2025,25.5615,"28,912,080",25.8619,26.1435,25.5146
12/11/2025,25.9089,"46,100,550",25.9511,26.0309,25.4771
12/10/2025,25.8901,"36,933,500",25.233,26.0027,25.1297
12/09/2025,25.1485,"27,468,860",25.0171,25.2799,24.8293
12/08/2025,25.0171,"40,134,210",25.6554,25.6648,24.9514
12/05/2025,25.6366,"47,686,260",25.5615,26.3595,25.5428
12/04/2025,25.5334,"40,806,230",25.7962,25.838,25.3785
12/03/2025,25.7493,"27,648,740",25.3081,25.8197,25.2001
12/02/2025,25.3644,"45,781,410",25.0828,25.5944,24.7824
12/01/2025,24.9514,"28,314,780",24.8763,25.1954,24.8293
11/28/2025,25.0546,"13,633,960",24.8575,25.233,24.8293
11/26/2025,24.942,"24,225,470",25.1297,25.154,24.88
11/25/2025,25.0452,"30,445,620",24.9232,25.4272,24.895
11/24/2025,24.8387,"51,662,470",25.6272,25.6648,24.8059
11/21/2025,25.6742,"31,572,770",24.9561,25.7399,24.9561
11/20/2025,24.9983,"24,690,790",25.3222,25.477,24.9232
11/19/2025,25.2236,"27,469,300",25.6179,25.693,25.1298
11/18/2025,25.6836,"29,241,590",25.6836,25.8619,25.4113
11/17/2025,25.5522,"26,584,770",25.8197,25.9276,25.4864
11/14/2025,25.8244,"37,839,470",26.3031,26.5003,25.5803
11/13/2025,26.2562,"31,960,610",26.0591,26.5472,26.0591
11/12/2025,26.1811,"30,938,850",25.7587,26.2421,25.7399
11/11/2025,25.7681,"53,416,960",25.6883,25.9558,25.3926
11/10/2025,25.4583,"55,469,880",25.5803,25.7962,25.1063
11/07/2025,25.6742,"36,519,350",25.876,26.0731,25.355
11/06/2025,25.6366,"32,823,380",26.2186,26.3406,25.6085
11/05/2025,26.228,"40,249,210",25.7634,26.2703,25.7023
11/04/2025,25.7587,"45,561,730",25.3738,25.8525,25.2424
11/03/2025,25.3269,"39,650,730",25.9464,26.0591,25.064
10/31/2025,26.1295,"49,107,310",25.0875,26.228,24.7308
10/30/2025,25.646,"64,038,140",24.4914,26.3782,24.1722
10/29/2025,26.7819,"42,857,670",27.3639,27.4672,26.7162
10/28/2025,27.4859,"27,062,810",27.5141,27.6174,27.3404
10/27/2025,27.6174,"24,107,410",27.6033,27.8944,27.4994
10/24/2025,27.4859,"18,001,540",27.6596,27.8051,27.4578
10/23/2025,27.5047,"21,198,150",27.8004,27.8333,27.4578
10/22/2025,27.5986,"22,015,760",28.1055,28.1618,27.5798
10/21/2025,28.1337,"30,082,960",27.8333,28.1524,27.6831
10/20/2025,27.7582,"16,881,390",27.7394,27.8145,27.5188
10/17/2025,27.73,"20,680,910",27.5047,27.8239,27.3733
10/16/2025,27.4672,"20,378,550",27.8426,28.0022,27.3639
10/15/2025,27.899,"20,536,650",28.0961,28.2698,27.6455
10/14/2025,28.1524,"23,398,670",27.6455,28.2651,27.608
10/13/2025,27.608,"16,844,070",27.7206,27.9459,27.5892
10/10/2025,27.6549,"22,896,840",28.3402,28.5185,27.622
10/09/2025,28.2369,"22,555,010",28.9691,29.0724,28.2181
10/08/2025,28.8846,"23,765,200",28.7344,29.0912,28.5889
10/07/2025,28.725,"30,175,840",29.185,29.2226,28.4434
10/06/2025,29.185,"27,868,010",28.9128,29.2038,28.5561
10/03/2025,29.0067,"32,639,880",28.5655,29.2836,28.5467
10/02/2025,28.5373,"25,014,590",28.8377,28.9128,28.5185
10/01/2025,29.0442,"30,248,180",29.1381,29.4479,29.0067
09/30/2025,29.4948,"37,758,230",29.523,29.8609,29.3118
09/29/2025,29.5605,"22,268,020",29.8797,29.9172,29.4854
09/26/2025,29.7764,"15,565,450",29.7295,29.936,29.6215
09/25/2025,29.6826,"19,402,740",29.767,29.9548,29.5887
09/24/2025,29.6732,"22,928,260",29.8421,29.8421,29.5324
09/23/2025,29.6826,"26,288,460",29.6544,30.2082,29.6544
09/22/2025,29.5605,"36,356,090",29.4103,29.6403,29.3822
