date,close,volume,open,high,low
05/15/2026,58.27,"4,662,709",58.49,59.34,57.81
05/14/2026,58.7,"5,851,790",58.77,59.35,58.17
05/13/2026,58.81,"6,467,832",59.32,59.74,58.03
05/12/2026,59.31,"9,427,268",56.375,59.5,55.78
05/11/2026,56.36,"5,959,879",56.45,57.03,55.62
05/08/2026,55.96,"5,296,248",55.2,56.3525,53.7
05/07/2026,54.98,"8,815,686",54.99,55.97,54.74
05/06/2026,55.33,"7,989,119",52.59,55.67,52.0
05/05/2026,52.98,"5,033,587",53.49,54.75,52.87
05/04/2026,53.56,"5,328,530",53.02,53.93,52.95
05/01/2026,53.34,"5,887,824",54.0,54.1,53.1701
04/30/2026,53.69,"10,929,150",53.48,53.915,52.82
04/29/2026,53.98,"17,912,330",50.58,54.62,50.4
04/28/2026,49.57,"17,226,290",44.8,49.9875,44.22
04/27/2026,43.5,"9,521,589",41.78,44.115,41.68
04/24/2026,41.82,"6,473,197",41.26,41.88,40.2
04/23/2026,41.09,"4,994,935",39.48,41.1,39.25
04/22/2026,38.93,"4,507,658",39.37,39.7,38.36
04/21/2026,39.14,"3,657,204",39.45,39.83,38.975
04/20/2026,38.31,"3,164,095",38.41,39.05,38.07
04/17/2026,38.17,"5,467,694",39.11,39.46,37.92
04/16/2026,39.0,"6,623,844",37.52,39.13,37.46
04/15/2026,37.6,"4,057,274",37.375,37.75,36.66
04/14/2026,37.26,"3,016,503",37.59,38.2139,37.21
04/13/2026,37.47,"4,106,451",36.85,37.63,36.42
04/10/2026,37.3,"5,145,525",37.45,37.59,36.86
04/09/2026,37.55,"3,663,891",37.25,37.75,36.97
04/08/2026,37.28,"6,642,286",37.1,37.38,36.53
04/07/2026,36.31,"7,144,784",36.79,36.98,35.28
04/06/2026,35.4,"3,679,051",35.2,35.754,35.05
04/02/2026,35.11,"4,832,139",34.19,35.19,33.79
04/01/2026,33.95,"5,279,005",32.42,34.26,32.23
03/31/2026,32.74,"5,341,840",32.02,32.88,31.89
03/30/2026,31.8,"6,142,804",32.4,32.7,31.63
03/27/2026,32.0,"8,571,133",33.45,33.61,31.89
03/26/2026,33.56,"7,591,174",32.7,33.685,32.68
03/25/2026,32.73,"7,624,723",33.32,33.62,31.77
03/24/2026,32.98,"8,198,735",32.84,32.98,32.065
03/23/2026,32.81,"9,827,738",34.72,34.78,32.55
03/20/2026,34.4,"13,334,650",35.575,35.575,33.985
03/19/2026,35.57,"5,727,354",36.14,37.05,35.5102
03/18/2026,36.16,"4,810,221",34.72,36.48,34.46
