date,close,volume,open,high,low
05/15/2026,1.2,"101,295",1.23,1.27,1.185
05/14/2026,1.26,"66,838",1.29,1.29,1.25
05/13/2026,1.28,"90,166",1.29,1.3,1.28
05/12/2026,1.31,"128,025",1.28,1.355,1.28
05/11/2026,1.3,"189,052",1.4,1.4399,1.29
05/08/2026,1.44,"191,362",1.4,1.45,1.358
05/07/2026,1.39,"103,463",1.38,1.43,1.38
05/06/2026,1.41,"137,897",1.4,1.445,1.38
05/05/2026,1.38,"203,311",1.32,1.42,1.32
05/04/2026,1.31,"170,392",1.37,1.39,1.28
05/01/2026,1.38,"145,024",1.45,1.45,1.38
04/30/2026,1.43,"138,930",1.4,1.4798,1.38
04/29/2026,1.39,"117,789",1.38,1.4,1.37
04/28/2026,1.39,"75,056",1.3506,1.42,1.3506
04/27/2026,1.4,"109,352",1.45,1.45,1.4
04/24/2026,1.43,"141,339",1.41,1.45,1.375
04/23/2026,1.41,"196,418",1.46,1.4799,1.39
04/22/2026,1.47,"88,499",1.42,1.49,1.42
04/21/2026,1.43,"151,658",1.49,1.5043,1.41
04/20/2026,1.51,"185,116",1.51,1.53,1.48
04/17/2026,1.51,"383,865",1.545,1.58,1.49
04/16/2026,1.57,"503,325",1.47,1.59,1.47
04/15/2026,1.5,"319,710",1.5,1.54,1.4601
04/14/2026,1.53,"567,215",1.42,1.53,1.42
04/13/2026,1.43,"350,849",1.21,1.43,1.21
04/10/2026,1.25,"595,179",1.4,1.425,1.17
04/09/2026,1.43,"551,674",1.4,1.5199,1.36
04/08/2026,1.44,"680,257",1.48,1.56,1.42
04/07/2026,1.47,"1,340,535",1.43,1.52,1.35
04/06/2026,1.5,"4,406,405",1.485,1.52,1.34
04/02/2026,1.51,"137,317,500",1.71,2.0299,1.36
04/01/2026,1.02,"28,169",1.0462,1.077,1.0098
03/31/2026,1.01,"22,464",1.0,1.057,1.0
03/30/2026,1.0,"77,691",1.03,1.04,1.0
03/27/2026,1.03,"22,756",1.03,1.0594,1.03
03/26/2026,1.03,"35,882",1.06,1.08,1.02
03/25/2026,1.08,"32,292",1.08,1.1,1.06
03/24/2026,1.06,"48,434",1.03,1.115,1.03
03/23/2026,1.08,"37,889",1.03,1.11,1.03
03/20/2026,1.03,"49,153",1.09,1.11,1.03
03/19/2026,1.09,"18,455",1.11,1.11,1.07
03/18/2026,1.13,"61,656",1.11,1.14,1.085
03/17/2026,1.11,"76,001",1.05,1.12,1.05
03/16/2026,1.08,"123,010",1.02,1.09,1.005
03/13/2026,1.03,"20,544",1.02,1.0474,1.01
03/12/2026,1.01,"38,088",1.05,1.05,1.01
03/11/2026,1.03,"24,624",1.06,1.06,1.0102
03/10/2026,1.065,"55,525",1.04,1.0736,1.04
03/09/2026,1.03,"49,494",1.03,1.0338,0.9931
03/06/2026,1.01,"17,823",0.99,1.04,0.9863
03/05/2026,0.9999,"22,025",1.03,1.03,0.9801
03/04/2026,1.03,"43,781",1.05,1.06,1.0
03/03/2026,1.06,"33,911",1.02,1.06,1.02
03/02/2026,1.05,"43,400",1.03,1.0799,1.01
02/27/2026,1.05,"50,734",1.03,1.083,0.99
02/26/2026,1.06,"91,041",1.04,1.11,1.03
02/25/2026,1.035,"32,955",0.9801,1.0495,0.9801
02/24/2026,0.995,"48,977",0.99,1.01,0.9601
02/23/2026,1.01,"38,733",1.01,1.05,0.9803
02/20/2026,1.0083,"31,963",0.9849,1.01,0.96
02/19/2026,0.98,"28,544",1.02,1.0299,0.9452
02/18/2026,0.98,"47,236",0.93,1.0072,0.93
02/17/2026,0.93,"68,089",0.94,0.95,0.9047
02/13/2026,0.9649,"13,342",0.93,0.9801,0.93
02/12/2026,0.93,"21,178",0.96,0.96,0.9007
02/11/2026,0.9546,"31,645",0.9626,0.979,0.9
02/10/2026,0.9572,"18,981",0.99,0.99,0.957
02/09/2026,0.9512,"48,309",0.9692,0.9692,0.9
02/06/2026,0.9699,"109,251",0.88,0.988,0.88
02/05/2026,0.8602,"205,721",0.96,0.96,0.8588
02/04/2026,0.96,"48,810",0.97,0.9922,0.9268
02/03/2026,0.9608,"46,094",1.0,1.0457,0.95
02/02/2026,0.98,"202,829",0.98,1.06,0.96
01/30/2026,0.9802,"62,479",1.0,1.0091,0.98
01/29/2026,1.0,"106,313",1.01,1.03,0.97
01/28/2026,1.02,"36,684",1.04,1.04,1.02
01/27/2026,1.02,"19,325",1.0214,1.0408,1.02
01/26/2026,1.03,"40,064",1.05,1.06,1.03
01/23/2026,1.04,"14,433",1.05,1.06,1.0304
01/22/2026,1.06,"90,505",1.05,1.0899,1.05
01/21/2026,1.04,"66,639",1.07,1.09,1.04
01/20/2026,1.05,"188,123",1.1,1.11,1.0
01/16/2026,1.11,"46,753",1.138,1.14,1.11
01/15/2026,1.11,"45,246",1.1711,1.1711,1.11
01/14/2026,1.16,"306,701",1.11,1.19,1.062
01/13/2026,1.09,"65,131",1.14,1.15,1.09
01/12/2026,1.11,"109,896",1.14,1.17,1.11
01/09/2026,1.14,"152,701",1.13,1.22,1.09
01/08/2026,1.1,"33,393",1.1,1.11,1.09
01/07/2026,1.1,"46,559",1.1,1.12,1.09
01/06/2026,1.095,"50,277",1.1,1.12,1.08
01/05/2026,1.09,"183,189",1.02,1.12,1.015
01/02/2026,0.9928,"34,374",0.98,1.0199,0.9736
12/31/2025,0.979,"145,999",0.97,0.979,0.91
12/30/2025,0.9487,"185,451",0.9973,0.9973,0.9487
12/29/2025,0.9796,"169,735",0.9604,1.01,0.9604
12/26/2025,0.9725,"77,466",0.9459,0.988,0.9459
12/24/2025,0.9741,"77,290",0.97,0.985,0.95
12/23/2025,0.9641,"35,705",0.96,1.0,0.96
12/22/2025,0.9808,"32,873",0.99,1.02,0.98
12/19/2025,0.99,"49,207",0.99,1.04,0.98
12/18/2025,1.0,"55,841",0.96,1.05,0.96
12/17/2025,0.97,"32,597",0.9505,1.01,0.9505
12/16/2025,0.9838,"112,136",1.02,1.03,0.97
12/15/2025,1.02,"87,104",1.025,1.05,1.01
12/12/2025,1.05,"51,943",1.07,1.078,1.04
12/11/2025,1.06,"36,090",1.07,1.0936,1.06
12/10/2025,1.07,"42,638",1.055,1.1,1.05
12/09/2025,1.06,"43,464",1.04,1.075,1.02
12/08/2025,1.05,"73,756",1.05,1.07,1.02
12/05/2025,1.02,"19,300",1.02,1.04,1.0101
12/04/2025,1.035,"48,692",1.03,1.04,1.01
12/03/2025,1.04,"46,497",1.02,1.0499,1.013
12/02/2025,1.01,"59,169",1.0768,1.0768,1.0
12/01/2025,1.03,"47,038",1.06,1.0793,1.03
11/28/2025,1.06,"47,617",1.01,1.07,1.01
11/26/2025,1.01,"80,935",0.96,1.025,0.96
11/25/2025,0.9417,"81,466",0.94,0.962,0.9256
11/24/2025,0.959,"62,880",0.93,0.9629,0.9009
