date,close,volume,open,high,low
05/15/2026,187.17,"3,601,373",185.68,188.31,184.87
05/14/2026,185.79,"3,547,733",183.16,186.4,182.0001
05/13/2026,181.54,"4,615,720",183.9,183.9,181.3
05/12/2026,183.71,"5,540,272",183.93,185.8399,181.41
05/11/2026,183.93,"5,771,029",189.59,190.44,183.76
05/08/2026,189.48,"4,727,376",192.94,193.15,189.15
05/07/2026,192.59,"5,605,384",193.25,195.23,190.66
05/06/2026,193.4,"4,405,202",192.23,196.0,192.23
05/05/2026,189.68,"3,864,501",190.41,191.48,189.05
05/04/2026,189.92,"3,532,043",191.3,192.845,188.85
05/01/2026,191.91,"4,624,197",192.58,193.37,190.35
04/30/2026,191.3,"4,900,363",189.88,192.31,188.26
04/29/2026,190.84,"3,310,282",191.87,193.42,189.68
04/28/2026,192.1,"2,796,696",195.5,196.0,191.6
04/27/2026,194.11,"3,580,150",190.93,194.8,190.5
04/24/2026,191.39,"4,927,892",194.82,195.435,190.98
04/23/2026,196.63,"3,687,110",198.47,199.765,193.21
04/22/2026,199.43,"6,151,365",202.5,205.77,198.12
04/21/2026,202.5,"5,319,115",205.22,209.59,202.31
04/20/2026,205.71,"3,831,010",204.77,208.2799,204.15
04/17/2026,206.47,"5,415,575",204.62,210.84,204.62
04/16/2026,200.71,"3,116,124",203.5,205.11,200.68
04/15/2026,202.98,"3,932,085",201.46,204.41,200.38
04/14/2026,199.84,"3,485,160",198.0,200.76,197.68
04/13/2026,197.55,"3,472,083",191.04,197.67,190.1102
04/10/2026,193.0,"2,399,269",194.12,194.705,191.52
04/09/2026,194.73,"4,635,386",192.33,195.86,191.57
04/08/2026,192.46,"6,728,491",191.4,194.15,190.38
04/07/2026,181.15,"5,979,965",181.64,183.5,180.24
04/06/2026,184.21,"2,788,874",181.74,184.23,181.3301
04/02/2026,181.92,"3,761,469",181.0,185.14,177.72
04/01/2026,184.5,"4,468,227",185.61,187.405,183.67
03/31/2026,182.43,"4,100,841",181.9,183.85,178.93
03/30/2026,178.13,"3,646,862",177.73,179.515,176.59
03/27/2026,176.1,"5,699,483",179.7,180.25,174.98
03/26/2026,182.12,"3,276,571",183.45,185.06,180.57
03/25/2026,185.23,"3,286,107",187.74,189.78,183.8
03/24/2026,184.64,"4,677,320",182.02,186.53,181.5504
03/23/2026,184.0,"6,335,176",188.78,190.99,183.85
03/20/2026,181.46,"10,035,940",179.24,181.55,177.53
03/19/2026,179.73,"5,043,318",179.36,181.595,177.5701
03/18/2026,180.14,"4,140,281",182.04,185.2,179.79
03/17/2026,183.42,"4,318,184",183.12,185.74,182.59
03/16/2026,180.77,"5,196,800",181.6,183.99,178.95
03/13/2026,179.79,"5,865,130",178.76,179.92,177.28
03/12/2026,177.45,"6,339,624",177.88,179.51,176.36
03/11/2026,182.02,"5,061,186",185.49,186.75,180.65
03/10/2026,184.87,"5,493,848",187.0,188.25,182.25
03/09/2026,185.73,"8,730,255",183.11,186.25,178.73
03/06/2026,187.71,"5,685,216",188.0,188.41,184.3
03/05/2026,194.27,"3,904,986",195.49,197.185,191.96
03/04/2026,195.83,"4,651,216",194.51,197.01,192.93
03/03/2026,193.73,"6,443,619",188.9,195.81,188.3
03/02/2026,194.32,"6,651,266",191.56,196.4,188.34
02/27/2026,195.64,"9,048,727",200.35,200.52,193.61
02/26/2026,208.47,"4,758,576",207.66,211.0,206.58
02/25/2026,205.79,"6,787,034",199.1,206.23,198.642
02/24/2026,196.56,"6,712,617",189.74,198.66,187.5
02/23/2026,190.0,"8,882,887",206.45,207.75,189.94
02/20/2026,208.42,"3,732,629",204.26,208.48,202.305
02/19/2026,205.06,"5,046,045",207.93,208.68,203.32
02/18/2026,209.88,"4,394,104",207.32,210.62,206.405
02/17/2026,206.74,"3,514,120",207.5,211.22,205.33
02/13/2026,207.37,"5,245,698",206.2,208.74,202.24
02/12/2026,206.89,"6,978,557",217.0,217.78,204.55
02/11/2026,214.39,"4,873,651",222.0,223.64,214.0
02/10/2026,219.93,"4,417,676",222.48,226.4999,218.22
02/09/2026,222.76,"3,039,643",221.46,223.89,220.0201
02/06/2026,222.79,"3,387,559",220.54,224.59,220.0
02/05/2026,216.93,"6,661,871",223.7,225.125,214.65
02/04/2026,225.46,"5,432,894",223.68,227.72,222.995
02/03/2026,223.34,"5,614,843",224.89,227.45,218.965
02/02/2026,223.68,"5,107,816",218.25,225.14,217.35
01/30/2026,218.93,"4,483,296",217.95,221.1409,216.875
01/29/2026,219.31,"4,856,775",220.2,223.12,217.26
01/28/2026,218.41,"5,925,749",217.03,223.48,217.03
01/27/2026,217.11,"6,186,189",220.01,220.25,214.5689
01/26/2026,220.18,"7,280,073",217.87,222.11,216.525
01/23/2026,217.3,"14,209,780",223.79,227.06,216.82
01/22/2026,235.07,"5,522,145",233.05,237.98,232.31
01/21/2026,231.01,"6,394,264",229.68,233.63,229.01
01/20/2026,228.72,"6,987,276",233.05,237.0,227.655
01/16/2026,239.14,"6,692,746",240.725,243.36,237.5902
01/15/2026,236.97,"5,328,744",235.2,239.82,235.2
01/14/2026,234.42,"7,754,486",230.31,234.53,224.2601
01/13/2026,231.41,"8,818,475",234.6,235.4,230.02
01/12/2026,233.2,"15,082,560",229.945,236.18,228.7
01/09/2026,249.2,"3,834,315",256.0,256.51,249.09
01/08/2026,255.68,"3,840,392",253.0,257.46,252.0
01/07/2026,253.25,"3,877,591",257.24,258.71,252.365
01/06/2026,257.94,"5,248,534",250.965,259.635,250.0
01/05/2026,250.51,"3,348,362",247.55,253.35,247.445
01/02/2026,247.93,"3,003,568",244.35,247.99,242.5
12/31/2025,242.36,"2,090,948",245.0,245.0,242.34
12/30/2025,243.97,"1,399,162",246.04,246.085,243.76
12/29/2025,245.75,"2,274,908",249.46,249.74,245.4
12/26/2025,249.32,"1,508,653",247.67,249.73,247.67
12/24/2025,248.27,"901,861",248.0,249.65,247.465
12/23/2025,247.6,"1,849,070",246.34,247.91,246.22
12/22/2025,246.77,"1,887,473",245.0,247.245,243.02
12/19/2025,243.73,"5,908,640",241.92,244.77,240.74
12/18/2025,242.8,"3,794,728",241.08,244.785,241.08
12/17/2025,239.5,"3,440,460",242.63,244.8199,238.87
12/16/2025,241.61,"3,941,725",240.37,242.5,239.09
12/15/2025,239.81,"4,045,987",239.38,241.0,238.045
12/12/2025,237.87,"2,964,131",240.56,241.24,236.01
12/11/2025,239.29,"4,067,291",237.475,243.31,237.0
12/10/2025,237.76,"4,146,194",229.95,238.47,229.14
12/09/2025,230.81,"4,141,663",230.59,234.965,228.63
12/08/2025,230.59,"3,723,024",231.1,233.04,229.435
12/05/2025,230.68,"3,919,657",228.56,233.01,228.56
12/04/2025,229.71,"4,294,506",226.8,230.955,226.48
12/03/2025,227.24,"4,089,947",223.93,228.41,222.975
12/02/2025,224.0,"3,967,759",221.54,224.89,219.87
12/01/2025,220.37,"3,424,534",218.15,223.03,217.5617
11/28/2025,219.07,"1,639,809",218.73,220.795,217.55
11/26/2025,217.47,"2,431,660",214.6,219.15,214.5
11/25/2025,214.45,"2,885,344",208.98,215.68,208.13
11/24/2025,208.84,"4,195,416",209.03,210.5298,206.405
11/21/2025,207.87,"4,624,216",203.46,209.43,201.9
11/20/2025,202.22,"5,580,033",206.38,209.95,201.16
11/19/2025,202.4,"4,297,361",200.97,203.035,200.0
11/18/2025,200.04,"6,180,369",199.79,204.5,199.435
11/17/2025,201.01,"7,102,678",209.81,210.575,199.09
11/14/2025,211.15,"5,022,008",213.96,214.835,209.6301
11/13/2025,216.8,"4,608,708",220.61,223.32,215.52
11/12/2025,222.13,"4,014,627",220.2,223.57,219.69
11/11/2025,220.75,"1,779,150",220.13,222.185,218.25
11/10/2025,220.36,"3,135,531",219.11,222.82,218.21
11/07/2025,217.82,"3,946,139",216.12,219.0599,213.3
11/06/2025,216.88,"4,059,381",221.42,222.858,215.9
11/05/2025,221.4,"2,539,391",220.28,223.4282,217.56
11/04/2025,220.68,"2,444,153",219.255,222.0,217.5383
11/03/2025,221.7,"2,584,434",219.99,222.5,218.03
10/31/2025,219.99,"2,550,613",218.0,221.105,217.1905
10/30/2025,218.38,"2,808,431",218.23,222.98,217.98
