date,close,volume,open,high,low
05/15/2026,59.61,"2,081,289",60.51,61.05,59.57
05/14/2026,60.38,"2,180,135",59.96,60.915,59.66
05/13/2026,59.47,"2,247,945",59.46,60.32,59.06
05/12/2026,59.95,"2,818,538",59.19,60.355,58.89
05/11/2026,58.98,"1,697,159",60.17,60.415,58.91
05/08/2026,60.0,"2,151,019",61.21,61.47,59.68
05/07/2026,61.11,"2,096,270",61.615,61.81,60.8
05/06/2026,61.12,"3,333,032",61.5,61.71,60.0
05/05/2026,61.25,"2,940,673",61.52,61.93,60.71
05/04/2026,61.52,"1,565,152",61.95,62.87,61.24
05/01/2026,62.36,"1,981,551",62.9,62.9,61.75
04/30/2026,62.9,"3,097,686",61.53,63.395,61.25
04/29/2026,61.34,"2,567,669",62.785,63.435,60.64
04/28/2026,63.09,"2,470,851",64.73,64.899,62.93
04/27/2026,64.34,"2,064,467",64.44,65.29,64.2
04/24/2026,64.42,"2,300,316",64.73,64.795,63.715
04/23/2026,64.95,"2,577,175",66.93,67.16,64.395
04/22/2026,66.92,"2,223,406",67.46,68.02,66.85
04/21/2026,67.3,"1,684,040",69.885,69.885,67.09
04/20/2026,69.46,"1,479,991",69.45,70.3,69.28
04/17/2026,70.06,"2,654,993",70.32,71.3,69.83
04/16/2026,69.38,"2,141,892",70.34,70.97,69.29
04/15/2026,70.29,"1,673,792",71.61,71.79,69.75
04/14/2026,71.61,"1,671,005",71.87,72.63,71.25
04/13/2026,71.7,"1,437,264",70.74,71.795,69.825
04/10/2026,71.21,"1,471,755",71.96,72.13,71.05
04/09/2026,71.46,"1,277,256",71.14,71.85,70.075
04/08/2026,71.73,"2,235,881",72.2,72.23,71.11
04/07/2026,69.66,"2,185,976",70.1,70.3,68.7
04/06/2026,70.29,"2,879,675",69.98,70.77,69.63
04/02/2026,70.17,"2,049,647",70.7,71.865,69.34
04/01/2026,71.43,"1,763,941",71.83,72.39,71.15
03/31/2026,71.5,"1,858,875",70.04,71.735,69.52
03/30/2026,69.31,"1,761,042",70.36,70.36,69.06
03/27/2026,69.77,"1,638,163",71.41,71.41,69.52
03/26/2026,71.54,"1,416,486",71.19,72.55,71.19
03/25/2026,71.45,"2,049,777",71.6,72.0,69.98
03/24/2026,70.49,"1,275,716",70.05,71.33,69.17
03/23/2026,70.24,"1,784,195",71.46,72.0475,69.93
03/20/2026,69.96,"2,498,826",70.8,70.84,69.325
03/19/2026,70.71,"1,925,707",70.7,71.5,70.055
03/18/2026,71.17,"1,764,241",71.07,72.28,71.05
03/17/2026,72.05,"1,723,115",71.71,73.07,71.38
03/16/2026,71.04,"2,154,128",70.42,71.54,69.83
03/13/2026,69.92,"1,918,401",71.78,72.1,69.835
03/12/2026,71.52,"3,095,408",72.88,73.15,70.22
03/11/2026,73.75,"2,686,748",73.99,74.649,72.73
03/10/2026,74.41,"2,249,420",76.0,76.01,74.28
03/09/2026,75.82,"3,723,033",75.27,76.18,72.76
03/06/2026,76.55,"5,306,755",77.0,78.11,75.0
03/05/2026,80.2,"2,484,263",80.77,81.94,79.68
03/04/2026,81.98,"2,661,193",82.61,83.36,81.04
03/03/2026,83.37,"1,323,992",82.41,83.98,81.255
03/02/2026,83.92,"1,689,133",83.59,84.09,82.12
02/27/2026,83.67,"1,758,935",83.11,84.095,82.77
02/26/2026,84.01,"1,363,391",83.425,84.22,83.08
02/25/2026,83.47,"2,322,463",83.56,83.66,82.095
02/24/2026,83.56,"1,634,606",82.84,83.72,82.56
02/23/2026,82.94,"2,338,734",83.15,84.4299,81.97
02/20/2026,84.07,"1,389,589",83.55,84.615,83.12
02/19/2026,83.68,"1,252,164",83.21,83.7,82.55
02/18/2026,83.4,"1,580,179",81.77,83.56,81.185
02/17/2026,81.94,"1,763,078",83.13,83.76,81.22
02/13/2026,82.99,"2,177,049",82.02,84.23,82.02
02/12/2026,81.7,"1,716,138",83.24,83.24,80.99
02/11/2026,83.05,"1,472,903",81.73,83.07,80.51
02/10/2026,81.57,"3,453,415",81.78,83.2,81.47
02/09/2026,81.48,"1,515,220",81.5,81.735,80.34
02/06/2026,82.1,"1,508,278",80.42,82.18,80.22
02/05/2026,80.1,"1,796,183",80.95,81.475,79.76
02/04/2026,80.92,"1,803,136",80.16,82.105,79.53
02/03/2026,79.33,"1,050,844",80.39,81.8338,78.79
02/02/2026,80.65,"1,803,058",81.24,81.37,79.7
01/30/2026,81.38,"1,680,346",80.37,81.545,80.293
01/29/2026,80.37,"2,039,994",80.86,81.005,79.61
01/28/2026,80.48,"1,123,713",80.76,81.19,80.09
