date,close,volume,open,high,low
05/15/2026,122.41,"7,059,485",120.78,122.48,120.49
05/14/2026,118.97,"5,316,392",117.13,119.52,117.01
05/13/2026,117.4,"5,977,149",117.65,118.005,115.69
05/12/2026,117.87,"6,875,254",116.67,118.25,115.6781
05/11/2026,115.55,"6,200,051",114.43,115.97,113.8
05/08/2026,113.87,"8,009,464",114.64,115.49,113.62
05/07/2026,114.88,"10,356,590",116.13,116.24,114.05
05/06/2026,118.9,"13,180,790",117.96,120.0,117.4201
05/05/2026,123.32,"7,258,347",124.07,124.75,123.02
05/04/2026,124.91,"7,793,482",124.005,125.27,121.6997
05/01/2026,123.19,"7,784,340",125.0,125.758,122.47
04/30/2026,125.78,"11,948,020",124.535,128.1,123.77
04/29/2026,128.25,"9,676,863",126.0,128.28,125.08
04/28/2026,124.32,"7,241,070",124.17,124.56,122.46
04/27/2026,121.68,"12,215,400",122.205,123.6499,120.22
04/24/2026,121.76,"10,968,290",123.47,124.14,120.49
04/23/2026,124.37,"7,958,110",123.39,125.5799,123.375
04/22/2026,122.6,"6,562,715",121.44,123.225,120.91
04/21/2026,120.26,"8,138,860",117.04,120.62,116.72
04/20/2026,116.45,"6,124,672",116.84,118.22,116.07
04/17/2026,116.04,"11,665,730",116.325,116.5,112.21
04/16/2026,121.57,"6,904,336",119.51,122.435,119.37
04/15/2026,118.92,"6,592,499",118.17,120.36,117.35
04/14/2026,118.79,"9,849,214",121.64,122.2816,117.95
04/13/2026,123.62,"8,639,417",124.96,125.33,122.38
04/10/2026,122.55,"10,487,660",123.3,124.05,121.32
04/09/2026,123.47,"9,069,416",126.29,127.91,123.28
04/08/2026,125.22,"12,713,760",122.16,125.8899,120.7
04/07/2026,131.77,"6,794,313",132.0,133.685,131.15
04/06/2026,131.64,"4,210,017",130.5,131.73,129.35
04/02/2026,130.52,"7,383,761",131.3,134.4099,129.11
04/01/2026,128.38,"12,979,930",128.145,129.93,126.44
03/31/2026,132.0,"13,519,320",132.76,135.2,128.345
03/30/2026,132.89,"8,913,896",135.15,135.87,131.91
03/27/2026,133.8,"9,182,906",133.08,134.87,132.33
03/26/2026,133.25,"8,168,016",129.635,133.55,129.635
03/25/2026,128.93,"7,495,794",128.0,129.675,127.81
03/24/2026,129.35,"10,439,710",127.53,131.0,127.44
03/23/2026,127.19,"10,584,040",123.63,128.36,122.952
03/20/2026,126.92,"31,963,980",126.3,128.1299,126.11
03/19/2026,126.02,"11,205,370",124.705,126.35,123.965
03/18/2026,123.65,"10,273,030",123.8,124.87,123.11
03/17/2026,122.87,"7,953,143",121.95,123.96,121.21
03/16/2026,121.32,"7,556,780",121.19,122.38,120.4001
03/13/2026,121.89,"10,884,490",119.68,122.26,119.24
03/12/2026,120.26,"12,766,370",118.0,120.99,117.66
03/11/2026,117.03,"9,528,436",114.65,117.16,114.0001
03/10/2026,114.15,"13,917,880",116.12,116.54,112.93
03/09/2026,117.03,"13,694,740",117.54,118.77,116.2
03/06/2026,117.07,"11,554,610",118.77,119.48,116.6
03/05/2026,116.82,"9,881,261",117.0,118.515,115.825
03/04/2026,115.65,"10,160,640",116.39,117.44,114.43
03/03/2026,118.52,"17,354,690",120.85,122.5,117.3
03/02/2026,118.24,"19,667,900",119.28,119.3,115.72
02/27/2026,113.46,"9,009,879",112.4,113.79,111.06
02/26/2026,110.7,"7,205,841",109.17,111.69,108.11
02/25/2026,110.01,"6,907,312",110.99,111.525,108.66
02/24/2026,110.59,"5,152,249",110.24,110.9,108.4
02/23/2026,109.88,"4,872,200",110.7,111.91,109.68
02/20/2026,110.53,"6,822,988",111.22,111.44,109.58
02/19/2026,111.59,"8,851,738",112.0,113.8,111.07
02/18/2026,110.52,"9,456,225",109.92,110.81,108.84
02/17/2026,108.78,"7,619,442",111.66,112.97,107.875
02/13/2026,111.43,"6,836,436",110.39,112.07,110.39
02/12/2026,110.83,"12,517,720",111.21,111.98,108.7
02/11/2026,111.21,"8,984,747",108.5,111.435,108.43
02/10/2026,107.5,"5,255,320",108.55,108.68,107.11
02/09/2026,108.7,"6,337,762",107.6,108.89,107.06
02/06/2026,107.62,"6,756,124",105.25,108.13,105.12
02/05/2026,104.98,"10,441,020",106.95,108.435,103.15
02/04/2026,107.59,"10,367,080",105.47,108.34,105.46
02/03/2026,104.91,"9,346,556",102.42,105.23,101.75
02/02/2026,101.79,"7,514,047",101.51,103.06,100.5
01/30/2026,104.23,"9,169,003",102.31,104.27,101.725
01/29/2026,102.8,"14,466,870",104.3,105.72,102.69
01/28/2026,101.39,"6,817,438",100.43,101.52,99.84
01/27/2026,99.87,"7,276,868",98.75,99.93,98.29
01/26/2026,98.45,"7,278,227",99.55,99.6924,97.77
01/23/2026,98.35,"6,972,751",98.38,99.41,97.69
01/22/2026,96.88,"7,771,193",97.01,97.01,95.97
01/21/2026,97.15,"10,599,080",97.04,97.92,96.38
01/20/2026,95.52,"10,796,660",97.6,98.67,94.975
01/16/2026,98.19,"8,939,244",97.5,98.95,97.1255
01/15/2026,98.93,"7,461,373",98.99,100.52,98.16
01/14/2026,100.34,"13,563,740",96.6,101.915,96.6
01/13/2026,96.46,"7,868,289",97.0,97.75,95.9
01/12/2026,95.5,"10,232,880",98.61,98.73,94.68
01/09/2026,97.51,"8,940,700",99.14,100.3,97.28
01/08/2026,98.72,"9,605,230",94.4,99.86,94.33
01/07/2026,93.94,"7,988,439",97.19,97.24,93.91
01/06/2026,97.11,"9,026,863",100.2,100.31,96.98
01/05/2026,99.2,"15,706,520",101.2,102.98,97.11
01/02/2026,96.7,"7,005,619",93.61,96.94,93.13
12/31/2025,93.61,"3,551,875",94.45,94.588,93.42
12/30/2025,94.1,"4,553,633",93.35,94.31,93.11
12/29/2025,92.63,"5,256,406",92.0,92.729,91.7
12/26/2025,91.54,"4,575,613",91.91,92.48,90.75
12/24/2025,91.8,"3,079,183",92.75,93.16,91.69
12/23/2025,92.73,"5,671,129",93.35,93.7799,92.44
12/22/2025,93.31,"4,850,700",93.11,94.53,92.57
12/19/2025,91.94,"14,612,770",92.45,93.4,91.6
12/18/2025,92.23,"7,336,901",94.25,94.49,92.16
12/17/2025,94.96,"9,661,331",91.93,95.1191,91.805
12/16/2025,90.77,"9,060,380",93.33,93.41,90.76
12/15/2025,94.36,"8,942,104",95.54,95.6,93.31
12/12/2025,95.54,"5,731,331",97.44,97.66,95.24
12/11/2025,96.71,"8,225,500",96.155,97.71,95.91
12/10/2025,96.8,"10,640,130",93.73,97.41,93.56
12/09/2025,93.43,"6,177,238",92.63,93.6275,92.18
12/08/2025,92.88,"7,975,008",92.53,94.24,92.26
12/05/2025,93.69,"9,873,734",92.27,95.07,92.0817
12/04/2025,93.12,"7,312,422",91.635,93.2,91.635
12/03/2025,91.81,"5,647,601",90.02,91.84,89.965
12/02/2025,89.29,"5,135,408",90.08,90.395,88.58
12/01/2025,90.26,"8,525,595",89.13,91.175,88.78
11/28/2025,88.69,"3,304,675",87.09,89.39,86.88
11/26/2025,87.09,"5,066,051",86.45,87.639,86.4
11/25/2025,86.62,"6,926,710",86.66,86.98,85.7
11/24/2025,87.56,"7,143,896",87.1,88.1299,86.32
11/21/2025,87.37,"7,046,556",87.4,88.49,86.54
11/20/2025,87.47,"4,911,208",88.49,90.59,87.4376
11/19/2025,87.98,"5,092,856",88.0,88.5,87.0441
11/18/2025,89.68,"6,877,012",88.4,90.345,88.1
11/17/2025,88.72,"8,610,848",90.53,90.72,88.1
11/14/2025,91.37,"7,628,389",90.24,91.82,88.67
11/13/2025,89.42,"8,207,911",89.54,90.66,88.637
11/12/2025,89.07,"6,941,510",89.33,90.26,88.94
