date,close,volume,open,high,low
05/15/2026,32.3,"8,055,100",32.83,33.2,32.29
05/14/2026,32.65,"8,853,321",32.9,33.25,32.61
05/13/2026,32.94,"5,863,796",33.2,33.28,32.5602
05/12/2026,33.44,"5,805,134",33.63,33.745,33.135
05/11/2026,33.27,"5,943,066",33.78,33.9,33.125
05/08/2026,33.94,"7,146,486",33.7,34.12,33.39
05/07/2026,33.88,"8,767,863",33.37,34.27,33.29
05/06/2026,33.39,"5,865,032",33.01,33.625,33.01
05/05/2026,33.15,"4,620,866",33.15,33.36,32.87
05/04/2026,33.29,"5,326,612",33.28,33.7,33.04
05/01/2026,33.27,"7,234,002",33.49,33.7,33.125
04/30/2026,33.11,"7,494,206",33.31,33.44,32.885
04/29/2026,33.33,"5,392,109",33.24,33.38,33.03
04/28/2026,33.34,"6,400,749",33.335,33.63,33.07
04/27/2026,33.19,"5,861,008",33.01,33.54,32.93
04/24/2026,33.07,"7,970,915",33.58,33.64,32.74
04/23/2026,33.88,"7,100,343",33.5,33.955,33.275
04/22/2026,33.68,"6,113,609",33.83,34.125,33.52
04/21/2026,33.74,"6,325,377",33.78,34.515,33.615
04/20/2026,33.76,"15,484,440",33.325,33.895,33.25
04/17/2026,33.45,"17,874,020",33.825,33.8275,33.19
04/16/2026,33.27,"7,082,027",33.39,33.7,33.16
04/15/2026,33.36,"7,729,775",33.25,33.61,32.96
04/14/2026,33.29,"6,982,651",33.19,33.55,33.085
04/13/2026,33.25,"7,188,105",32.7,33.38,32.48
04/10/2026,32.76,"5,004,549",32.99,33.1,32.43
04/09/2026,32.99,"5,458,147",33.07,33.145,32.46
04/08/2026,33.17,"6,424,482",33.725,34.05,33.115
04/07/2026,33.11,"7,549,351",32.5,33.315,32.5
04/06/2026,32.84,"10,206,370",33.31,33.54,32.6
04/02/2026,33.4,"6,532,421",32.81,33.65,32.51
04/01/2026,33.02,"6,103,521",33.13,33.5199,32.91
03/31/2026,33.2,"7,188,108",32.91,33.46,32.475
03/30/2026,32.61,"7,866,436",32.615,33.0,32.465
03/27/2026,32.43,"6,477,254",33.03,33.04,32.375
