date,close,volume,open,high,low
05/15/2026,102.59,"1,694,254",104.21,104.64,102.51
05/14/2026,103.99,"1,385,760",104.7,104.98,103.33
05/13/2026,105.35,"710,653",104.6,105.54,104.03
05/12/2026,105.23,"756,022",105.38,105.48,104.0
05/11/2026,104.92,"1,047,598",104.65,105.45,104.13
05/08/2026,103.77,"1,084,884",104.06,104.505,103.08
05/07/2026,104.07,"2,001,120",104.08,105.07,103.91
05/06/2026,104.81,"1,501,196",105.08,105.88,104.55
05/05/2026,104.73,"900,012",104.41,105.76,103.69
05/04/2026,104.38,"834,785",103.93,106.04,103.53
05/01/2026,104.45,"1,791,955",106.06,106.31,102.8
04/30/2026,105.02,"1,396,250",106.045,106.48,104.48
04/29/2026,105.32,"1,544,668",105.54,106.9,105.015
04/28/2026,105.93,"1,455,291",102.43,106.16,101.91
04/27/2026,101.6,"1,049,226",101.76,102.385,101.1
04/24/2026,101.75,"859,281",102.44,102.92,101.275
04/23/2026,102.43,"737,851",100.72,102.94,100.72
04/22/2026,101.48,"1,110,201",102.85,103.0,101.08
04/21/2026,102.48,"946,757",104.53,104.7,102.39
04/20/2026,104.76,"945,029",102.97,104.95,102.575
04/17/2026,103.4,"1,372,003",100.52,103.85,100.52
04/16/2026,100.18,"1,380,144",101.19,101.94,99.69
04/15/2026,101.38,"951,081",101.68,101.925,100.46
04/14/2026,101.78,"1,053,887",101.18,102.13,100.04
04/13/2026,100.82,"838,885",101.62,101.62,99.73
04/10/2026,101.95,"928,820",100.96,102.335,100.73
04/09/2026,100.84,"1,277,760",101.82,102.22,100.5
04/08/2026,102.27,"1,298,675",101.89,102.71,101.49
04/07/2026,100.83,"1,377,768",101.08,102.075,100.46
04/06/2026,101.09,"1,169,294",100.76,102.01,100.36
04/02/2026,100.76,"1,414,499",97.51,100.94,97.4
04/01/2026,98.27,"1,475,653",98.31,98.96,97.55
03/31/2026,97.66,"1,695,095",98.16,98.67,97.04
03/30/2026,97.84,"1,361,260",97.91,98.81,96.95
03/27/2026,96.96,"1,366,172",97.06,97.98,96.53
03/26/2026,97.67,"1,021,990",97.14,98.5599,97.14
03/25/2026,97.34,"810,675",98.62,98.62,97.13
03/24/2026,97.91,"927,185",97.44,98.745,96.97
03/23/2026,98.15,"2,537,991",99.0,99.68,97.99
03/20/2026,97.36,"2,117,650",99.24,99.85,96.71
03/19/2026,99.68,"982,641",101.63,101.63,98.95
03/18/2026,100.35,"803,009",101.06,101.37,100.1
03/17/2026,101.81,"827,892",100.89,102.32,100.89
03/16/2026,100.78,"960,238",101.49,101.94,100.74
03/13/2026,100.61,"721,938",103.17,103.77,100.39
03/12/2026,101.74,"1,171,216",101.45,102.94,101.105
03/11/2026,101.84,"815,270",102.78,102.865,100.68
03/10/2026,103.61,"864,793",104.52,104.9,102.685
03/09/2026,105.11,"1,044,961",105.28,105.91,103.11
03/06/2026,106.53,"914,088",107.63,107.92,105.64
03/05/2026,108.64,"637,124",107.78,108.95,107.74
03/04/2026,108.75,"610,577",107.64,108.88,107.01
03/03/2026,108.19,"873,364",108.19,108.8,106.79
03/02/2026,109.28,"1,412,716",108.26,109.48,108.03
02/27/2026,108.34,"1,098,669",109.5,110.0,107.73
02/26/2026,110.24,"729,419",109.27,110.895,109.22
02/25/2026,108.84,"821,255",108.75,109.87,107.76
02/24/2026,108.75,"1,069,765",107.93,109.0,107.89
02/23/2026,108.2,"1,209,591",107.87,109.61,107.4
02/20/2026,107.2,"1,080,503",108.83,109.16,107.12
02/19/2026,108.59,"696,523",107.8,109.1,107.115
02/18/2026,108.57,"611,266",108.58,109.12,108.0
02/17/2026,108.37,"1,127,840",109.44,109.64,107.13
02/13/2026,108.53,"1,388,741",107.97,109.35,107.56
02/12/2026,107.48,"1,786,930",111.88,111.88,105.975
02/11/2026,110.76,"1,122,733",110.67,112.5,109.5
02/10/2026,110.41,"936,098",107.85,110.75,107.46
02/09/2026,107.88,"1,817,847",106.72,108.13,106.165
02/06/2026,106.63,"2,418,949",107.13,109.095,105.075
02/05/2026,106.57,"1,910,622",108.91,108.91,104.85
02/04/2026,108.71,"1,561,096",107.59,110.21,106.79
02/03/2026,106.92,"1,247,380",107.13,108.26,106.165
02/02/2026,107.3,"1,607,927",108.96,109.37,107.26
01/30/2026,109.05,"1,470,753",108.15,109.545,107.26
01/29/2026,109.0,"2,103,551",107.97,109.015,106.86
